selection_id,dataset_id,url,status,error_type,error_message,retry_count,processed_at
WOBY06K,WOBY06K,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WOBY06K,success,,,0,2025-05-24T10:13:34.149193
MZDKQT2,MZDKQ,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/MZDKQT2,success,,,0,2025-05-24T10:13:34.160759
MZDKQT1,MZDKQ,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/MZDKQT1,success,,,0,2025-05-24T10:13:34.172824
MZDKQT3,MZDKQ,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/MZDKQT3,success,,,0,2025-05-24T10:13:34.322891
MZDKQT4,MZDKQ,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/MZDKQT4,success,,,0,2025-05-24T10:13:34.348700
VZOPPRT1,VZOPPR,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/VZOPPRT1,success,,,0,2025-05-24T10:13:34.510199
MZDKQT5,MZDKQ,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/MZDKQT5,success,,,0,2025-05-24T10:13:34.614646
VZOPPRT2,VZOPPR,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/VZOPPRT2,success,,,0,2025-05-24T10:13:34.629858
VZOPPRT4,VZOPPR,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/VZOPPRT4,success,,,0,2025-05-24T10:13:34.941702
VZOPPRT3,VZOPPR,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/VZOPPRT3,success,,,0,2025-05-24T10:13:35.088952
VZOPPQT1,VZOPPQ,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/VZOPPQT1,success,,,0,2025-05-24T10:13:54.347150
VZOPPQT3,VZOPPQ,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/VZOPPQT3,success,,,0,2025-05-24T10:13:54.358665
VZOPPQT2,VZOPPQ,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/VZOPPQT2,success,,,0,2025-05-24T10:13:54.440986
PRU10BT2,PRU10B,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/PRU10BT2,success,,,0,2025-05-24T10:13:56.271610
PRU10BT1,PRU10B,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/PRU10BT1,success,,,0,2025-05-24T10:13:56.294719
PRU10BT3,PRU10B,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/PRU10BT3,success,,,0,2025-05-24T10:13:57.206940
