Stát,Ukazatel,Roky,value
Česko,Zahájené byty,2024,36614.0
Česko,Zahájené byty,2023,35704.0
Česko,Zahájené byty,2022,42242.0
Česko,Zahájené byty,2021,44992.0
Česko,Zahájené byty,2020,35254.0
Česko,Zahájené byty,2019,38677.0
Česko,Zahájené byty,2018,33121.0
Česko,Zahájené byty,2017,31521.0
Česko,Zahájené byty,2016,27224.0
Česko,Zahájené byty,2015,26378.0
Česko,Zahájené byty,2014,24351.0
Česko,Zahájené byty,2013,22108.0
Česko,Zahájené byty,2012,23853.0
Česko,Zahájené byty,2011,27535.0
Česko,Zahájené byty,2010,28135.0
Česko,Zahájené byty,2009,37319.0
Česko,Zahájené byty,2008,43531.0
Česko,Zahájené byty,2007,43796.0
Česko,Zahájené byty,2006,43747.0
Česko,Zahájené byty,2005,40381.0
Česko,Zahájené byty,2004,39037.0
Česko,Zahájené byty,2003,36496.0
Česko,Zahájené byty,2002,33606.0
Česko,Zahájené byty,2001,28983.0
Česko,Zahájené byty,2000,32377.0
Česko,Zahájené byty,1999,32900.0
Česko,Zahájené byty,1998,35027.0
Česko,Zahájené byty - nová výstavba,2024,31158.0
Česko,Zahájené byty - nová výstavba,2023,28846.0
Česko,Zahájené byty - nová výstavba,2022,36149.0
Česko,Zahájené byty - nová výstavba,2021,38906.0
Česko,Zahájené byty - nová výstavba,2020,29288.0
Česko,Zahájené byty - nová výstavba,2019,32924.0
Česko,Zahájené byty - nová výstavba,2018,27594.0
Česko,Zahájené byty - nová výstavba,2017,26631.0
Česko,Zahájené byty - nová výstavba,2016,22441.0
Česko,Zahájené byty - nová výstavba,2015,21121.0
Česko,Zahájené byty - nová výstavba,2014,20222.0
Česko,Zahájené byty - nová výstavba,2013,18188.0
Česko,Zahájené byty - nová výstavba,2012,19292.0
Česko,Zahájené byty - nová výstavba,2011,22729.0
Česko,Zahájené byty - nová výstavba,2010,23373.0
Česko,Zahájené byty - nová výstavba,2009,31151.0
Česko,Zahájené byty - nová výstavba,2008,37606.0
Česko,Zahájené byty - nová výstavba,2007,
Česko,Zahájené byty - nová výstavba,2006,
Česko,Zahájené byty - nová výstavba,2005,
Česko,Zahájené byty - nová výstavba,2004,
Česko,Zahájené byty - nová výstavba,2003,
Česko,Zahájené byty - nová výstavba,2002,
Česko,Zahájené byty - nová výstavba,2001,
Česko,Zahájené byty - nová výstavba,2000,
Česko,Zahájené byty - nová výstavba,1999,
Česko,Zahájené byty - nová výstavba,1998,
Česko,Zahájené byty - změna dokončených staveb,2024,5456.0
Česko,Zahájené byty - změna dokončených staveb,2023,6858.0
Česko,Zahájené byty - změna dokončených staveb,2022,6093.0
Česko,Zahájené byty - změna dokončených staveb,2021,6086.0
Česko,Zahájené byty - změna dokončených staveb,2020,5966.0
Česko,Zahájené byty - změna dokončených staveb,2019,5753.0
Česko,Zahájené byty - změna dokončených staveb,2018,5527.0
Česko,Zahájené byty - změna dokončených staveb,2017,4890.0
Česko,Zahájené byty - změna dokončených staveb,2016,4783.0
Česko,Zahájené byty - změna dokončených staveb,2015,5257.0
Česko,Zahájené byty - změna dokončených staveb,2014,4129.0
Česko,Zahájené byty - změna dokončených staveb,2013,3920.0
Česko,Zahájené byty - změna dokončených staveb,2012,4561.0
Česko,Zahájené byty - změna dokončených staveb,2011,4806.0
Česko,Zahájené byty - změna dokončených staveb,2010,4762.0
Česko,Zahájené byty - změna dokončených staveb,2009,6168.0
Česko,Zahájené byty - změna dokončených staveb,2008,5925.0
Česko,Zahájené byty - změna dokončených staveb,2007,
Česko,Zahájené byty - změna dokončených staveb,2006,
Česko,Zahájené byty - změna dokončených staveb,2005,
Česko,Zahájené byty - změna dokončených staveb,2004,
Česko,Zahájené byty - změna dokončených staveb,2003,
Česko,Zahájené byty - změna dokončených staveb,2002,
Česko,Zahájené byty - změna dokončených staveb,2001,
Česko,Zahájené byty - změna dokončených staveb,2000,
Česko,Zahájené byty - změna dokončených staveb,1999,
Česko,Zahájené byty - změna dokončených staveb,1998,
Česko,Zahájené byty v nových rodinných domech,2024,13073.0
Česko,Zahájené byty v nových rodinných domech,2023,14556.0
Česko,Zahájené byty v nových rodinných domech,2022,20109.0
Česko,Zahájené byty v nových rodinných domech,2021,21271.0
Česko,Zahájené byty v nových rodinných domech,2020,19446.0
Česko,Zahájené byty v nových rodinných domech,2019,19947.0
Česko,Zahájené byty v nových rodinných domech,2018,19186.0
Česko,Zahájené byty v nových rodinných domech,2017,18678.0
Česko,Zahájené byty v nových rodinných domech,2016,15865.0
Česko,Zahájené byty v nových rodinných domech,2015,13727.0
Česko,Zahájené byty v nových rodinných domech,2014,12440.0
Česko,Zahájené byty v nových rodinných domech,2013,12490.0
Česko,Zahájené byty v nových rodinných domech,2012,14399.0
Česko,Zahájené byty v nových rodinných domech,2011,17060.0
Česko,Zahájené byty v nových rodinných domech,2010,16611.0
Česko,Zahájené byty v nových rodinných domech,2009,18750.0
Česko,Zahájené byty v nových rodinných domech,2008,22918.0
Česko,Zahájené byty v nových rodinných domech,2007,20990.0
Česko,Zahájené byty v nových rodinných domech,2006,20620.0
Česko,Zahájené byty v nových rodinných domech,2005,17579.0
Česko,Zahájené byty v nových rodinných domech,2004,17485.0
Česko,Zahájené byty v nových rodinných domech,2003,17250.0
Česko,Zahájené byty v nových rodinných domech,2002,13659.0
Česko,Zahájené byty v nových rodinných domech,2001,12895.0
Česko,Zahájené byty v nových rodinných domech,2000,12177.0
Česko,Zahájené byty v nových rodinných domech,1999,12489.0
Česko,Zahájené byty v nových rodinných domech,1998,14933.0
Česko,Zahájené byty v nových bytových domech,2024,17079.0
Česko,Zahájené byty v nových bytových domech,2023,13568.0
Česko,Zahájené byty v nových bytových domech,2022,15189.0
Česko,Zahájené byty v nových bytových domech,2021,17098.0
Česko,Zahájené byty v nových bytových domech,2020,9426.0
Česko,Zahájené byty v nových bytových domech,2019,12491.0
Česko,Zahájené byty v nových bytových domech,2018,7280.0
Česko,Zahájené byty v nových bytových domech,2017,7244.0
Česko,Zahájené byty v nových bytových domech,2016,5870.0
Česko,Zahájené byty v nových bytových domech,2015,6848.0
Česko,Zahájené byty v nových bytových domech,2014,6657.0
Česko,Zahájené byty v nových bytových domech,2013,4857.0
Česko,Zahájené byty v nových bytových domech,2012,4022.0
Česko,Zahájené byty v nových bytových domech,2011,5013.0
Česko,Zahájené byty v nových bytových domech,2010,5798.0
Česko,Zahájené byty v nových bytových domech,2009,11045.0
Česko,Zahájené byty v nových bytových domech,2008,13724.0
Česko,Zahájené byty v nových bytových domech,2007,15283.0
Česko,Zahájené byty v nových bytových domech,2006,14541.0
Česko,Zahájené byty v nových bytových domech,2005,13574.0
Česko,Zahájené byty v nových bytových domech,2004,11901.0
Česko,Zahájené byty v nových bytových domech,2003,10043.0
Česko,Zahájené byty v nových bytových domech,2002,10246.0
Česko,Zahájené byty v nových bytových domech,2001,6276.0
Česko,Zahájené byty v nových bytových domech,2000,7097.0
Česko,Zahájené byty v nových bytových domech,1999,7192.0
Česko,Zahájené byty v nových bytových domech,1998,7961.0
Česko,Zahájené byty v nebytových budovách,2024,1807.0
Česko,Zahájené byty v nebytových budovách,2023,1917.0
Česko,Zahájené byty v nebytových budovách,2022,2018.0
Česko,Zahájené byty v nebytových budovách,2021,1676.0
Česko,Zahájené byty v nebytových budovách,2020,1313.0
Česko,Zahájené byty v nebytových budovách,2019,1390.0
Česko,Zahájené byty v nebytových budovách,2018,1872.0
Česko,Zahájené byty v nebytových budovách,2017,1325.0
Česko,Zahájené byty v nebytových budovách,2016,1540.0
Česko,Zahájené byty v nebytových budovách,2015,1635.0
Česko,Zahájené byty v nebytových budovách,2014,1566.0
Česko,Zahájené byty v nebytových budovách,2013,1100.0
Česko,Zahájené byty v nebytových budovách,2012,1277.0
Česko,Zahájené byty v nebytových budovách,2011,1175.0
Česko,Zahájené byty v nebytových budovách,2010,1564.0
Česko,Zahájené byty v nebytových budovách,2009,2458.0
Česko,Zahájené byty v nebytových budovách,2008,1872.0
Česko,Zahájené byty v nebytových budovách,2007,2166.0
Česko,Zahájené byty v nebytových budovách,2006,2182.0
Česko,Zahájené byty v nebytových budovách,2005,1932.0
Česko,Zahájené byty v nebytových budovách,2004,1318.0
Česko,Zahájené byty v nebytových budovách,2003,1167.0
Česko,Zahájené byty v nebytových budovách,2002,1225.0
Česko,Zahájené byty v nebytových budovách,2001,1384.0
Česko,Zahájené byty v nebytových budovách,2000,1453.0
Česko,Zahájené byty v nebytových budovách,1999,1247.0
Česko,Zahájené byty v nebytových budovách,1998,593.0
Česko,Dokončené byty,2024,30274.0
Česko,Dokončené byty,2023,38067.0
Česko,Dokončené byty,2022,39398.0
Česko,Dokončené byty,2021,34581.0
Česko,Dokončené byty,2020,34412.0
Česko,Dokončené byty,2019,36406.0
Česko,Dokončené byty,2018,33850.0
Česko,Dokončené byty,2017,28569.0
Česko,Dokončené byty,2016,27322.0
Česko,Dokončené byty,2015,25095.0
Česko,Dokončené byty,2014,23954.0
Česko,Dokončené byty,2013,25238.0
Česko,Dokončené byty,2012,29467.0
Česko,Dokončené byty,2011,28630.0
Česko,Dokončené byty,2010,36442.0
Česko,Dokončené byty,2009,38473.0
Česko,Dokončené byty,2008,38380.0
Česko,Dokončené byty,2007,41649.0
Česko,Dokončené byty,2006,30190.0
Česko,Dokončené byty,2005,32863.0
Česko,Dokončené byty,2004,32268.0
Česko,Dokončené byty,2003,27127.0
Česko,Dokončené byty,2002,27291.0
Česko,Dokončené byty,2001,24758.0
Česko,Dokončené byty,2000,25207.0
Česko,Dokončené byty,1999,23734.0
Česko,Dokončené byty,1998,22183.0
Česko,Dokončené byty - nová výstavba,2024,26678.0
Česko,Dokončené byty - nová výstavba,2023,33827.0
Česko,Dokončené byty - nová výstavba,2022,34631.0
Česko,Dokončené byty - nová výstavba,2021,30243.0
Česko,Dokončené byty - nová výstavba,2020,30375.0
Česko,Dokončené byty - nová výstavba,2019,32340.0
Česko,Dokončené byty - nová výstavba,2018,29906.0
Česko,Dokončené byty - nová výstavba,2017,
Česko,Dokončené byty - nová výstavba,2016,
Česko,Dokončené byty - nová výstavba,2015,
Česko,Dokončené byty - nová výstavba,2014,
Česko,Dokončené byty - nová výstavba,2013,
Česko,Dokončené byty - nová výstavba,2012,
Česko,Dokončené byty - nová výstavba,2011,
Česko,Dokončené byty - nová výstavba,2010,
Česko,Dokončené byty - nová výstavba,2009,
Česko,Dokončené byty - nová výstavba,2008,
Česko,Dokončené byty - nová výstavba,2007,
Česko,Dokončené byty - nová výstavba,2006,
Česko,Dokončené byty - nová výstavba,2005,
Česko,Dokončené byty - nová výstavba,2004,
Česko,Dokončené byty - nová výstavba,2003,
Česko,Dokončené byty - nová výstavba,2002,
Česko,Dokončené byty - nová výstavba,2001,
Česko,Dokončené byty - nová výstavba,2000,
Česko,Dokončené byty - nová výstavba,1999,
Česko,Dokončené byty - nová výstavba,1998,
Česko,Dokončené byty - změna dokončených staveb,2024,3596.0
Česko,Dokončené byty - změna dokončených staveb,2023,4240.0
Česko,Dokončené byty - změna dokončených staveb,2022,4767.0
Česko,Dokončené byty - změna dokončených staveb,2021,4338.0
Česko,Dokončené byty - změna dokončených staveb,2020,4037.0
Česko,Dokončené byty - změna dokončených staveb,2019,4066.0
Česko,Dokončené byty - změna dokončených staveb,2018,3944.0
Česko,Dokončené byty - změna dokončených staveb,2017,
Česko,Dokončené byty - změna dokončených staveb,2016,
Česko,Dokončené byty - změna dokončených staveb,2015,
Česko,Dokončené byty - změna dokončených staveb,2014,
Česko,Dokončené byty - změna dokončených staveb,2013,
Česko,Dokončené byty - změna dokončených staveb,2012,
Česko,Dokončené byty - změna dokončených staveb,2011,
Česko,Dokončené byty - změna dokončených staveb,2010,
Česko,Dokončené byty - změna dokončených staveb,2009,
Česko,Dokončené byty - změna dokončených staveb,2008,
Česko,Dokončené byty - změna dokončených staveb,2007,
Česko,Dokončené byty - změna dokončených staveb,2006,
Česko,Dokončené byty - změna dokončených staveb,2005,
Česko,Dokončené byty - změna dokončených staveb,2004,
Česko,Dokončené byty - změna dokončených staveb,2003,
Česko,Dokončené byty - změna dokončených staveb,2002,
Česko,Dokončené byty - změna dokončených staveb,2001,
Česko,Dokončené byty - změna dokončených staveb,2000,
Česko,Dokončené byty - změna dokončených staveb,1999,
Česko,Dokončené byty - změna dokončených staveb,1998,
