Roky,Lokality dle stupně urbanizace,Ukazatel,Rezidence,value
2023,Lokalita s vysokou hustotou populace,Počet hostů,Celkem,9832253
2023,Lokalita s vysokou hustotou populace,Počet hostů,Rezidenti,2930990
2023,Lokalita s vysokou hustotou populace,Počet hostů,Nerezidenti,6901263
2023,Lokalita s vysokou hustotou populace,Počet přenocování,Celkem,21184237
2023,Lokalita s vysokou hustotou populace,Počet přenocování,Rezidenti,5033297
2023,Lokalita s vysokou hustotou populace,Počet přenocování,Nerezidenti,16150940
2023,Lokalita se střední hustotou populace,Počet hostů,Celkem,4460295
2023,Lokalita se střední hustotou populace,Počet hostů,Rezidenti,3022615
2023,Lokalita se střední hustotou populace,Počet hostů,Nerezidenti,1437680
2023,Lokalita se střední hustotou populace,Počet přenocování,Celkem,12204603
2023,Lokalita se střední hustotou populace,Počet přenocování,Rezidenti,8288777
2023,Lokalita se střední hustotou populace,Počet přenocování,Nerezidenti,3915826
2023,Lokalita s nízkou hustotou populace,Počet hostů,Celkem,7685123
2023,Lokalita s nízkou hustotou populace,Počet hostů,Rezidenti,6465136
2023,Lokalita s nízkou hustotou populace,Počet hostů,Nerezidenti,1219987
2023,Lokalita s nízkou hustotou populace,Počet přenocování,Celkem,22453631
2023,Lokalita s nízkou hustotou populace,Počet přenocování,Rezidenti,19158788
2023,Lokalita s nízkou hustotou populace,Počet přenocování,Nerezidenti,3294843
