Stát;Ukazatel;Kumulace měsíců;Směr výstavby;value
Česko;Počet vydaných stavebních povolení - budovy;květen 2024;Celkem;17794
Česko;Počet vydaných stavebních povolení - budovy;květen 2024;Nová výstavba;8076
Česko;Počet vydaných stavebních povolení - budovy;květen 2024;Změny dokončených staveb;9718
Česko;Počet vydaných stavebních povolení - budovy;duben 2024;Celkem;13824
Česko;Počet vydaných stavebních povolení - budovy;duben 2024;Nová výstavba;6299
Česko;Počet vydaných stavebních povolení - budovy;duben 2024;Změny dokončených staveb;7525
Česko;Počet vydaných stavebních povolení - budovy;březen 2024;Celkem;9973
Česko;Počet vydaných stavebních povolení - budovy;březen 2024;Nová výstavba;4534
Česko;Počet vydaných stavebních povolení - budovy;březen 2024;Změny dokončených staveb;5439
Česko;Počet vydaných stavebních povolení - budovy;únor 2024;Celkem;6466
Česko;Počet vydaných stavebních povolení - budovy;únor 2024;Nová výstavba;2920
Česko;Počet vydaných stavebních povolení - budovy;únor 2024;Změny dokončených staveb;3546
Česko;Počet vydaných stavebních povolení - budovy;leden 2024;Celkem;3241
Česko;Počet vydaných stavebních povolení - budovy;leden 2024;Nová výstavba;1499
Česko;Počet vydaných stavebních povolení - budovy;leden 2024;Změny dokončených staveb;1742
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2023;Celkem;43870
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2023;Nová výstavba;20004
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2023;Změny dokončených staveb;23866
Česko;Počet vydaných stavebních povolení - budovy;listopad 2023;Celkem;40456
Česko;Počet vydaných stavebních povolení - budovy;listopad 2023;Nová výstavba;18469
Česko;Počet vydaných stavebních povolení - budovy;listopad 2023;Změny dokončených staveb;21987
Česko;Počet vydaných stavebních povolení - budovy;říjen 2023;Celkem;36901
Česko;Počet vydaných stavebních povolení - budovy;říjen 2023;Nová výstavba;16943
Česko;Počet vydaných stavebních povolení - budovy;říjen 2023;Změny dokončených staveb;19958
Česko;Počet vydaných stavebních povolení - budovy;září 2023;Celkem;33090
Česko;Počet vydaných stavebních povolení - budovy;září 2023;Nová výstavba;15202
Česko;Počet vydaných stavebních povolení - budovy;září 2023;Změny dokončených staveb;17888
Česko;Počet vydaných stavebních povolení - budovy;srpen 2023;Celkem;29710
Česko;Počet vydaných stavebních povolení - budovy;srpen 2023;Nová výstavba;13719
Česko;Počet vydaných stavebních povolení - budovy;srpen 2023;Změny dokončených staveb;15991
Česko;Počet vydaných stavebních povolení - budovy;červenec 2023;Celkem;25757
Česko;Počet vydaných stavebních povolení - budovy;červenec 2023;Nová výstavba;11954
Česko;Počet vydaných stavebních povolení - budovy;červenec 2023;Změny dokončených staveb;13803
Česko;Počet vydaných stavebních povolení - budovy;červen 2023;Celkem;22044
Česko;Počet vydaných stavebních povolení - budovy;červen 2023;Nová výstavba;10286
Česko;Počet vydaných stavebních povolení - budovy;červen 2023;Změny dokončených staveb;11758
Česko;Počet vydaných stavebních povolení - budovy;květen 2023;Celkem;18267
Česko;Počet vydaných stavebních povolení - budovy;květen 2023;Nová výstavba;8523
Česko;Počet vydaných stavebních povolení - budovy;květen 2023;Změny dokončených staveb;9744
Česko;Počet vydaných stavebních povolení - budovy;duben 2023;Celkem;14143
Česko;Počet vydaných stavebních povolení - budovy;duben 2023;Nová výstavba;6566
Česko;Počet vydaných stavebních povolení - budovy;duben 2023;Změny dokončených staveb;7577
Česko;Počet vydaných stavebních povolení - budovy;březen 2023;Celkem;10513
Česko;Počet vydaných stavebních povolení - budovy;březen 2023;Nová výstavba;4885
Česko;Počet vydaných stavebních povolení - budovy;březen 2023;Změny dokončených staveb;5628
Česko;Počet vydaných stavebních povolení - budovy;únor 2023;Celkem;6617
Česko;Počet vydaných stavebních povolení - budovy;únor 2023;Nová výstavba;3049
Česko;Počet vydaných stavebních povolení - budovy;únor 2023;Změny dokončených staveb;3568
Česko;Počet vydaných stavebních povolení - budovy;leden 2023;Celkem;3348
Česko;Počet vydaných stavebních povolení - budovy;leden 2023;Nová výstavba;1589
Česko;Počet vydaných stavebních povolení - budovy;leden 2023;Změny dokončených staveb;1759
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2022;Celkem;49084
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2022;Nová výstavba;25372
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2022;Změny dokončených staveb;23712
Česko;Počet vydaných stavebních povolení - budovy;listopad 2022;Celkem;45386
Česko;Počet vydaných stavebních povolení - budovy;listopad 2022;Nová výstavba;23633
Česko;Počet vydaných stavebních povolení - budovy;listopad 2022;Změny dokončených staveb;21753
