Stát;Ukazatel;Kumulace měsíců;Směr výstavby;value
Česko;Počet vydaných stavebních povolení - budovy;říjen 2015;Nová výstavba;15790
Česko;Počet vydaných stavebních povolení - budovy;říjen 2015;Změny dokončených staveb;22579
Česko;Počet vydaných stavebních povolení - budovy;září 2015;Celkem;34245
Česko;Počet vydaných stavebních povolení - budovy;září 2015;Nová výstavba;14092
Česko;Počet vydaných stavebních povolení - budovy;září 2015;Změny dokončených staveb;20153
Česko;Počet vydaných stavebních povolení - budovy;srpen 2015;Celkem;29904
Česko;Počet vydaných stavebních povolení - budovy;srpen 2015;Nová výstavba;12181
Česko;Počet vydaných stavebních povolení - budovy;srpen 2015;Změny dokončených staveb;17723
Česko;Počet vydaných stavebních povolení - budovy;červenec 2015;Celkem;25768
Česko;Počet vydaných stavebních povolení - budovy;červenec 2015;Nová výstavba;10523
Česko;Počet vydaných stavebních povolení - budovy;červenec 2015;Změny dokončených staveb;15245
Česko;Počet vydaných stavebních povolení - budovy;červen 2015;Celkem;21901
Česko;Počet vydaných stavebních povolení - budovy;červen 2015;Nová výstavba;8894
Česko;Počet vydaných stavebních povolení - budovy;červen 2015;Změny dokončených staveb;13007
Česko;Počet vydaných stavebních povolení - budovy;květen 2015;Celkem;17506
Česko;Počet vydaných stavebních povolení - budovy;květen 2015;Nová výstavba;7041
Česko;Počet vydaných stavebních povolení - budovy;květen 2015;Změny dokončených staveb;10465
Česko;Počet vydaných stavebních povolení - budovy;duben 2015;Celkem;13407
Česko;Počet vydaných stavebních povolení - budovy;duben 2015;Nová výstavba;5313
Česko;Počet vydaných stavebních povolení - budovy;duben 2015;Změny dokončených staveb;8094
Česko;Počet vydaných stavebních povolení - budovy;březen 2015;Celkem;9434
Česko;Počet vydaných stavebních povolení - budovy;březen 2015;Nová výstavba;3672
Česko;Počet vydaných stavebních povolení - budovy;březen 2015;Změny dokončených staveb;5762
Česko;Počet vydaných stavebních povolení - budovy;únor 2015;Celkem;5688
Česko;Počet vydaných stavebních povolení - budovy;únor 2015;Nová výstavba;2143
Česko;Počet vydaných stavebních povolení - budovy;únor 2015;Změny dokončených staveb;3545
Česko;Počet vydaných stavebních povolení - budovy;leden 2015;Celkem;2750
Česko;Počet vydaných stavebních povolení - budovy;leden 2015;Nová výstavba;1039
Česko;Počet vydaných stavebních povolení - budovy;leden 2015;Změny dokončených staveb;1711
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2014;Celkem;45654
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2014;Nová výstavba;18109
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2014;Změny dokončených staveb;27545
Česko;Počet vydaných stavebních povolení - budovy;listopad 2014;Celkem;42590
Česko;Počet vydaných stavebních povolení - budovy;listopad 2014;Nová výstavba;16899
Česko;Počet vydaných stavebních povolení - budovy;listopad 2014;Změny dokončených staveb;25691
Česko;Počet vydaných stavebních povolení - budovy;říjen 2014;Celkem;39058
Česko;Počet vydaných stavebních povolení - budovy;říjen 2014;Nová výstavba;15538
Česko;Počet vydaných stavebních povolení - budovy;říjen 2014;Změny dokončených staveb;23520
Česko;Počet vydaných stavebních povolení - budovy;září 2014;Celkem;34992
Česko;Počet vydaných stavebních povolení - budovy;září 2014;Nová výstavba;13833
Česko;Počet vydaných stavebních povolení - budovy;září 2014;Změny dokončených staveb;21159
Česko;Počet vydaných stavebních povolení - budovy;srpen 2014;Celkem;30679
Česko;Počet vydaných stavebních povolení - budovy;srpen 2014;Nová výstavba;12036
Česko;Počet vydaných stavebních povolení - budovy;srpen 2014;Změny dokončených staveb;18643
Česko;Počet vydaných stavebních povolení - budovy;červenec 2014;Celkem;26396
Česko;Počet vydaných stavebních povolení - budovy;červenec 2014;Nová výstavba;10360
Česko;Počet vydaných stavebních povolení - budovy;červenec 2014;Změny dokončených staveb;16036
Česko;Počet vydaných stavebních povolení - budovy;červen 2014;Celkem;21970
Česko;Počet vydaných stavebních povolení - budovy;červen 2014;Nová výstavba;8577
Česko;Počet vydaných stavebních povolení - budovy;červen 2014;Změny dokončených staveb;13393
Česko;Počet vydaných stavebních povolení - budovy;květen 2014;Celkem;17662
Česko;Počet vydaných stavebních povolení - budovy;květen 2014;Nová výstavba;6817
Česko;Počet vydaných stavebních povolení - budovy;květen 2014;Změny dokončených staveb;10845
Česko;Počet vydaných stavebních povolení - budovy;duben 2014;Celkem;13545
Česko;Počet vydaných stavebních povolení - budovy;duben 2014;Nová výstavba;5106
Česko;Počet vydaných stavebních povolení - budovy;duben 2014;Změny dokončených staveb;8439
Česko;Počet vydaných stavebních povolení - budovy;březen 2014;Celkem;9750
Česko;Počet vydaných stavebních povolení - budovy;březen 2014;Nová výstavba;3624
Česko;Počet vydaných stavebních povolení - budovy;březen 2014;Změny dokončených staveb;6126
Česko;Počet vydaných stavebních povolení - budovy;únor 2014;Celkem;5939
Česko;Počet vydaných stavebních povolení - budovy;únor 2014;Nová výstavba;2135
Česko;Počet vydaných stavebních povolení - budovy;únor 2014;Změny dokončených staveb;3804
Česko;Počet vydaných stavebních povolení - budovy;leden 2014;Celkem;2841
Česko;Počet vydaných stavebních povolení - budovy;leden 2014;Nová výstavba;1002
Česko;Počet vydaných stavebních povolení - budovy;leden 2014;Změny dokončených staveb;1839
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2013;Celkem;48404
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2013;Nová výstavba;18876
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2013;Změny dokončených staveb;29528
Česko;Počet vydaných stavebních povolení - budovy;listopad 2013;Celkem;45162
Česko;Počet vydaných stavebních povolení - budovy;listopad 2013;Nová výstavba;17708
Česko;Počet vydaných stavebních povolení - budovy;listopad 2013;Změny dokončených staveb;27454
Česko;Počet vydaných stavebních povolení - budovy;říjen 2013;Celkem;41526
Česko;Počet vydaných stavebních povolení - budovy;říjen 2013;Nová výstavba;16309
Česko;Počet vydaných stavebních povolení - budovy;říjen 2013;Změny dokončených staveb;25217
Česko;Počet vydaných stavebních povolení - budovy;září 2013;Celkem;37495
Česko;Počet vydaných stavebních povolení - budovy;září 2013;Nová výstavba;14783
Česko;Počet vydaných stavebních povolení - budovy;září 2013;Změny dokončených staveb;22712
Česko;Počet vydaných stavebních povolení - budovy;srpen 2013;Celkem;33205
Česko;Počet vydaných stavebních povolení - budovy;srpen 2013;Nová výstavba;13037
Česko;Počet vydaných stavebních povolení - budovy;srpen 2013;Změny dokončených staveb;20168
Česko;Počet vydaných stavebních povolení - budovy;červenec 2013;Celkem;28620
Česko;Počet vydaných stavebních povolení - budovy;červenec 2013;Nová výstavba;11276
Česko;Počet vydaných stavebních povolení - budovy;červenec 2013;Změny dokončených staveb;17344
Česko;Počet vydaných stavebních povolení - budovy;červen 2013;Celkem;24217
Česko;Počet vydaných stavebních povolení - budovy;červen 2013;Nová výstavba;9570
Česko;Počet vydaných stavebních povolení - budovy;červen 2013;Změny dokončených staveb;14647
Česko;Počet vydaných stavebních povolení - budovy;květen 2013;Celkem;19776
Česko;Počet vydaných stavebních povolení - budovy;květen 2013;Nová výstavba;7897
Česko;Počet vydaných stavebních povolení - budovy;květen 2013;Změny dokončených staveb;11879
Česko;Počet vydaných stavebních povolení - budovy;duben 2013;Celkem;15381
Česko;Počet vydaných stavebních povolení - budovy;duben 2013;Nová výstavba;6077
Česko;Počet vydaných stavebních povolení - budovy;duben 2013;Změny dokončených staveb;9304
Česko;Počet vydaných stavebních povolení - budovy;březen 2013;Celkem;11308
Česko;Počet vydaných stavebních povolení - budovy;březen 2013;Nová výstavba;4407
Česko;Počet vydaných stavebních povolení - budovy;březen 2013;Změny dokončených staveb;6901
Česko;Počet vydaných stavebních povolení - budovy;únor 2013;Celkem;7235
Česko;Počet vydaných stavebních povolení - budovy;únor 2013;Nová výstavba;2779
Česko;Počet vydaných stavebních povolení - budovy;únor 2013;Změny dokončených staveb;4456
Česko;Počet vydaných stavebních povolení - budovy;leden 2013;Celkem;3906
Česko;Počet vydaných stavebních povolení - budovy;leden 2013;Nová výstavba;1528
Česko;Počet vydaných stavebních povolení - budovy;leden 2013;Změny dokončených staveb;2378
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2012;Celkem;54818
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2012;Nová výstavba;21051
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2012;Změny dokončených staveb;33767
Česko;Počet vydaných stavebních povolení - budovy;listopad 2012;Celkem;50791
Česko;Počet vydaných stavebních povolení - budovy;listopad 2012;Nová výstavba;19441
Česko;Počet vydaných stavebních povolení - budovy;listopad 2012;Změny dokončených staveb;31350
Česko;Počet vydaných stavebních povolení - budovy;říjen 2012;Celkem;46891
Česko;Počet vydaných stavebních povolení - budovy;říjen 2012;Nová výstavba;17964
Česko;Počet vydaných stavebních povolení - budovy;říjen 2012;Změny dokončených staveb;28927
Česko;Počet vydaných stavebních povolení - budovy;září 2012;Celkem;41680
Česko;Počet vydaných stavebních povolení - budovy;září 2012;Nová výstavba;15995
Česko;Počet vydaných stavebních povolení - budovy;září 2012;Změny dokončených staveb;25685
Česko;Počet vydaných stavebních povolení - budovy;srpen 2012;Celkem;37052
Česko;Počet vydaných stavebních povolení - budovy;srpen 2012;Nová výstavba;14186
Česko;Počet vydaných stavebních povolení - budovy;srpen 2012;Změny dokončených staveb;22866
Česko;Počet vydaných stavebních povolení - budovy;červenec 2012;Celkem;31970
Česko;Počet vydaných stavebních povolení - budovy;červenec 2012;Nová výstavba;12170
Česko;Počet vydaných stavebních povolení - budovy;červenec 2012;Změny dokončených staveb;19800
Česko;Počet vydaných stavebních povolení - budovy;červen 2012;Celkem;26994
Česko;Počet vydaných stavebních povolení - budovy;červen 2012;Nová výstavba;10222
Česko;Počet vydaných stavebních povolení - budovy;červen 2012;Změny dokončených staveb;16772
Česko;Počet vydaných stavebních povolení - budovy;květen 2012;Celkem;21987
Česko;Počet vydaných stavebních povolení - budovy;květen 2012;Nová výstavba;8289
Česko;Počet vydaných stavebních povolení - budovy;květen 2012;Změny dokončených staveb;13698
Česko;Počet vydaných stavebních povolení - budovy;duben 2012;Celkem;16635
Česko;Počet vydaných stavebních povolení - budovy;duben 2012;Nová výstavba;6243
Česko;Počet vydaných stavebních povolení - budovy;duben 2012;Změny dokončených staveb;10392
Česko;Počet vydaných stavebních povolení - budovy;březen 2012;Celkem;11940
Česko;Počet vydaných stavebních povolení - budovy;březen 2012;Nová výstavba;4419
Česko;Počet vydaných stavebních povolení - budovy;březen 2012;Změny dokončených staveb;7521
Česko;Počet vydaných stavebních povolení - budovy;únor 2012;Celkem;7480
Česko;Počet vydaných stavebních povolení - budovy;únor 2012;Nová výstavba;2732
Česko;Počet vydaných stavebních povolení - budovy;únor 2012;Změny dokončených staveb;4748
Česko;Počet vydaných stavebních povolení - budovy;leden 2012;Celkem;3735
Česko;Počet vydaných stavebních povolení - budovy;leden 2012;Nová výstavba;1347
Česko;Počet vydaných stavebních povolení - budovy;leden 2012;Změny dokončených staveb;2388
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2011;Celkem;61421
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2011;Nová výstavba;23522
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2011;Změny dokončených staveb;37899
Česko;Počet vydaných stavebních povolení - budovy;listopad 2011;Celkem;56979
Česko;Počet vydaných stavebních povolení - budovy;listopad 2011;Nová výstavba;22012
Česko;Počet vydaných stavebních povolení - budovy;listopad 2011;Změny dokončených staveb;34967
Česko;Počet vydaných stavebních povolení - budovy;říjen 2011;Celkem;52093
Česko;Počet vydaných stavebních povolení - budovy;říjen 2011;Nová výstavba;20290
Česko;Počet vydaných stavebních povolení - budovy;říjen 2011;Změny dokončených staveb;31803
Česko;Počet vydaných stavebních povolení - budovy;září 2011;Celkem;46707
Česko;Počet vydaných stavebních povolení - budovy;září 2011;Nová výstavba;18271
Česko;Počet vydaných stavebních povolení - budovy;září 2011;Změny dokončených staveb;28436
Česko;Počet vydaných stavebních povolení - budovy;srpen 2011;Celkem;41339
Česko;Počet vydaných stavebních povolení - budovy;srpen 2011;Nová výstavba;16091
Česko;Počet vydaných stavebních povolení - budovy;srpen 2011;Změny dokončených staveb;25248
Česko;Počet vydaných stavebních povolení - budovy;červenec 2011;Celkem;35445
Česko;Počet vydaných stavebních povolení - budovy;červenec 2011;Nová výstavba;13705
Česko;Počet vydaných stavebních povolení - budovy;červenec 2011;Změny dokončených staveb;21740
Česko;Počet vydaných stavebních povolení - budovy;červen 2011;Celkem;30092
Česko;Počet vydaných stavebních povolení - budovy;červen 2011;Nová výstavba;11515
Česko;Počet vydaných stavebních povolení - budovy;červen 2011;Změny dokončených staveb;18577
Česko;Počet vydaných stavebních povolení - budovy;květen 2011;Celkem;24225
Česko;Počet vydaných stavebních povolení - budovy;květen 2011;Nová výstavba;9195
Česko;Počet vydaných stavebních povolení - budovy;květen 2011;Změny dokončených staveb;15030
Česko;Počet vydaných stavebních povolení - budovy;duben 2011;Celkem;17880
Česko;Počet vydaných stavebních povolení - budovy;duben 2011;Nová výstavba;6690
Česko;Počet vydaných stavebních povolení - budovy;duben 2011;Změny dokončených staveb;11190
Česko;Počet vydaných stavebních povolení - budovy;březen 2011;Celkem;12620
Česko;Počet vydaných stavebních povolení - budovy;březen 2011;Nová výstavba;4619
Česko;Počet vydaných stavebních povolení - budovy;březen 2011;Změny dokončených staveb;8001
Česko;Počet vydaných stavebních povolení - budovy;únor 2011;Celkem;7603
Česko;Počet vydaných stavebních povolení - budovy;únor 2011;Nová výstavba;2700
Česko;Počet vydaných stavebních povolení - budovy;únor 2011;Změny dokončených staveb;4903
Česko;Počet vydaných stavebních povolení - budovy;leden 2011;Celkem;3557
Česko;Počet vydaných stavebních povolení - budovy;leden 2011;Nová výstavba;1268
Česko;Počet vydaných stavebních povolení - budovy;leden 2011;Změny dokončených staveb;2289
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2010;Celkem;60002
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2010;Nová výstavba;22832
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2010;Změny dokončených staveb;37170
Česko;Počet vydaných stavebních povolení - budovy;listopad 2010;Celkem;55596
Česko;Počet vydaných stavebních povolení - budovy;listopad 2010;Nová výstavba;21202
Česko;Počet vydaných stavebních povolení - budovy;listopad 2010;Změny dokončených staveb;34394
Česko;Počet vydaných stavebních povolení - budovy;říjen 2010;Celkem;50856
Česko;Počet vydaných stavebních povolení - budovy;říjen 2010;Nová výstavba;19405
Česko;Počet vydaných stavebních povolení - budovy;říjen 2010;Změny dokončených staveb;31451
Česko;Počet vydaných stavebních povolení - budovy;září 2010;Celkem;45662
Česko;Počet vydaných stavebních povolení - budovy;září 2010;Nová výstavba;17442
Česko;Počet vydaných stavebních povolení - budovy;září 2010;Změny dokončených staveb;28220
Česko;Počet vydaných stavebních povolení - budovy;srpen 2010;Celkem;40459
Česko;Počet vydaných stavebních povolení - budovy;srpen 2010;Nová výstavba;15453
Česko;Počet vydaných stavebních povolení - budovy;srpen 2010;Změny dokončených staveb;25006
Česko;Počet vydaných stavebních povolení - budovy;červenec 2010;Celkem;34223
Česko;Počet vydaných stavebních povolení - budovy;červenec 2010;Nová výstavba;13036
Česko;Počet vydaných stavebních povolení - budovy;červenec 2010;Změny dokončených staveb;21187
Česko;Počet vydaných stavebních povolení - budovy;červen 2010;Celkem;29071
Česko;Počet vydaných stavebních povolení - budovy;červen 2010;Nová výstavba;10929
Česko;Počet vydaných stavebních povolení - budovy;červen 2010;Změny dokončených staveb;18142
Česko;Počet vydaných stavebních povolení - budovy;květen 2010;Celkem;23657
Česko;Počet vydaných stavebních povolení - budovy;květen 2010;Nová výstavba;8862
Česko;Počet vydaných stavebních povolení - budovy;květen 2010;Změny dokončených staveb;14795
Česko;Počet vydaných stavebních povolení - budovy;duben 2010;Celkem;18028
Česko;Počet vydaných stavebních povolení - budovy;duben 2010;Nová výstavba;6660
Česko;Počet vydaných stavebních povolení - budovy;duben 2010;Změny dokončených staveb;11368
Česko;Počet vydaných stavebních povolení - budovy;březen 2010;Celkem;12849
Česko;Počet vydaných stavebních povolení - budovy;březen 2010;Nová výstavba;4712
Česko;Počet vydaných stavebních povolení - budovy;březen 2010;Změny dokončených staveb;8137
Česko;Počet vydaných stavebních povolení - budovy;únor 2010;Celkem;7928
Česko;Počet vydaných stavebních povolení - budovy;únor 2010;Nová výstavba;2859
Česko;Počet vydaných stavebních povolení - budovy;únor 2010;Změny dokončených staveb;5069
Česko;Počet vydaných stavebních povolení - budovy;leden 2010;Celkem;3845
Česko;Počet vydaných stavebních povolení - budovy;leden 2010;Nová výstavba;1404
Česko;Počet vydaných stavebních povolení - budovy;leden 2010;Změny dokončených staveb;2441
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2009;Celkem;64078
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2009;Nová výstavba;25104
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2009;Změny dokončených staveb;38974
Česko;Počet vydaných stavebních povolení - budovy;listopad 2009;Celkem;59442
Česko;Počet vydaných stavebních povolení - budovy;listopad 2009;Nová výstavba;23362
Česko;Počet vydaných stavebních povolení - budovy;listopad 2009;Změny dokončených staveb;36080
Česko;Počet vydaných stavebních povolení - budovy;říjen 2009;Celkem;54553
Česko;Počet vydaných stavebních povolení - budovy;říjen 2009;Nová výstavba;21659
Česko;Počet vydaných stavebních povolení - budovy;říjen 2009;Změny dokončených staveb;32894
Česko;Počet vydaných stavebních povolení - budovy;září 2009;Celkem;49229
Česko;Počet vydaných stavebních povolení - budovy;září 2009;Nová výstavba;19468
Česko;Počet vydaných stavebních povolení - budovy;září 2009;Změny dokončených staveb;29761
Česko;Počet vydaných stavebních povolení - budovy;srpen 2009;Celkem;43335
Česko;Počet vydaných stavebních povolení - budovy;srpen 2009;Nová výstavba;17151
Česko;Počet vydaných stavebních povolení - budovy;srpen 2009;Změny dokončených staveb;26184
Česko;Počet vydaných stavebních povolení - budovy;červenec 2009;Celkem;37454
Česko;Počet vydaných stavebních povolení - budovy;červenec 2009;Nová výstavba;14774
Česko;Počet vydaných stavebních povolení - budovy;červenec 2009;Změny dokončených staveb;22680
Česko;Počet vydaných stavebních povolení - budovy;červen 2009;Celkem;31554
Česko;Počet vydaných stavebních povolení - budovy;červen 2009;Nová výstavba;12428
Česko;Počet vydaných stavebních povolení - budovy;červen 2009;Změny dokončených staveb;19126
Česko;Počet vydaných stavebních povolení - budovy;květen 2009;Celkem;25544
Česko;Počet vydaných stavebních povolení - budovy;květen 2009;Nová výstavba;10079
Česko;Počet vydaných stavebních povolení - budovy;květen 2009;Změny dokončených staveb;15465
Česko;Počet vydaných stavebních povolení - budovy;duben 2009;Celkem;19733
Česko;Počet vydaných stavebních povolení - budovy;duben 2009;Nová výstavba;7778
Česko;Počet vydaných stavebních povolení - budovy;duben 2009;Změny dokončených staveb;11955
Česko;Počet vydaných stavebních povolení - budovy;březen 2009;Celkem;14206
Česko;Počet vydaných stavebních povolení - budovy;březen 2009;Nová výstavba;5667
Česko;Počet vydaných stavebních povolení - budovy;březen 2009;Změny dokončených staveb;8539
Česko;Počet vydaných stavebních povolení - budovy;únor 2009;Celkem;8811
Česko;Počet vydaných stavebních povolení - budovy;únor 2009;Nová výstavba;3606
Česko;Počet vydaných stavebních povolení - budovy;únor 2009;Změny dokončených staveb;5205
Česko;Počet vydaných stavebních povolení - budovy;leden 2009;Celkem;4428
Česko;Počet vydaných stavebních povolení - budovy;leden 2009;Nová výstavba;1977
Česko;Počet vydaných stavebních povolení - budovy;leden 2009;Změny dokončených staveb;2451
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2008;Celkem;69793
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2008;Nová výstavba;28766
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2008;Změny dokončených staveb;41027
Česko;Počet vydaných stavebních povolení - budovy;listopad 2008;Celkem;64738
Česko;Počet vydaných stavebních povolení - budovy;listopad 2008;Nová výstavba;26674
Česko;Počet vydaných stavebních povolení - budovy;listopad 2008;Změny dokončených staveb;38064
Česko;Počet vydaných stavebních povolení - budovy;říjen 2008;Celkem;59541
Česko;Počet vydaných stavebních povolení - budovy;říjen 2008;Nová výstavba;24655
Česko;Počet vydaných stavebních povolení - budovy;říjen 2008;Změny dokončených staveb;34886
Česko;Počet vydaných stavebních povolení - budovy;září 2008;Celkem;53578
Česko;Počet vydaných stavebních povolení - budovy;září 2008;Nová výstavba;22075
Česko;Počet vydaných stavebních povolení - budovy;září 2008;Změny dokončených staveb;31503
Česko;Počet vydaných stavebních povolení - budovy;srpen 2008;Celkem;47354
Česko;Počet vydaných stavebních povolení - budovy;srpen 2008;Nová výstavba;19283
Česko;Počet vydaných stavebních povolení - budovy;srpen 2008;Změny dokončených staveb;28071
Česko;Počet vydaných stavebních povolení - budovy;červenec 2008;Celkem;40935
Česko;Počet vydaných stavebních povolení - budovy;červenec 2008;Nová výstavba;16542
Česko;Počet vydaných stavebních povolení - budovy;červenec 2008;Změny dokončených staveb;24393
Česko;Počet vydaných stavebních povolení - budovy;červen 2008;Celkem;34571
Česko;Počet vydaných stavebních povolení - budovy;červen 2008;Nová výstavba;13902
Česko;Počet vydaných stavebních povolení - budovy;červen 2008;Změny dokončených staveb;20669
Česko;Počet vydaných stavebních povolení - budovy;květen 2008;Celkem;27868
Česko;Počet vydaných stavebních povolení - budovy;květen 2008;Nová výstavba;11104
Česko;Počet vydaných stavebních povolení - budovy;květen 2008;Změny dokončených staveb;16764
Česko;Počet vydaných stavebních povolení - budovy;duben 2008;Celkem;21142
Česko;Počet vydaných stavebních povolení - budovy;duben 2008;Nová výstavba;8298
Česko;Počet vydaných stavebních povolení - budovy;duben 2008;Změny dokončených staveb;12844
Česko;Počet vydaných stavebních povolení - budovy;březen 2008;Celkem;15111
Česko;Počet vydaných stavebních povolení - budovy;březen 2008;Nová výstavba;5880
Česko;Počet vydaných stavebních povolení - budovy;březen 2008;Změny dokončených staveb;9231
Česko;Počet vydaných stavebních povolení - budovy;únor 2008;Celkem;9305
Česko;Počet vydaných stavebních povolení - budovy;únor 2008;Nová výstavba;3626
Česko;Počet vydaných stavebních povolení - budovy;únor 2008;Změny dokončených staveb;5679
Česko;Počet vydaných stavebních povolení - budovy;leden 2008;Celkem;4507
Česko;Počet vydaných stavebních povolení - budovy;leden 2008;Nová výstavba;1713
Česko;Počet vydaných stavebních povolení - budovy;leden 2008;Změny dokončených staveb;2794
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2007;Celkem;67876
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2007;Nová výstavba;27326
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2007;Změny dokončených staveb;40550
Česko;Počet vydaných stavebních povolení - budovy;listopad 2007;Celkem;63228
Česko;Počet vydaných stavebních povolení - budovy;listopad 2007;Nová výstavba;25605
Česko;Počet vydaných stavebních povolení - budovy;listopad 2007;Změny dokončených staveb;37623
Česko;Počet vydaných stavebních povolení - budovy;říjen 2007;Celkem;57774
Česko;Počet vydaných stavebních povolení - budovy;říjen 2007;Nová výstavba;23527
Česko;Počet vydaných stavebních povolení - budovy;říjen 2007;Změny dokončených staveb;34247
Česko;Počet vydaných stavebních povolení - budovy;září 2007;Celkem;51572
Česko;Počet vydaných stavebních povolení - budovy;září 2007;Nová výstavba;20908
Česko;Počet vydaných stavebních povolení - budovy;září 2007;Změny dokončených staveb;30664
Česko;Počet vydaných stavebních povolení - budovy;srpen 2007;Celkem;45528
Česko;Počet vydaných stavebních povolení - budovy;srpen 2007;Nová výstavba;18389
Česko;Počet vydaných stavebních povolení - budovy;srpen 2007;Změny dokončených staveb;27139
Česko;Počet vydaných stavebních povolení - budovy;červenec 2007;Celkem;38809
Česko;Počet vydaných stavebních povolení - budovy;červenec 2007;Nová výstavba;15528
Česko;Počet vydaných stavebních povolení - budovy;červenec 2007;Změny dokončených staveb;23281
Česko;Počet vydaných stavebních povolení - budovy;červen 2007;Celkem;32697
Česko;Počet vydaných stavebních povolení - budovy;červen 2007;Nová výstavba;13013
Česko;Počet vydaných stavebních povolení - budovy;červen 2007;Změny dokončených staveb;19684
Česko;Počet vydaných stavebních povolení - budovy;květen 2007;Celkem;26911
Česko;Počet vydaných stavebních povolení - budovy;květen 2007;Nová výstavba;10610
Česko;Počet vydaných stavebních povolení - budovy;květen 2007;Změny dokončených staveb;16301
Česko;Počet vydaných stavebních povolení - budovy;duben 2007;Celkem;20516
Česko;Počet vydaných stavebních povolení - budovy;duben 2007;Nová výstavba;8108
Česko;Počet vydaných stavebních povolení - budovy;duben 2007;Změny dokončených staveb;12408
Česko;Počet vydaných stavebních povolení - budovy;březen 2007;Celkem;15127
Česko;Počet vydaných stavebních povolení - budovy;březen 2007;Nová výstavba;5959
Česko;Počet vydaných stavebních povolení - budovy;březen 2007;Změny dokončených staveb;9168
Česko;Počet vydaných stavebních povolení - budovy;únor 2007;Celkem;9461
Česko;Počet vydaných stavebních povolení - budovy;únor 2007;Nová výstavba;3700
Česko;Počet vydaných stavebních povolení - budovy;únor 2007;Změny dokončených staveb;5761
Česko;Počet vydaných stavebních povolení - budovy;leden 2007;Celkem;4738
Česko;Počet vydaných stavebních povolení - budovy;leden 2007;Nová výstavba;1848
Česko;Počet vydaných stavebních povolení - budovy;leden 2007;Změny dokončených staveb;2890
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2006;Celkem;74280
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2006;Nová výstavba;27784
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2006;Změny dokončených staveb;46496
Česko;Počet vydaných stavebních povolení - budovy;listopad 2006;Celkem;68486
Česko;Počet vydaných stavebních povolení - budovy;listopad 2006;Nová výstavba;25534
Česko;Počet vydaných stavebních povolení - budovy;listopad 2006;Změny dokončených staveb;42952
Česko;Počet vydaných stavebních povolení - budovy;říjen 2006;Celkem;62518
Česko;Počet vydaných stavebních povolení - budovy;říjen 2006;Nová výstavba;23322
Česko;Počet vydaných stavebních povolení - budovy;říjen 2006;Změny dokončených staveb;39196
Česko;Počet vydaných stavebních povolení - budovy;září 2006;Celkem;55427
Česko;Počet vydaných stavebních povolení - budovy;září 2006;Nová výstavba;20483
Česko;Počet vydaných stavebních povolení - budovy;září 2006;Změny dokončených staveb;34944
Česko;Počet vydaných stavebních povolení - budovy;srpen 2006;Celkem;48289
Česko;Počet vydaných stavebních povolení - budovy;srpen 2006;Nová výstavba;17709
Česko;Počet vydaných stavebních povolení - budovy;srpen 2006;Změny dokončených staveb;30580
Česko;Počet vydaných stavebních povolení - budovy;červenec 2006;Celkem;40416
Česko;Počet vydaných stavebních povolení - budovy;červenec 2006;Nová výstavba;14720
Česko;Počet vydaných stavebních povolení - budovy;červenec 2006;Změny dokončených staveb;25696
Česko;Počet vydaných stavebních povolení - budovy;červen 2006;Celkem;33678
Česko;Počet vydaných stavebních povolení - budovy;červen 2006;Nová výstavba;12209
Česko;Počet vydaných stavebních povolení - budovy;červen 2006;Změny dokončených staveb;21469
Česko;Počet vydaných stavebních povolení - budovy;květen 2006;Celkem;26620
Česko;Počet vydaných stavebních povolení - budovy;květen 2006;Nová výstavba;9470
Česko;Počet vydaných stavebních povolení - budovy;květen 2006;Změny dokončených staveb;17150
Česko;Počet vydaných stavebních povolení - budovy;duben 2006;Celkem;19397
Česko;Počet vydaných stavebních povolení - budovy;duben 2006;Nová výstavba;6788
Česko;Počet vydaných stavebních povolení - budovy;duben 2006;Změny dokončených staveb;12609
Česko;Počet vydaných stavebních povolení - budovy;březen 2006;Celkem;13669
