Roky,Území,Ukazatel,value
2023,Pardubický kraj,Vystěhovalí do ciziny,1864
2023,Pardubický kraj,Přírůstek/úbytek stěhováním celkem,2710
2023,Pardubický kraj,Přírůstek/úbytek stěhováním mezi kraji,-1040
2023,Pardubický kraj,Přírůstek/úbytek zahraničním stěhováním,3750
2023,Kraj Vysočina,Přistěhovalí celkem,10828
2023,Kraj Vysočina,Přistěhovalí z jiného kraje ČR,5072
2023,Kraj Vysočina,Přistěhovalí z ciziny,5756
2023,Kraj Vysočina,Vystěhovalí celkem,6655
2023,Kraj Vysočina,Vystěhovalí do jiného kraje ČR,5350
2023,Kraj Vysočina,Vystěhovalí do ciziny,1305
2023,Kraj Vysočina,Přírůstek/úbytek stěhováním celkem,4173
2023,Kraj Vysočina,Přírůstek/úbytek stěhováním mezi kraji,-278
2023,Kraj Vysočina,Přírůstek/úbytek zahraničním stěhováním,4451
2023,Jihomoravský kraj,Přistěhovalí celkem,26030
2023,Jihomoravský kraj,Přistěhovalí z jiného kraje ČR,9511
2023,Jihomoravský kraj,Přistěhovalí z ciziny,16519
2023,Jihomoravský kraj,Vystěhovalí celkem,14824
2023,Jihomoravský kraj,Vystěhovalí do jiného kraje ČR,9895
2023,Jihomoravský kraj,Vystěhovalí do ciziny,4929
2023,Jihomoravský kraj,Přírůstek/úbytek stěhováním celkem,11206
2023,Jihomoravský kraj,Přírůstek/úbytek stěhováním mezi kraji,-384
2023,Jihomoravský kraj,Přírůstek/úbytek zahraničním stěhováním,11590
2023,Olomoucký kraj,Přistěhovalí celkem,9169
2023,Olomoucký kraj,Přistěhovalí z jiného kraje ČR,4992
2023,Olomoucký kraj,Přistěhovalí z ciziny,4177
2023,Olomoucký kraj,Vystěhovalí celkem,6448
2023,Olomoucký kraj,Vystěhovalí do jiného kraje ČR,5115
2023,Olomoucký kraj,Vystěhovalí do ciziny,1333
2023,Olomoucký kraj,Přírůstek/úbytek stěhováním celkem,2721
2023,Olomoucký kraj,Přírůstek/úbytek stěhováním mezi kraji,-123
2023,Olomoucký kraj,Přírůstek/úbytek zahraničním stěhováním,2844
2023,Zlínský kraj,Přistěhovalí celkem,7803
2023,Zlínský kraj,Přistěhovalí z jiného kraje ČR,4117
2023,Zlínský kraj,Přistěhovalí z ciziny,3686
2023,Zlínský kraj,Vystěhovalí celkem,6175
2023,Zlínský kraj,Vystěhovalí do jiného kraje ČR,4839
2023,Zlínský kraj,Vystěhovalí do ciziny,1336
2023,Zlínský kraj,Přírůstek/úbytek stěhováním celkem,1628
2023,Zlínský kraj,Přírůstek/úbytek stěhováním mezi kraji,-722
2023,Zlínský kraj,Přírůstek/úbytek zahraničním stěhováním,2350
2023,Moravskoslezský kraj,Přistěhovalí celkem,13102
2023,Moravskoslezský kraj,Přistěhovalí z jiného kraje ČR,5060
2023,Moravskoslezský kraj,Přistěhovalí z ciziny,8042
2023,Moravskoslezský kraj,Vystěhovalí celkem,9526
2023,Moravskoslezský kraj,Vystěhovalí do jiného kraje ČR,6926
2023,Moravskoslezský kraj,Vystěhovalí do ciziny,2600
2023,Moravskoslezský kraj,Přírůstek/úbytek stěhováním celkem,3576
2023,Moravskoslezský kraj,Přírůstek/úbytek stěhováním mezi kraji,-1866
2023,Moravskoslezský kraj,Přírůstek/úbytek zahraničním stěhováním,5442
