Území,Měsíce,Ukazatel,value
Česko,srpen 2025,"Vývoz (v mil. Kč, FOB)",347775.145946
Česko,srpen 2025,"Dovoz (v mil. Kč, CIF)",342161.224731
Česko,srpen 2025,Bilance (v mil. Kč),5613.921215
Česko,srpen 2025,Vývoz (meziroční index),94.3134752374
Česko,srpen 2025,Dovoz (meziroční index),95.7127088797
Česko,červenec 2025,"Vývoz (v mil. Kč, FOB)",375904.752154
Česko,červenec 2025,"Dovoz (v mil. Kč, CIF)",376531.654231
Česko,červenec 2025,Bilance (v mil. Kč),-626.902077
Česko,červenec 2025,Vývoz (meziroční index),104.884733611
Česko,červenec 2025,Dovoz (meziroční index),102.9904290601
Česko,červen 2025,"Vývoz (v mil. Kč, FOB)",418405.943141
Česko,červen 2025,"Dovoz (v mil. Kč, CIF)",390014.462379
Česko,červen 2025,Bilance (v mil. Kč),28391.480762
Česko,červen 2025,Vývoz (meziroční index),107.1996327525
Česko,červen 2025,Dovoz (meziroční index),108.5885076287
Česko,květen 2025,"Vývoz (v mil. Kč, FOB)",394028.829284
Česko,květen 2025,"Dovoz (v mil. Kč, CIF)",381685.89173
Česko,květen 2025,Bilance (v mil. Kč),12342.937554
Česko,květen 2025,Vývoz (meziroční index),102.999283099
Česko,květen 2025,Dovoz (meziroční index),102.6019664688
Česko,duben 2025,"Vývoz (v mil. Kč, FOB)",409980.063057
Česko,duben 2025,"Dovoz (v mil. Kč, CIF)",390694.038472
Česko,duben 2025,Bilance (v mil. Kč),19286.024585
Česko,duben 2025,Vývoz (meziroční index),99.1315662959
Česko,duben 2025,Dovoz (meziroční index),101.6718376679
Česko,březen 2025,"Vývoz (v mil. Kč, FOB)",430373.738207
Česko,březen 2025,"Dovoz (v mil. Kč, CIF)",402180.16083
Česko,březen 2025,Bilance (v mil. Kč),28193.577377
Česko,březen 2025,Vývoz (meziroční index),105.7482273799
Česko,březen 2025,Dovoz (meziroční index),109.5991918196
Česko,únor 2025,"Vývoz (v mil. Kč, FOB)",398874.752121
Česko,únor 2025,"Dovoz (v mil. Kč, CIF)",367970.52834
Česko,únor 2025,Bilance (v mil. Kč),30904.223781
Česko,únor 2025,Vývoz (meziroční index),101.020528199
Česko,únor 2025,Dovoz (meziroční index),102.2590263286
Česko,leden 2025,"Vývoz (v mil. Kč, FOB)",396767.173152
Česko,leden 2025,"Dovoz (v mil. Kč, CIF)",378374.579901
Česko,leden 2025,Bilance (v mil. Kč),18392.593251
Česko,leden 2025,Vývoz (meziroční index),112.2108569573
Česko,leden 2025,Dovoz (meziroční index),109.2508325967
Česko,prosinec 2024,"Vývoz (v mil. Kč, FOB)",337293.578883
Česko,prosinec 2024,"Dovoz (v mil. Kč, CIF)",329533.655403
Česko,prosinec 2024,Bilance (v mil. Kč),7759.92348
Česko,prosinec 2024,Vývoz (meziroční index),108.3314472276
Česko,prosinec 2024,Dovoz (meziroční index),107.4349722228
Česko,listopad 2024,"Vývoz (v mil. Kč, FOB)",422529.075883
Česko,listopad 2024,"Dovoz (v mil. Kč, CIF)",401331.529394
Česko,listopad 2024,Bilance (v mil. Kč),21197.546489
Česko,listopad 2024,Vývoz (meziroční index),103.8953157107
Česko,listopad 2024,Dovoz (meziroční index),105.9142473519
Česko,říjen 2024,"Vývoz (v mil. Kč, FOB)",429545.64914
Česko,říjen 2024,"Dovoz (v mil. Kč, CIF)",418578.843594
Česko,říjen 2024,Bilance (v mil. Kč),10966.805546
Česko,říjen 2024,Vývoz (meziroční index),103.5348474281
Česko,říjen 2024,Dovoz (meziroční index),104.4850563842
Česko,září 2024,"Vývoz (v mil. Kč, FOB)",404831.393141
Česko,září 2024,"Dovoz (v mil. Kč, CIF)",381593.566545
Česko,září 2024,Bilance (v mil. Kč),23237.826596
Česko,září 2024,Vývoz (meziroční index),109.4216681638
Česko,září 2024,Dovoz (meziroční index),106.435023991
Česko,srpen 2024,"Vývoz (v mil. Kč, FOB)",368743.856666
Česko,srpen 2024,"Dovoz (v mil. Kč, CIF)",357487.765978
Česko,srpen 2024,Bilance (v mil. Kč),11256.090688
Česko,srpen 2024,Vývoz (meziroční index),110.7914637507
Česko,srpen 2024,Dovoz (meziroční index),105.3635103434
Česko,červenec 2024,"Vývoz (v mil. Kč, FOB)",358397.966236
Česko,červenec 2024,"Dovoz (v mil. Kč, CIF)",365598.684914
Česko,červenec 2024,Bilance (v mil. Kč),-7200.718678
Česko,červenec 2024,Vývoz (meziroční index),113.0113585057
Česko,červenec 2024,Dovoz (meziroční index),113.067262024
