Roky,Pohlaví,"ČR, kraje",Ukazatel,value
2024,Celkem,Česko,Přistěhovalí,121823
2024,Celkem,Česko,Přistěhovalí z ciziny,121823
2024,Celkem,Česko,Vystěhovalí,84978
2024,Celkem,Česko,Vystěhovalí do ciziny,84978
2024,Celkem,Česko,Přírůstek/úbytek stěhováním,36845
2024,Celkem,Česko,Přírůstek/úbytek stěhováním s cizinou,36845
2024,Celkem,Česko,Objem vnitřního stěhování,290601
2024,Celkem,Hlavní město Praha,Přistěhovalí,62689
2024,Celkem,Hlavní město Praha,Přistěhovalí z ciziny,35380
2024,Celkem,Hlavní město Praha,Vystěhovalí,49834
2024,Celkem,Hlavní město Praha,Vystěhovalí do ciziny,21576
2024,Celkem,Hlavní město Praha,Přírůstek/úbytek stěhováním,12855
2024,Celkem,Hlavní město Praha,Přírůstek/úbytek stěhováním s cizinou,13804
2024,Celkem,Hlavní město Praha,Objem vnitřního stěhování,0
2024,Celkem,Středočeský kraj,Přistěhovalí,44511
2024,Celkem,Středočeský kraj,Přistěhovalí z ciziny,16312
2024,Celkem,Středočeský kraj,Vystěhovalí,31463
2024,Celkem,Středočeský kraj,Vystěhovalí do ciziny,10528
2024,Celkem,Středočeský kraj,Přírůstek/úbytek stěhováním,13048
2024,Celkem,Středočeský kraj,Přírůstek/úbytek stěhováním s cizinou,5784
2024,Celkem,Středočeský kraj,Objem vnitřního stěhování,27358
2024,Celkem,Jihočeský kraj,Přistěhovalí,9853
2024,Celkem,Jihočeský kraj,Přistěhovalí z ciziny,4459
2024,Celkem,Jihočeský kraj,Vystěhovalí,9275
2024,Celkem,Jihočeský kraj,Vystěhovalí do ciziny,3954
2024,Celkem,Jihočeský kraj,Přírůstek/úbytek stěhováním,578
2024,Celkem,Jihočeský kraj,Přírůstek/úbytek stěhováním s cizinou,505
2024,Celkem,Jihočeský kraj,Objem vnitřního stěhování,12638
2024,Celkem,Plzeňský kraj,Přistěhovalí,16277
2024,Celkem,Plzeňský kraj,Přistěhovalí z ciziny,10250
2024,Celkem,Plzeňský kraj,Vystěhovalí,13324
2024,Celkem,Plzeňský kraj,Vystěhovalí do ciziny,7256
2024,Celkem,Plzeňský kraj,Přírůstek/úbytek stěhováním,2953
2024,Celkem,Plzeňský kraj,Přírůstek/úbytek stěhováním s cizinou,2994
2024,Celkem,Plzeňský kraj,Objem vnitřního stěhování,13628
2024,Celkem,Karlovarský kraj,Přistěhovalí,6527
2024,Celkem,Karlovarský kraj,Přistěhovalí z ciziny,3691
2024,Celkem,Karlovarský kraj,Vystěhovalí,6822
2024,Celkem,Karlovarský kraj,Vystěhovalí do ciziny,3323
2024,Celkem,Karlovarský kraj,Přírůstek/úbytek stěhováním,-295
2024,Celkem,Karlovarský kraj,Přírůstek/úbytek stěhováním s cizinou,368
2024,Celkem,Karlovarský kraj,Objem vnitřního stěhování,5487
2024,Celkem,Ústecký kraj,Přistěhovalí,11109
2024,Celkem,Ústecký kraj,Přistěhovalí z ciziny,4648
2024,Celkem,Ústecký kraj,Vystěhovalí,10561
2024,Celkem,Ústecký kraj,Vystěhovalí do ciziny,3784
2024,Celkem,Ústecký kraj,Přírůstek/úbytek stěhováním,548
2024,Celkem,Ústecký kraj,Přírůstek/úbytek stěhováním s cizinou,864
2024,Celkem,Ústecký kraj,Objem vnitřního stěhování,14702
2024,Celkem,Liberecký kraj,Přistěhovalí,8414
2024,Celkem,Liberecký kraj,Přistěhovalí z ciziny,4073
2024,Celkem,Liberecký kraj,Vystěhovalí,8171
2024,Celkem,Liberecký kraj,Vystěhovalí do ciziny,3372
2024,Celkem,Liberecký kraj,Přírůstek/úbytek stěhováním,243
2024,Celkem,Liberecký kraj,Přírůstek/úbytek stěhováním s cizinou,701
2024,Celkem,Liberecký kraj,Objem vnitřního stěhování,7546
2024,Celkem,Královéhradecký kraj,Přistěhovalí,10151
2024,Celkem,Královéhradecký kraj,Přistěhovalí z ciziny,4769
2024,Celkem,Královéhradecký kraj,Vystěhovalí,9437
