Území;CZ NACE;Ukazatel;Roky;value
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2010;236695.550681932
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2011;231001.707432465
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2012;222648.157602052
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2013;217010.36438223
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2014;218577.8676607
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2015;225022.642766426
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2016;233347.990006039
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2017;239954.329215743
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2018;245048.814345255
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2019;244874.211219947
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2020;237138.842555433
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2021;235220.810901517
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2022;234458.292469939
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrný evidenční počet zaměstnanců přepočtený ;2023;
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2008;22232.7133570471
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2009;22331.7323602371
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2010;22351.2123261108
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2011;22479.5300892698
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2012;22685.988639801
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2013;22656.9256513642
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2014;23172.1929022944
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2015;23871.1622283912
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2016;24962.6576778876
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2017;26655.8438019253
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2018;28527.7036984906
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2019;30525.9040802802
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2020;30693.4571733054
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2021;31155.2352547652
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2022;34361.0109167579
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2023;
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2008;22665.5264260078
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2009;22672.342104728
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2010;22691.6722679067
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2011;22803.8680712491
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2012;23017.9623129142
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2013;22979.5227865647
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2014;23474.5286499081
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2015;24174.8337712643
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2016;25302.4579938206
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2017;26955.687168376
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2018;28882.0355414955
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2019;31024.4032835878
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2020;31195.1390854238
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2021;31741.9110869827
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2022;35043.8246007856
Česko;49 až 53 Sekce H - Doprava a skladování;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2023;
Česko;49 až 53 Sekce H - Doprava a skladování;Čistý obrat (Výnosy celkem) (mil. Kč);2008;631181.61911973
Česko;49 až 53 Sekce H - Doprava a skladování;Čistý obrat (Výnosy celkem) (mil. Kč);2009;539302.312703958
Česko;49 až 53 Sekce H - Doprava a skladování;Čistý obrat (Výnosy celkem) (mil. Kč);2010;580318.220135377
Česko;49 až 53 Sekce H - Doprava a skladování;Čistý obrat (Výnosy celkem) (mil. Kč);2011;591781.393695444
Česko;49 až 53 Sekce H - Doprava a skladování;Čistý obrat (Výnosy celkem) (mil. Kč);2012;608223.59481434
Česko;49 až 53 Sekce H - Doprava a skladování;Čistý obrat (Výnosy celkem) (mil. Kč);2013;619828.363655195
Česko;49 až 53 Sekce H - Doprava a skladování;Čistý obrat (Výnosy celkem) (mil. Kč);2014;649497.458927561
Česko;49 až 53 Sekce H - Doprava a skladování;Čistý obrat (Výnosy celkem) (mil. Kč);2015;634860.577874894
Česko;49 až 53 Sekce H - Doprava a skladování;Čistý obrat (Výnosy celkem) (mil. Kč);2016;647090.758779891
Česko;49 až 53 Sekce H - Doprava a skladování;Čistý obrat (Výnosy celkem) (mil. Kč);2017;679345.465773383
Česko;49 až 53 Sekce H - Doprava a skladování;Čistý obrat (Výnosy celkem) (mil. Kč);2018;728738.080504747
Česko;49 až 53 Sekce H - Doprava a skladování;Čistý obrat (Výnosy celkem) (mil. Kč);2019;742779.375778824
Česko;49 až 53 Sekce H - Doprava a skladování;Čistý obrat (Výnosy celkem) (mil. Kč);2020;684005.962660901
Česko;49 až 53 Sekce H - Doprava a skladování;Čistý obrat (Výnosy celkem) (mil. Kč);2021;791978.193344526
Česko;49 až 53 Sekce H - Doprava a skladování;Čistý obrat (Výnosy celkem) (mil. Kč);2022;942342.844655536
Česko;49 až 53 Sekce H - Doprava a skladování;Čistý obrat (Výnosy celkem) (mil. Kč);2023;
Česko;49 až 53 Sekce H - Doprava a skladování;Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč);2008;541165.017098283
Česko;49 až 53 Sekce H - Doprava a skladování;Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč);2009;470076.456364083
Česko;49 až 53 Sekce H - Doprava a skladování;Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč);2010;512957.034048784
Česko;49 až 53 Sekce H - Doprava a skladování;Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč);2011;528654.463496294
Česko;49 až 53 Sekce H - Doprava a skladování;Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč);2012;543573.995841734
Česko;49 až 53 Sekce H - Doprava a skladování;Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč);2013;547579.654786633
Česko;49 až 53 Sekce H - Doprava a skladování;Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč);2014;575238.377863485
Česko;49 až 53 Sekce H - Doprava a skladování;Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč);2015;572395.918131002
Česko;49 až 53 Sekce H - Doprava a skladování;Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč);2016;584773.229350307
Česko;49 až 53 Sekce H - Doprava a skladování;Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč);2017;615836.761241633
Česko;49 až 53 Sekce H - Doprava a skladování;Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč);2018;659155.885177048
Česko;49 až 53 Sekce H - Doprava a skladování;Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč);2019;671301.923509169
Česko;49 až 53 Sekce H - Doprava a skladování;Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč);2020;593274.908670455
Česko;49 až 53 Sekce H - Doprava a skladování;Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč);2021;689330.376716957
Česko;49 až 53 Sekce H - Doprava a skladování;Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč);2022;831723.268576182
Česko;49 až 53 Sekce H - Doprava a skladování;Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč);2023;
Česko;49 až 53 Sekce H - Doprava a skladování;Výkony včetně obchodní marže (mil. Kč);2008;461202.010209673
Česko;49 až 53 Sekce H - Doprava a skladování;Výkony včetně obchodní marže (mil. Kč);2009;404484.487323558
Česko;49 až 53 Sekce H - Doprava a skladování;Výkony včetně obchodní marže (mil. Kč);2010;443254.324793579
Česko;49 až 53 Sekce H - Doprava a skladování;Výkony včetně obchodní marže (mil. Kč);2011;454117.823089634
Česko;49 až 53 Sekce H - Doprava a skladování;Výkony včetně obchodní marže (mil. Kč);2012;454000.437136206
Česko;49 až 53 Sekce H - Doprava a skladování;Výkony včetně obchodní marže (mil. Kč);2013;452270.560145601
Česko;49 až 53 Sekce H - Doprava a skladování;Výkony včetně obchodní marže (mil. Kč);2014;481333.761375036
