Ukazatel;Typ indexu;Území;Klasifikace CZ-CPA;Měsíce;value
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červenec 2019;105.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;srpen 2019;105.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;září 2019;106.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;říjen 2019;106.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;listopad 2019;106.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;prosinec 2019;106.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;leden 2020;105.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;únor 2020;107.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;březen 2020;108.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;duben 2020;108.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;květen 2020;108.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červen 2020;108.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červenec 2020;107.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;srpen 2020;107.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;září 2020;108.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;říjen 2020;108.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;listopad 2020;108.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;prosinec 2020;108.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;leden 2021;107.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;únor 2021;108.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;březen 2021;109.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;duben 2021;109.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;květen 2021;109.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červen 2021;109.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červenec 2021;108.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;srpen 2021;108.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;září 2021;110.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;říjen 2021;110.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;listopad 2021;110.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;prosinec 2021;110.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;leden 2022;111.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;únor 2022;113.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;březen 2022;115.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;duben 2022;115.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;květen 2022;116.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červen 2022;116.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červenec 2022;115.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;srpen 2022;116.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;září 2022;117.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;říjen 2022;117.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;listopad 2022;118.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;prosinec 2022;118.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;leden 2023;118.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;únor 2023;119.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;březen 2023;121.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;duben 2023;123.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;květen 2023;123.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červen 2023;123.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červenec 2023;121.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;srpen 2023;122.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;září 2023;123.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;říjen 2023;124.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;listopad 2023;123.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;prosinec 2023;123.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;leden 2024;123.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;únor 2024;125.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;březen 2024;126.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;duben 2024;127.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;květen 2024;127.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červen 2024;127.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červenec 2024;125.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;srpen 2024;126.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;září 2024;127.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;říjen 2024;128.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;listopad 2024;128.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;prosinec 2024;128.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;leden 2025;127.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;únor 2025;130.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;březen 2025;131.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;duben 2025;132.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;leden 2015;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;únor 2015;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;březen 2015;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;duben 2015;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;květen 2015;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červen 2015;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červenec 2015;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;srpen 2015;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;září 2015;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;říjen 2015;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;listopad 2015;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;prosinec 2015;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;leden 2016;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;únor 2016;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;březen 2016;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;duben 2016;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;květen 2016;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červen 2016;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červenec 2016;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;srpen 2016;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;září 2016;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;říjen 2016;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;listopad 2016;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;prosinec 2016;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;leden 2017;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;únor 2017;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;březen 2017;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;duben 2017;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;květen 2017;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červen 2017;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červenec 2017;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;srpen 2017;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;září 2017;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;říjen 2017;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;listopad 2017;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;prosinec 2017;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;leden 2018;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;únor 2018;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;březen 2018;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;duben 2018;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;květen 2018;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červen 2018;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červenec 2018;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;srpen 2018;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;září 2018;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;říjen 2018;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;listopad 2018;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;prosinec 2018;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;leden 2019;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;únor 2019;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;březen 2019;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;duben 2019;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;květen 2019;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červen 2019;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červenec 2019;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;srpen 2019;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;září 2019;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;říjen 2019;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;listopad 2019;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;prosinec 2019;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;leden 2020;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;únor 2020;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;březen 2020;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;duben 2020;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;květen 2020;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červen 2020;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červenec 2020;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;srpen 2020;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;září 2020;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;říjen 2020;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;listopad 2020;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;prosinec 2020;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;leden 2021;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;únor 2021;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;březen 2021;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;duben 2021;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;květen 2021;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červen 2021;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červenec 2021;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;srpen 2021;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;září 2021;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;říjen 2021;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;listopad 2021;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;prosinec 2021;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;leden 2022;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;únor 2022;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;březen 2022;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;duben 2022;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;květen 2022;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červen 2022;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červenec 2022;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;srpen 2022;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;září 2022;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;říjen 2022;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;listopad 2022;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;prosinec 2022;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;leden 2023;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;únor 2023;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;březen 2023;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;duben 2023;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;květen 2023;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červen 2023;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červenec 2023;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;srpen 2023;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;září 2023;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;říjen 2023;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;listopad 2023;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;prosinec 2023;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;leden 2024;123.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;únor 2024;124.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;březen 2024;124.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;duben 2024;125.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;květen 2024;125.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červen 2024;125.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;červenec 2024;125.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;srpen 2024;125.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tržní služby bez reklam;září 2024;125.9
