Roky;ČR, Reg. soudržnosti, Kraje;Ukazatel;value
2023;Česko;Živě narození na 1 000 obyvatel;8.379173384
2023;Česko;Zemřelí na 1 000 obyvatel;10.36905355
2023;Česko;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.989880164
2023;Česko;Přistěhovalí na 1 000 obyvatel;12.98606863
2023;Česko;Vystěhovalí na 1 000 obyvatel;4.283031818
2023;Česko;Přírůstek/úbytek stěhováním na 1 000 obyvatel;8.703036815
2023;Česko;Celkový přírůstek/úbytek na 1 000 obyvatel;6.713156651
2023;Česko;Sňatky na 1 000 obyvatel;4.437195591
2023;Česko;Rozvody na 1 000 obyvatel;1.788281384
2023;Česko;Novorozenecká úmrtnost;1.371380926
2023;Česko;Kojenecká úmrtnost;2.194209481
2023;Praha;Živě narození na 1 000 obyvatel;9.149886418
2023;Praha;Zemřelí na 1 000 obyvatel;8.885758484
2023;Praha;Přirozený přírůstek/úbytek na 1 000 obyvatel;0.264127934
2023;Praha;Přistěhovalí na 1 000 obyvatel;49.25949587
2023;Praha;Vystěhovalí na 1 000 obyvatel;29.5823286
2023;Praha;Přírůstek/úbytek stěhováním na 1 000 obyvatel;19.67716727
2023;Praha;Celkový přírůstek/úbytek na 1 000 obyvatel;19.9412952
2023;Praha;Sňatky na 1 000 obyvatel;4.651707663
2023;Praha;Rozvody na 1 000 obyvatel;1.664806372
2023;Praha;Novorozenecká úmrtnost;0.715705765
2023;Praha;Kojenecká úmrtnost;1.590457256
2023;Střední Čechy;Živě narození na 1 000 obyvatel;8.44537876
2023;Střední Čechy;Zemřelí na 1 000 obyvatel;9.490622796
2023;Střední Čechy;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.045244036
2023;Střední Čechy;Přistěhovalí na 1 000 obyvatel;31.46901603
2023;Střední Čechy;Vystěhovalí na 1 000 obyvatel;19.01365091
2023;Střední Čechy;Přírůstek/úbytek stěhováním na 1 000 obyvatel;12.45536511
2023;Střední Čechy;Celkový přírůstek/úbytek na 1 000 obyvatel;11.41012108
2023;Střední Čechy;Sňatky na 1 000 obyvatel;4.261644715
2023;Střední Čechy;Rozvody na 1 000 obyvatel;1.901571934
2023;Střední Čechy;Novorozenecká úmrtnost;1.551147032
2023;Střední Čechy;Kojenecká úmrtnost;2.367540207
2023;Jihozápad;Živě narození na 1 000 obyvatel;8.140158484
2023;Jihozápad;Zemřelí na 1 000 obyvatel;10.32252145
2023;Jihozápad;Přirozený přírůstek/úbytek na 1 000 obyvatel;-2.182362964
2023;Jihozápad;Přistěhovalí na 1 000 obyvatel;22.75384306
2023;Jihozápad;Vystěhovalí na 1 000 obyvatel;12.51279439
2023;Jihozápad;Přírůstek/úbytek stěhováním na 1 000 obyvatel;10.24104867
2023;Jihozápad;Celkový přírůstek/úbytek na 1 000 obyvatel;8.05868571
2023;Jihozápad;Sňatky na 1 000 obyvatel;4.445407704
