Rok sčítání;Ukazatel;Území;Vybavenost bytu - vodovod;value
2021;Počet  obydlených bytů;Jihomoravský kraj;Obydlené byty celkem;490005
2021;Počet  obydlených bytů;Jihomoravský kraj;Vodovod v bytě;460447
2021;Počet  obydlených bytů;Jihomoravský kraj;Z veřejné sítě;429954
2021;Počet  obydlených bytů;Jihomoravský kraj;Pouze ze soukromého zdroje;14965
2021;Počet  obydlených bytů;Jihomoravský kraj;Z veřejné sítě i ze soukromého zdroje;15528
2021;Počet  obydlených bytů;Olomoucký kraj;Obydlené byty celkem;259885
2021;Počet  obydlených bytů;Olomoucký kraj;Vodovod v bytě;244183
2021;Počet  obydlených bytů;Olomoucký kraj;Z veřejné sítě;214061
2021;Počet  obydlených bytů;Olomoucký kraj;Pouze ze soukromého zdroje;17290
2021;Počet  obydlených bytů;Olomoucký kraj;Z veřejné sítě i ze soukromého zdroje;12832
2021;Počet  obydlených bytů;Zlínský kraj;Obydlené byty celkem;226219
2021;Počet  obydlených bytů;Zlínský kraj;Vodovod v bytě;213729
2021;Počet  obydlených bytů;Zlínský kraj;Z veřejné sítě;185834
2021;Počet  obydlených bytů;Zlínský kraj;Pouze ze soukromého zdroje;17917
2021;Počet  obydlených bytů;Zlínský kraj;Z veřejné sítě i ze soukromého zdroje;9978
2021;Počet  obydlených bytů;Moravskoslezský kraj;Obydlené byty celkem;503041
2021;Počet  obydlených bytů;Moravskoslezský kraj;Vodovod v bytě;468611
2021;Počet  obydlených bytů;Moravskoslezský kraj;Z veřejné sítě;446000
2021;Počet  obydlených bytů;Moravskoslezský kraj;Pouze ze soukromého zdroje;14260
2021;Počet  obydlených bytů;Moravskoslezský kraj;Z veřejné sítě i ze soukromého zdroje;8351
