Čtvrtletí,Šetření,Území,Ukazatel,value
2. čtvrtletí 2025,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),829.9847419464
2. čtvrtletí 2025,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),62307.148054316
2. čtvrtletí 2025,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),102.9042058586
2. čtvrtletí 2025,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),108.2116097342
2. čtvrtletí 2025,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),426.3024670691
2. čtvrtletí 2025,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),52380.873426365
2. čtvrtletí 2025,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.0678915775
2. čtvrtletí 2025,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.8269709675
2. čtvrtletí 2025,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),220.2201347176
2. čtvrtletí 2025,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),44421.4135609717
2. čtvrtletí 2025,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.5071252217
2. čtvrtletí 2025,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.7237337458
2. čtvrtletí 2025,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),223.6162636944
2. čtvrtletí 2025,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),45707.8763836029
