Ukazatel;Roky;SO ORP;Velikostní skupina obcí;value
Počet obyvatel;2024;Kolín;2 000 až 4 999;
Počet obyvatel;2024;Kolín;5 000 až 9 9999;
Počet obyvatel;2024;Kolín;10 000 až 19 999;
Počet obyvatel;2024;Kolín;20 000 až 49 999;
Počet obyvatel;2024;Kolín;50 000 až 99 999;
Počet obyvatel;2024;Kolín;100 000 a více;
Počet obyvatel;2024;Kralupy nad Vltavou;Celkem;34565.0
Počet obyvatel;2024;Kralupy nad Vltavou;méně než 200;
Počet obyvatel;2024;Kralupy nad Vltavou;200 až 499;
Počet obyvatel;2024;Kralupy nad Vltavou;500 až 999;
Počet obyvatel;2024;Kralupy nad Vltavou;1 000 až 1 9999;
Počet obyvatel;2024;Kralupy nad Vltavou;2 000 až 4 999;
Počet obyvatel;2024;Kralupy nad Vltavou;5 000 až 9 9999;
Počet obyvatel;2024;Kralupy nad Vltavou;10 000 až 19 999;
Počet obyvatel;2024;Kralupy nad Vltavou;20 000 až 49 999;
Počet obyvatel;2024;Kralupy nad Vltavou;50 000 až 99 999;
Počet obyvatel;2024;Kralupy nad Vltavou;100 000 a více;
Počet obyvatel;2024;Kutná Hora;Celkem;52105.0
Počet obyvatel;2024;Kutná Hora;méně než 200;
Počet obyvatel;2024;Kutná Hora;200 až 499;
Počet obyvatel;2024;Kutná Hora;500 až 999;
Počet obyvatel;2024;Kutná Hora;1 000 až 1 9999;
Počet obyvatel;2024;Kutná Hora;2 000 až 4 999;
Počet obyvatel;2024;Kutná Hora;5 000 až 9 9999;
Počet obyvatel;2024;Kutná Hora;10 000 až 19 999;
Počet obyvatel;2024;Kutná Hora;20 000 až 49 999;
Počet obyvatel;2024;Kutná Hora;50 000 až 99 999;
Počet obyvatel;2024;Kutná Hora;100 000 a více;
Počet obyvatel;2024;Lysá nad Labem;Celkem;32386.0
Počet obyvatel;2024;Lysá nad Labem;méně než 200;
Počet obyvatel;2024;Lysá nad Labem;200 až 499;
Počet obyvatel;2024;Lysá nad Labem;500 až 999;
Počet obyvatel;2024;Lysá nad Labem;1 000 až 1 9999;
Počet obyvatel;2024;Lysá nad Labem;2 000 až 4 999;
Počet obyvatel;2024;Lysá nad Labem;5 000 až 9 9999;
Počet obyvatel;2024;Lysá nad Labem;10 000 až 19 999;
Počet obyvatel;2024;Lysá nad Labem;20 000 až 49 999;
Počet obyvatel;2024;Lysá nad Labem;50 000 až 99 999;
Počet obyvatel;2024;Lysá nad Labem;100 000 a více;
Počet obyvatel;2024;Mělník;Celkem;46561.0
Počet obyvatel;2024;Mělník;méně než 200;
Počet obyvatel;2024;Mělník;200 až 499;
Počet obyvatel;2024;Mělník;500 až 999;
Počet obyvatel;2024;Mělník;1 000 až 1 9999;
Počet obyvatel;2024;Mělník;2 000 až 4 999;
Počet obyvatel;2024;Mělník;5 000 až 9 9999;
Počet obyvatel;2024;Mělník;10 000 až 19 999;
Počet obyvatel;2024;Mělník;20 000 až 49 999;
Počet obyvatel;2024;Mělník;50 000 až 99 999;
