Území;Roky;Velikostní skupiny podniků;Ukazatel;value
Česko;2023;50 až 99 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);2286.1730160608
Česko;2023;50 až 99 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.10456683
Česko;2023;50 až 249 zaměstnanců ;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);984.3899035767
Česko;2023;50 až 249 zaměstnanců ;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);10.5711965871
Česko;2023;50 až 249 zaměstnanců ;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.0855405129
Česko;2023;50 až 249 zaměstnanců ;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);43039.0116753436
Česko;2023;50 až 249 zaměstnanců ;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);2926.1463969405
Česko;2023;50 až 249 zaměstnanců ;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.2947828001
Česko;2023;50 až 249 zaměstnanců ;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);1035.6892475724
Česko;2023;50 až 249 zaměstnanců ;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);14.7832688818
Česko;2023;50 až 249 zaměstnanců ;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.4480539041
Česko;2023;50 až 249 zaměstnanců ;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);40907.2206286146
Česko;2023;50 až 249 zaměstnanců ;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);2644.4820273908
Česko;2023;50 až 249 zaměstnanců ;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.9113767704
Česko;2023;100 až 249 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);540.8885501757
Česko;2023;100 až 249 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);11.0370732123
Česko;2023;100 až 249 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);102.0830503815
Česko;2023;100 až 249 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);43823.5503371389
Česko;2023;100 až 249 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);3341.7186996915
Česko;2023;100 až 249 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);108.2548604263
Česko;2023;100 až 249 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);566.0060213424
Česko;2023;100 až 249 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);15.4125173373
Česko;2023;100 až 249 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);102.7992552083
Česko;2023;100 až 249 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);41878.8064289316
Česko;2023;100 až 249 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);2922.011393646
Česko;2023;100 až 249 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);107.5006462698
Česko;2023;250 až 499 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);388.7896634782
Česko;2023;250 až 499 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);2.0286934615
Česko;2023;250 až 499 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.5245341745
Česko;2023;250 až 499 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);45958.4822178388
Česko;2023;250 až 499 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);3212.0435090069
Česko;2023;250 až 499 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.5141780369
Česko;2023;250 až 499 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);401.9651753707
Česko;2023;250 až 499 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);3.6946277645
Česko;2023;250 až 499 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.9276678345
Česko;2023;250 až 499 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);44452.0668213705
Česko;2023;250 až 499 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);2940.9528332676
Česko;2023;250 až 499 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);107.0847359917
Česko;2023;250 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1754.5259129316
Česko;2023;250 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);1.3541842866
Česko;2023;250 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.0772419646
Česko;2023;250 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);50018.1841086608
Česko;2023;250 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);4086.5193757302
Česko;2023;250 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);108.8969546379
Česko;2023;250 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);1825.2570706048
Česko;2023;250 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);6.0215417191
Česko;2023;250 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.3309929706
Česko;2023;250 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);48079.9124406895
Česko;2023;250 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);3816.2122321204
Česko;2023;250 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);108.6215391261
Česko;2023;500 až 999 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);366.3688617988
Česko;2023;500 až 999 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);4.9806703832
Česko;2023;500 až 999 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.3782050719
Česko;2023;500 až 999 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);49688.596036827
Česko;2023;500 až 999 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);4836.3797303058
Česko;2023;500 až 999 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);110.7829225144
Česko;2023;500 až 999 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);378.5257077812
Česko;2023;500 až 999 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);6.5184321629
Česko;2023;500 až 999 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.7522324401
Česko;2023;500 až 999 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);48092.7820757603
