Roky;Ukazatel;Území;Kategorie ubytovacího zařízení;value
2022;Počet hromadných ubytovacích zařízení;Česko;HUZ celkem;10652.0
2022;Počet hromadných ubytovacích zařízení;Česko;Hotel *****;71.0
2022;Počet hromadných ubytovacích zařízení;Česko;Hotel, motel, botel ****;837.0
2022;Počet hromadných ubytovacích zařízení;Česko;Hotel, motel, botel ***;1587.0
2022;Počet hromadných ubytovacích zařízení;Česko;Hotel, motel, botel **;207.0
2022;Počet hromadných ubytovacích zařízení;Česko;Hotel, motel, botel *;112.0
2022;Počet hromadných ubytovacích zařízení;Česko;Hotel garni;162.0
2022;Počet hromadných ubytovacích zařízení;Česko;Penzion;4555.0
2022;Počet hromadných ubytovacích zařízení;Česko;Kemp;579.0
2022;Počet hromadných ubytovacích zařízení;Česko;Chatová osada;305.0
2022;Počet hromadných ubytovacích zařízení;Česko;Turistická ubytovna;733.0
2022;Počet hromadných ubytovacích zařízení;Česko;Ostatní HUZ;1504.0
2022;Počet hromadných ubytovacích zařízení;Hlavní město Praha;HUZ celkem;873.0
2022;Počet hromadných ubytovacích zařízení;Hlavní město Praha;Hotel *****;49.0
2022;Počet hromadných ubytovacích zařízení;Hlavní město Praha;Hotel, motel, botel ****;262.0
2022;Počet hromadných ubytovacích zařízení;Hlavní město Praha;Hotel, motel, botel ***;210.0
2022;Počet hromadných ubytovacích zařízení;Hlavní město Praha;Hotel, motel, botel **;20.0
2022;Počet hromadných ubytovacích zařízení;Hlavní město Praha;Hotel, motel, botel *;6.0
2022;Počet hromadných ubytovacích zařízení;Hlavní město Praha;Hotel garni;36.0
2022;Počet hromadných ubytovacích zařízení;Hlavní město Praha;Penzion;110.0
2022;Počet hromadných ubytovacích zařízení;Hlavní město Praha;Kemp;19.0
2022;Počet hromadných ubytovacích zařízení;Hlavní město Praha;Chatová osada;
2022;Počet hromadných ubytovacích zařízení;Hlavní město Praha;Turistická ubytovna;62.0
2022;Počet hromadných ubytovacích zařízení;Hlavní město Praha;Ostatní HUZ;99.0
2022;Počet hromadných ubytovacích zařízení;Středočeský kraj;HUZ celkem;843.0
2022;Počet hromadných ubytovacích zařízení;Středočeský kraj;Hotel *****;2.0
2022;Počet hromadných ubytovacích zařízení;Středočeský kraj;Hotel, motel, botel ****;64.0
2022;Počet hromadných ubytovacích zařízení;Středočeský kraj;Hotel, motel, botel ***;153.0
2022;Počet hromadných ubytovacích zařízení;Středočeský kraj;Hotel, motel, botel **;20.0
2022;Počet hromadných ubytovacích zařízení;Středočeský kraj;Hotel, motel, botel *;7.0
2022;Počet hromadných ubytovacích zařízení;Středočeský kraj;Hotel garni;15.0
2022;Počet hromadných ubytovacích zařízení;Středočeský kraj;Penzion;332.0
2022;Počet hromadných ubytovacích zařízení;Středočeský kraj;Kemp;72.0
2022;Počet hromadných ubytovacích zařízení;Středočeský kraj;Chatová osada;38.0
2022;Počet hromadných ubytovacích zařízení;Středočeský kraj;Turistická ubytovna;45.0
2022;Počet hromadných ubytovacích zařízení;Středočeský kraj;Ostatní HUZ;95.0
2022;Počet hromadných ubytovacích zařízení;Jihočeský kraj;HUZ celkem;1311.0
2022;Počet hromadných ubytovacích zařízení;Jihočeský kraj;Hotel *****;3.0
2022;Počet hromadných ubytovacích zařízení;Jihočeský kraj;Hotel, motel, botel ****;48.0
2022;Počet hromadných ubytovacích zařízení;Jihočeský kraj;Hotel, motel, botel ***;136.0
2022;Počet hromadných ubytovacích zařízení;Jihočeský kraj;Hotel, motel, botel **;16.0
2022;Počet hromadných ubytovacích zařízení;Jihočeský kraj;Hotel, motel, botel *;9.0
2022;Počet hromadných ubytovacích zařízení;Jihočeský kraj;Hotel garni;18.0
2022;Počet hromadných ubytovacích zařízení;Jihočeský kraj;Penzion;632.0
2022;Počet hromadných ubytovacích zařízení;Jihočeský kraj;Kemp;130.0
2022;Počet hromadných ubytovacích zařízení;Jihočeský kraj;Chatová osada;59.0
2022;Počet hromadných ubytovacích zařízení;Jihočeský kraj;Turistická ubytovna;67.0
2022;Počet hromadných ubytovacích zařízení;Jihočeský kraj;Ostatní HUZ;193.0
2022;Počet hromadných ubytovacích zařízení;Plzeňský kraj;HUZ celkem;585.0
2022;Počet hromadných ubytovacích zařízení;Plzeňský kraj;Hotel *****;1.0
2022;Počet hromadných ubytovacích zařízení;Plzeňský kraj;Hotel, motel, botel ****;24.0
2022;Počet hromadných ubytovacích zařízení;Plzeňský kraj;Hotel, motel, botel ***;79.0
2022;Počet hromadných ubytovacích zařízení;Plzeňský kraj;Hotel, motel, botel **;10.0
2022;Počet hromadných ubytovacích zařízení;Plzeňský kraj;Hotel, motel, botel *;11.0
2022;Počet hromadných ubytovacích zařízení;Plzeňský kraj;Hotel garni;5.0
2022;Počet hromadných ubytovacích zařízení;Plzeňský kraj;Penzion;247.0
2022;Počet hromadných ubytovacích zařízení;Plzeňský kraj;Kemp;53.0
2022;Počet hromadných ubytovacích zařízení;Plzeňský kraj;Chatová osada;31.0
2022;Počet hromadných ubytovacích zařízení;Plzeňský kraj;Turistická ubytovna;41.0
2022;Počet hromadných ubytovacích zařízení;Plzeňský kraj;Ostatní HUZ;83.0
2022;Počet hromadných ubytovacích zařízení;Karlovarský kraj;HUZ celkem;633.0
2022;Počet hromadných ubytovacích zařízení;Karlovarský kraj;Hotel *****;11.0
2022;Počet hromadných ubytovacích zařízení;Karlovarský kraj;Hotel, motel, botel ****;117.0
2022;Počet hromadných ubytovacích zařízení;Karlovarský kraj;Hotel, motel, botel ***;110.0
2022;Počet hromadných ubytovacích zařízení;Karlovarský kraj;Hotel, motel, botel **;11.0
2022;Počet hromadných ubytovacích zařízení;Karlovarský kraj;Hotel, motel, botel *;2.0
2022;Počet hromadných ubytovacích zařízení;Karlovarský kraj;Hotel garni;17.0
2022;Počet hromadných ubytovacích zařízení;Karlovarský kraj;Penzion;228.0
2022;Počet hromadných ubytovacích zařízení;Karlovarský kraj;Kemp;33.0
2022;Počet hromadných ubytovacích zařízení;Karlovarský kraj;Chatová osada;4.0
2022;Počet hromadných ubytovacích zařízení;Karlovarský kraj;Turistická ubytovna;18.0
2022;Počet hromadných ubytovacích zařízení;Karlovarský kraj;Ostatní HUZ;82.0
2022;Počet hromadných ubytovacích zařízení;Ústecký kraj;HUZ celkem;538.0
2022;Počet hromadných ubytovacích zařízení;Ústecký kraj;Hotel *****;
2022;Počet hromadných ubytovacích zařízení;Ústecký kraj;Hotel, motel, botel ****;32.0
2022;Počet hromadných ubytovacích zařízení;Ústecký kraj;Hotel, motel, botel ***;92.0
2022;Počet hromadných ubytovacích zařízení;Ústecký kraj;Hotel, motel, botel **;16.0
2022;Počet hromadných ubytovacích zařízení;Ústecký kraj;Hotel, motel, botel *;9.0
2022;Počet hromadných ubytovacích zařízení;Ústecký kraj;Hotel garni;7.0
2022;Počet hromadných ubytovacích zařízení;Ústecký kraj;Penzion;232.0
2022;Počet hromadných ubytovacích zařízení;Ústecký kraj;Kemp;35.0
2022;Počet hromadných ubytovacích zařízení;Ústecký kraj;Chatová osada;10.0
2022;Počet hromadných ubytovacích zařízení;Ústecký kraj;Turistická ubytovna;39.0
2022;Počet hromadných ubytovacích zařízení;Ústecký kraj;Ostatní HUZ;66.0
2022;Počet hromadných ubytovacích zařízení;Liberecký kraj;HUZ celkem;992.0
2022;Počet hromadných ubytovacích zařízení;Liberecký kraj;Hotel *****;
2022;Počet hromadných ubytovacích zařízení;Liberecký kraj;Hotel, motel, botel ****;33.0
2022;Počet hromadných ubytovacích zařízení;Liberecký kraj;Hotel, motel, botel ***;115.0
2022;Počet hromadných ubytovacích zařízení;Liberecký kraj;Hotel, motel, botel **;11.0
2022;Počet hromadných ubytovacích zařízení;Liberecký kraj;Hotel, motel, botel *;11.0
2022;Počet hromadných ubytovacích zařízení;Liberecký kraj;Hotel garni;7.0
2022;Počet hromadných ubytovacích zařízení;Liberecký kraj;Penzion;490.0
2022;Počet hromadných ubytovacích zařízení;Liberecký kraj;Kemp;32.0
2022;Počet hromadných ubytovacích zařízení;Liberecký kraj;Chatová osada;42.0
2022;Počet hromadných ubytovacích zařízení;Liberecký kraj;Turistická ubytovna;67.0
2022;Počet hromadných ubytovacích zařízení;Liberecký kraj;Ostatní HUZ;184.0
2022;Počet hromadných ubytovacích zařízení;Královéhradecký kraj;HUZ celkem;1193.0
2022;Počet hromadných ubytovacích zařízení;Královéhradecký kraj;Hotel *****;
2022;Počet hromadných ubytovacích zařízení;Královéhradecký kraj;Hotel, motel, botel ****;58.0
2022;Počet hromadných ubytovacích zařízení;Královéhradecký kraj;Hotel, motel, botel ***;154.0
2022;Počet hromadných ubytovacích zařízení;Královéhradecký kraj;Hotel, motel, botel **;29.0
2022;Počet hromadných ubytovacích zařízení;Královéhradecký kraj;Hotel, motel, botel *;13.0
2022;Počet hromadných ubytovacích zařízení;Královéhradecký kraj;Hotel garni;6.0
