Rok sčítání,Ukazatel,Území,Způsob vytápění,value
2021,Počet  obydlených bytů,Jihomoravský kraj,Ústřední s vlastním zdrojem (v bytě),196771
2021,Počet  obydlených bytů,Jihomoravský kraj,Lokální topidla (kamna),38345
2021,Počet  obydlených bytů,Olomoucký kraj,Obydlené byty celkem,259885
2021,Počet  obydlených bytů,Olomoucký kraj,Ústřední dálkové,71211
2021,Počet  obydlených bytů,Olomoucký kraj,Ústřední domovní,52193
2021,Počet  obydlených bytů,Olomoucký kraj,Ústřední s vlastním zdrojem (v bytě),100340
2021,Počet  obydlených bytů,Olomoucký kraj,Lokální topidla (kamna),19632
2021,Počet  obydlených bytů,Zlínský kraj,Obydlené byty celkem,226219
2021,Počet  obydlených bytů,Zlínský kraj,Ústřední dálkové,57246
2021,Počet  obydlených bytů,Zlínský kraj,Ústřední domovní,51817
2021,Počet  obydlených bytů,Zlínský kraj,Ústřední s vlastním zdrojem (v bytě),87776
2021,Počet  obydlených bytů,Zlínský kraj,Lokální topidla (kamna),15715
2021,Počet  obydlených bytů,Moravskoslezský kraj,Obydlené byty celkem,503041
2021,Počet  obydlených bytů,Moravskoslezský kraj,Ústřední dálkové,240560
2021,Počet  obydlených bytů,Moravskoslezský kraj,Ústřední domovní,87302
2021,Počet  obydlených bytů,Moravskoslezský kraj,Ústřední s vlastním zdrojem (v bytě),128699
2021,Počet  obydlených bytů,Moravskoslezský kraj,Lokální topidla (kamna),18954
