Území,Ukazatel,Typ indexu,Očištění,CZ NACE,Měsíce,value
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",duben 2015,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",květen 2015,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červen 2015,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červenec 2015,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",srpen 2015,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",září 2015,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",říjen 2015,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",listopad 2015,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",prosinec 2015,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",leden 2016,102.0104265292
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",únor 2016,103.4728400521
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",březen 2016,99.3220674396
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",duben 2016,100.04789139
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",květen 2016,101.9482468004
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červen 2016,99.9098349491
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červenec 2016,98.1335299477
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",srpen 2016,104.1705431044
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",září 2016,101.1442231408
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",říjen 2016,100.5475908726
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",listopad 2016,102.7506737719
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",prosinec 2016,101.9472253252
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",leden 2017,107.3758909355
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",únor 2017,103.1033352756
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",březen 2017,109.3694440177
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",duben 2017,101.2102521552
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",květen 2017,106.8562395766
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červen 2017,103.7882901412
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červenec 2017,103.3764857631
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",srpen 2017,103.0689773184
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",září 2017,100.6644645838
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",říjen 2017,104.4840938307
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",listopad 2017,102.9766544988
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",prosinec 2017,100.4465926946
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",leden 2018,105.5979054286
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",únor 2018,104.0850685676
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",březen 2018,101.9089315173
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",duben 2018,104.7042528946
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",květen 2018,101.6664364991
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červen 2018,103.6697595714
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červenec 2018,105.8234195725
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",srpen 2018,102.9109267499
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",září 2018,103.9363057469
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",říjen 2018,104.0152543398
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",listopad 2018,103.2759591721
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",prosinec 2018,99.2349664407
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",leden 2019,97.8432910121
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",únor 2019,99.4351307494
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",březen 2019,99.1516864237
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",duben 2019,101.272100801
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",květen 2019,101.8631909636
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červen 2019,100.6383801203
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červenec 2019,100.1718583939
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",srpen 2019,101.5622608778
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",září 2019,108.5406008001
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",říjen 2019,98.6973508998
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",listopad 2019,101.8662896212
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",prosinec 2019,107.6409389526
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",leden 2020,100.1144907463
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",únor 2020,101.7350803476
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",březen 2020,92.1037766335
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",duben 2020,83.5021874674
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",květen 2020,79.1508039381
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červen 2020,87.6475574507
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červenec 2020,89.0207182831
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",srpen 2020,88.2603653921
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",září 2020,89.7194734567
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",říjen 2020,89.5326127121
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",listopad 2020,88.5691494379
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",prosinec 2020,91.2522790297
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",leden 2021,88.8832770446
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",únor 2021,89.1374836199
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",březen 2021,102.9852350838
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",duben 2021,111.6541198025
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",květen 2021,115.6899529859
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červen 2021,111.1967764109
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červenec 2021,105.2731267375
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",srpen 2021,107.7969902779
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",září 2021,105.9714722086
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",říjen 2021,106.979819011
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",listopad 2021,113.9044110645
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",prosinec 2021,108.0090360993
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",leden 2022,112.0041117242
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",únor 2022,113.4581009134
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",březen 2022,111.290806302
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",duben 2022,108.3513392428
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",květen 2022,113.0169955146
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červen 2022,107.114395533
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červenec 2022,104.9056002522
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",srpen 2022,108.2074466417
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",září 2022,101.8563593413
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",říjen 2022,103.6350006344
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",listopad 2022,102.5029888241
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",prosinec 2022,100.5770009405
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",leden 2023,103.4025115807
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",únor 2023,101.0911156996
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",březen 2023,99.4320740061
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",duben 2023,96.6843305192
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",květen 2023,95.9809012077
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červen 2023,98.5196460497
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červenec 2023,94.5903199963
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",srpen 2023,94.5999428081
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",září 2023,94.6096337667
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",říjen 2023,98.1972944344
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",listopad 2023,96.2939833954
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",prosinec 2023,95.8463341109
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",leden 2024,99.9047790702
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",únor 2024,101.0849739653
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",březen 2024,98.083734554
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",duben 2024,108.2852761007
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",květen 2024,102.793493632
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červen 2024,98.376453069
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červenec 2024,107.7351816756
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",srpen 2024,101.3104061838
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",září 2024,102.5316989999
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",říjen 2024,102.179628059
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",listopad 2024,101.5292174655
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",prosinec 2024,102.0617075568
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",leden 2025,102.8978407465
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",únor 2025,102.0714818798
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",březen 2025,103.0189190354
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",duben 2025,100.6899460213
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",květen 2025,101.0873801503
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červen 2025,103.6363503099
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červenec 2025,101.8017611933
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",srpen 2025,99.7251389197
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,leden 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,únor 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,březen 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,duben 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,květen 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,červen 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,červenec 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,srpen 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,září 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,říjen 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,listopad 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,prosinec 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,leden 2015,99.4385155906
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,únor 2015,102.0122594751
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,březen 2015,102.3051996965
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,duben 2015,100.8738657141
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,květen 2015,99.5437611714
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,červen 2015,104.2134497978
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,červenec 2015,102.9946076681
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,srpen 2015,103.6260211301
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,září 2015,100.519532687
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,říjen 2015,99.8727396302
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,listopad 2015,102.9520383879
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,prosinec 2015,100.7830799429
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,leden 2016,97.6644021556
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,únor 2016,103.5239736673
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,březen 2016,99.10628825
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,duben 2016,98.8987482468
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,květen 2016,103.2875772013
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,červen 2016,98.6350383665
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,červenec 2016,93.3685866213
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,srpen 2016,104.3062783333
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,září 2016,101.362152677
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,říjen 2016,99.3996468753
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,listopad 2016,104.0034500249
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,prosinec 2016,102.3106286408
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,leden 2017,107.2887905527
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,únor 2017,102.2191789584
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,březen 2017,107.3569091562
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,duben 2017,96.9877188926
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,květen 2017,103.9993283652
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,červen 2017,100.4587310005
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,červenec 2017,102.1193646177
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,srpen 2017,102.0295463187
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,září 2017,97.7441576515
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,říjen 2017,103.57338129
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,listopad 2017,100.266839867
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,prosinec 2017,100.2589581581
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,leden 2018,106.0056518897
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,únor 2018,103.8336519656
Česko,Index produkce služeb,Meziroční index,Bez očištění,49 až 53 Sekce H - Doprava a skladování,březen 2018,99.8393147604
