Území,Ukazatel,Typ indexu,Očištění,CZ NACE,Měsíce,value
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",leden 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",únor 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",březen 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",duben 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",květen 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červen 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",červenec 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",srpen 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",září 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",říjen 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",listopad 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",prosinec 2014,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",leden 2015,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",únor 2015,
Česko,Index produkce služeb,Meziroční index,Bez očištění,"H,I,J,L,M a N Služby celkem (bez CZ-NACE 701,72 a 75)",březen 2015,
