Ukazatel;Území;Rok sčítání;value
Obydlené domy celkem;Česká republika;1980;1634304
Obydlené domy celkem;Česká republika;1991;1597076
Obydlené domy celkem;Česká republika;2001;1630705
Obydlené domy celkem;Česká republika;2011;1800075
Obydlené domy celkem;Česká republika;2021;1952668
Obydlené domy celkem;Hlavní město Praha;1980;75794
Obydlené domy celkem;Hlavní město Praha;1991;78977
Obydlené domy celkem;Hlavní město Praha;2001;82160
Obydlené domy celkem;Hlavní město Praha;2011;92927
Obydlené domy celkem;Hlavní město Praha;2021;98217
Obydlené domy celkem;Středočeský kraj;1980;247153
Obydlené domy celkem;Středočeský kraj;1991;235114
Obydlené domy celkem;Středočeský kraj;2001;239553
Obydlené domy celkem;Středočeský kraj;2011;286780
Obydlené domy celkem;Středočeský kraj;2021;331341
Obydlené domy celkem;Jihočeský kraj;1980;113807
Obydlené domy celkem;Jihočeský kraj;1991;110044
Obydlené domy celkem;Jihočeský kraj;2001;111544
Obydlené domy celkem;Jihočeský kraj;2011;123048
Obydlené domy celkem;Jihočeský kraj;2021;133404
Obydlené domy celkem;Plzeňský kraj;1980;99223
Obydlené domy celkem;Plzeňský kraj;1991;94992
Obydlené domy celkem;Plzeňský kraj;2001;95538
Obydlené domy celkem;Plzeňský kraj;2011;105835
Obydlené domy celkem;Plzeňský kraj;2021;115802
Obydlené domy celkem;Karlovarský kraj;1980;34281
Obydlené domy celkem;Karlovarský kraj;1991;33375
Obydlené domy celkem;Karlovarský kraj;2001;35653
Obydlené domy celkem;Karlovarský kraj;2011;39834
Obydlené domy celkem;Karlovarský kraj;2021;42406
Obydlené domy celkem;Ústecký kraj;1980;109183
Obydlené domy celkem;Ústecký kraj;1991;101105
Obydlené domy celkem;Ústecký kraj;2001;105254
Obydlené domy celkem;Ústecký kraj;2011;115690
Obydlené domy celkem;Ústecký kraj;2021;123776
Obydlené domy celkem;Liberecký kraj;1980;66455
Obydlené domy celkem;Liberecký kraj;1991;64306
Obydlené domy celkem;Liberecký kraj;2001;66347
Obydlené domy celkem;Liberecký kraj;2011;73380
Obydlené domy celkem;Liberecký kraj;2021;79493
Obydlené domy celkem;Královéhradecký kraj;1980;103795
Obydlené domy celkem;Královéhradecký kraj;1991;100330
Obydlené domy celkem;Královéhradecký kraj;2001;101662
Obydlené domy celkem;Královéhradecký kraj;2011;109736
Obydlené domy celkem;Královéhradecký kraj;2021;116863
Obydlené domy celkem;Pardubický kraj;1980;97757
Obydlené domy celkem;Pardubický kraj;1991;95651
Obydlené domy celkem;Pardubický kraj;2001;96680
Obydlené domy celkem;Pardubický kraj;2011;104850
Obydlené domy celkem;Pardubický kraj;2021;113293
Obydlené domy celkem;Kraj Vysočina;1980;101889
Obydlené domy celkem;Kraj Vysočina;1991;100873
Obydlené domy celkem;Kraj Vysočina;2001;101627
Obydlené domy celkem;Kraj Vysočina;2011;108062
Obydlené domy celkem;Kraj Vysočina;2021;114230
Obydlené domy celkem;Jihomoravský kraj;1980;205005
Obydlené domy celkem;Jihomoravský kraj;1991;204015
Obydlené domy celkem;Jihomoravský kraj;2001;207218
Obydlené domy celkem;Jihomoravský kraj;2011;225004
Obydlené domy celkem;Jihomoravský kraj;2021;241367
Obydlené domy celkem;Olomoucký kraj;1980;110673
Obydlené domy celkem;Olomoucký kraj;1991;108782
Obydlené domy celkem;Olomoucký kraj;2001;111197
Obydlené domy celkem;Olomoucký kraj;2011;118883
Obydlené domy celkem;Olomoucký kraj;2021;126126
Obydlené domy celkem;Zlínský kraj;1980;113117
Obydlené domy celkem;Zlínský kraj;1991;113037
Obydlené domy celkem;Zlínský kraj;2001;114576
Obydlené domy celkem;Zlínský kraj;2011;120444
Obydlené domy celkem;Zlínský kraj;2021;125469
Obydlené domy celkem;Moravskoslezský kraj;1980;156172
Obydlené domy celkem;Moravskoslezský kraj;1991;156475
Obydlené domy celkem;Moravskoslezský kraj;2001;161696
Obydlené domy celkem;Moravskoslezský kraj;2011;175602
Obydlené domy celkem;Moravskoslezský kraj;2021;190881
