Kraje,Ukazatel,Roky,value
Hlavní město Praha,Přirozený přírůstek,2046,2053.0816344513
Hlavní město Praha,Přirozený přírůstek,2047,2108.288289087
Hlavní město Praha,Přirozený přírůstek,2048,2128.9346080313
Hlavní město Praha,Přirozený přírůstek,2049,2111.9058707442
Hlavní město Praha,Přirozený přírůstek,2050,2055.314401907
Hlavní město Praha,Přirozený přírůstek,2051,1943.1264191436
Hlavní město Praha,Přirozený přírůstek,2052,1789.4745916431
Hlavní město Praha,Přirozený přírůstek,2053,1595.3353340974
Hlavní město Praha,Přirozený přírůstek,2054,1365.1994773804
Hlavní město Praha,Přirozený přírůstek,2055,1107.8918798968
Hlavní město Praha,Přirozený přírůstek,2056,834.9314071481
Hlavní město Praha,Přirozený přírůstek,2057,558.6285498357
Hlavní město Praha,Přirozený přírůstek,2058,290.9238175456
Hlavní město Praha,Přirozený přírůstek,2059,42.3576248
Hlavní město Praha,Přirozený přírůstek,2060,-179.050096433
Hlavní město Praha,Přirozený přírůstek,2061,-370.2374010762
Hlavní město Praha,Přirozený přírůstek,2062,-532.0156185831
Hlavní město Praha,Přirozený přírůstek,2063,-665.0764351736
Hlavní město Praha,Přirozený přírůstek,2064,-770.2278908973
Hlavní město Praha,Přirozený přírůstek,2065,-850.114589564
Hlavní město Praha,Přirozený přírůstek,2066,-908.6441676683
Hlavní město Praha,Přirozený přírůstek,2067,-948.7512552782
Hlavní město Praha,Přirozený přírůstek,2068,-971.4943746993
Hlavní město Praha,Přirozený přírůstek,2069,-976.9632094176
Hlavní město Praha,Přirozený přírůstek,2070,-964.8852473422
Hlavní město Praha,Přirozený přírůstek,2071,-935.3694650351
Hlavní město Praha,Přirozený přírůstek,2072,-888.1882118619
Hlavní město Praha,Přirozený přírůstek,2073,-824.1203879508
Hlavní město Praha,Přirozený přírůstek,2074,-746.8403444638
Hlavní město Praha,Přirozený přírůstek,2075,-662.0696772052
Hlavní město Praha,Přirozený přírůstek,2076,-576.8162173128
Hlavní město Praha,Přirozený přírůstek,2077,-498.3897988261
Hlavní město Praha,Přirozený přírůstek,2078,-433.6077261138
