Území,Ukazatel,Typ kontroly,Roky,value
Česko,Počet aktivních podniků,Podniky celkem,2023,1147007.0
Česko,Počet aktivních podniků,Podniky celkem,2022,1124406.0
Česko,Počet aktivních podniků,Podniky celkem,2021,1089002.0
Česko,Počet aktivních podniků,Podniky celkem,2020,1068446.0
Česko,Počet aktivních podniků,Podniky celkem,2019,1058776.0
Česko,Počet aktivních podniků,Podniky celkem,2018,1043330.0
Česko,Počet aktivních podniků,Podniky celkem,2017,1019773.0
Česko,Počet aktivních podniků,Podniky pod tuzemskou kontrolou,2023,1121320.0
Česko,Počet aktivních podniků,Podniky pod tuzemskou kontrolou,2022,1101555.0
Česko,Počet aktivních podniků,Podniky pod tuzemskou kontrolou,2021,1068574.0
Česko,Počet aktivních podniků,Podniky pod tuzemskou kontrolou,2020,1048595.0
Česko,Počet aktivních podniků,Podniky pod tuzemskou kontrolou,2019,1040762.0
Česko,Počet aktivních podniků,Podniky pod tuzemskou kontrolou,2018,1025907.0
Česko,Počet aktivních podniků,Podniky pod tuzemskou kontrolou,2017,1004700.0
Česko,Počet aktivních podniků,Podniky pod zahraniční kontrolou,2023,25687.0
Česko,Počet aktivních podniků,Podniky pod zahraniční kontrolou,2022,22851.0
Česko,Počet aktivních podniků,Podniky pod zahraniční kontrolou,2021,20428.0
Česko,Počet aktivních podniků,Podniky pod zahraniční kontrolou,2020,19851.0
Česko,Počet aktivních podniků,Podniky pod zahraniční kontrolou,2019,18014.0
Česko,Počet aktivních podniků,Podniky pod zahraniční kontrolou,2018,17423.0
Česko,Počet aktivních podniků,Podniky pod zahraniční kontrolou,2017,15073.0
Česko,Obrat (mil. CZK),Podniky celkem,2023,
Česko,Obrat (mil. CZK),Podniky celkem,2022,
Česko,Obrat (mil. CZK),Podniky celkem,2021,
Česko,Obrat (mil. CZK),Podniky celkem,2020,13582694.094
Česko,Obrat (mil. CZK),Podniky celkem,2019,14422473.875
Česko,Obrat (mil. CZK),Podniky celkem,2018,13877245.767
Česko,Obrat (mil. CZK),Podniky celkem,2017,13057540.081
Česko,Obrat (mil. CZK),Podniky pod tuzemskou kontrolou,2023,
Česko,Obrat (mil. CZK),Podniky pod tuzemskou kontrolou,2022,
Česko,Obrat (mil. CZK),Podniky pod tuzemskou kontrolou,2021,
Česko,Obrat (mil. CZK),Podniky pod tuzemskou kontrolou,2020,7393233.39
Česko,Obrat (mil. CZK),Podniky pod tuzemskou kontrolou,2019,7801368.383
Česko,Obrat (mil. CZK),Podniky pod tuzemskou kontrolou,2018,7468654.695
Česko,Obrat (mil. CZK),Podniky pod tuzemskou kontrolou,2017,6937482.414
Česko,Obrat (mil. CZK),Podniky pod zahraniční kontrolou,2023,
Česko,Obrat (mil. CZK),Podniky pod zahraniční kontrolou,2022,
Česko,Obrat (mil. CZK),Podniky pod zahraniční kontrolou,2021,
Česko,Obrat (mil. CZK),Podniky pod zahraniční kontrolou,2020,6189460.704
Česko,Obrat (mil. CZK),Podniky pod zahraniční kontrolou,2019,6621105.493
Česko,Obrat (mil. CZK),Podniky pod zahraniční kontrolou,2018,6408591.073
Česko,Obrat (mil. CZK),Podniky pod zahraniční kontrolou,2017,6120057.667
Česko,Čistý obrat (mil. CZK),Podniky celkem,2023,18472473.4672655
Česko,Čistý obrat (mil. CZK),Podniky celkem,2022,19261343.201995
Česko,Čistý obrat (mil. CZK),Podniky celkem,2021,15804110.9669463
Česko,Čistý obrat (mil. CZK),Podniky celkem,2020,
Česko,Čistý obrat (mil. CZK),Podniky celkem,2019,
Česko,Čistý obrat (mil. CZK),Podniky celkem,2018,
Česko,Čistý obrat (mil. CZK),Podniky celkem,2017,
Česko,Čistý obrat (mil. CZK),Podniky pod tuzemskou kontrolou,2023,10082956.6576846
Česko,Čistý obrat (mil. CZK),Podniky pod tuzemskou kontrolou,2022,10488697.4552836
Česko,Čistý obrat (mil. CZK),Podniky pod tuzemskou kontrolou,2021,8787825.40075438
Česko,Čistý obrat (mil. CZK),Podniky pod tuzemskou kontrolou,2020,
Česko,Čistý obrat (mil. CZK),Podniky pod tuzemskou kontrolou,2019,
Česko,Čistý obrat (mil. CZK),Podniky pod tuzemskou kontrolou,2018,
Česko,Čistý obrat (mil. CZK),Podniky pod tuzemskou kontrolou,2017,
Česko,Čistý obrat (mil. CZK),Podniky pod zahraniční kontrolou,2023,8389516.80958082
Česko,Čistý obrat (mil. CZK),Podniky pod zahraniční kontrolou,2022,8772645.74671142
Česko,Čistý obrat (mil. CZK),Podniky pod zahraniční kontrolou,2021,7016285.56619191
Česko,Čistý obrat (mil. CZK),Podniky pod zahraniční kontrolou,2020,
Česko,Čistý obrat (mil. CZK),Podniky pod zahraniční kontrolou,2019,
Česko,Čistý obrat (mil. CZK),Podniky pod zahraniční kontrolou,2018,
Česko,Čistý obrat (mil. CZK),Podniky pod zahraniční kontrolou,2017,
