Území;Rok sčítání;Ukazatel;Počet vyjíždějících osob;value
Česká republika;2011;Vyjíždějící celkem;Celkem;2846076
Česká republika;2011;Vyjíždějící do zaměstnání;Celkem;2062124
Česká republika;2011;Vyjíždějící do zaměstnání v rámci obce;Celkem;924948
Česká republika;2011;Vyjíždějící do zaměstnání do jiné obce okresu;Celkem;596686
Česká republika;2011;Vyjíždějící do zaměstnání do jiného okresu kraje;Celkem;254617
Česká republika;2011;Vyjíždějící do zaměstnání do jiného kraje;Celkem;248625
Česká republika;2011;Vyjíždějící do zaměstnání do zahraničí;Celkem;37248
Česká republika;2011;Vyjíždějící do škol;Celkem;783952
Česká republika;2011;Vyjíždějící do škol v rámci obce;Celkem;354218
Česká republika;2011;Vyjíždějící do škol mimo obec;Celkem;429734
