Roky;Kategorie ubytovacího zařízení;Oblasti destinačního managementu členěné;Rezidence;Ukazatel;value
2024;HUZ celkem;Praha;Celkem;Počet hostů;8063367.0
2024;HUZ celkem;Praha;Celkem;Počet přenocování;18279256.0
2024;HUZ celkem;Praha;Celkem;Průměrný počet přenocování ;2.2669507663
2024;HUZ celkem;Praha;Rezidenti;Počet hostů;1561069.0
2024;HUZ celkem;Praha;Rezidenti;Počet přenocování;2614466.0
2024;HUZ celkem;Praha;Rezidenti;Průměrný počet přenocování ;1.6747920816
2024;HUZ celkem;Praha;Nerezidenti;Počet hostů;6502298.0
2024;HUZ celkem;Praha;Nerezidenti;Počet přenocování;15664790.0
2024;HUZ celkem;Praha;Nerezidenti;Průměrný počet přenocování ;2.4091159772
2024;HUZ celkem;Praha;Belgie;Počet hostů;
2024;HUZ celkem;Praha;Belgie;Počet přenocování;
2024;HUZ celkem;Praha;Belgie;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Bulharsko;Počet hostů;
2024;HUZ celkem;Praha;Bulharsko;Počet přenocování;
2024;HUZ celkem;Praha;Bulharsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Dánsko;Počet hostů;
2024;HUZ celkem;Praha;Dánsko;Počet přenocování;
2024;HUZ celkem;Praha;Dánsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Estonsko;Počet hostů;
2024;HUZ celkem;Praha;Estonsko;Počet přenocování;
2024;HUZ celkem;Praha;Estonsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Finsko;Počet hostů;
2024;HUZ celkem;Praha;Finsko;Počet přenocování;
2024;HUZ celkem;Praha;Finsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Francie;Počet hostů;
2024;HUZ celkem;Praha;Francie;Počet přenocování;
2024;HUZ celkem;Praha;Francie;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Chorvatsko;Počet hostů;
2024;HUZ celkem;Praha;Chorvatsko;Počet přenocování;
2024;HUZ celkem;Praha;Chorvatsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Irsko;Počet hostů;
2024;HUZ celkem;Praha;Irsko;Počet přenocování;
2024;HUZ celkem;Praha;Irsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Island;Počet hostů;
2024;HUZ celkem;Praha;Island;Počet přenocování;
2024;HUZ celkem;Praha;Island;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Itálie;Počet hostů;
2024;HUZ celkem;Praha;Itálie;Počet přenocování;
2024;HUZ celkem;Praha;Itálie;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Kypr;Počet hostů;
2024;HUZ celkem;Praha;Kypr;Počet přenocování;
2024;HUZ celkem;Praha;Kypr;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Litva;Počet hostů;
2024;HUZ celkem;Praha;Litva;Počet přenocování;
2024;HUZ celkem;Praha;Litva;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Lotyšsko;Počet hostů;
2024;HUZ celkem;Praha;Lotyšsko;Počet přenocování;
2024;HUZ celkem;Praha;Lotyšsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Lucembursko;Počet hostů;
2024;HUZ celkem;Praha;Lucembursko;Počet přenocování;
2024;HUZ celkem;Praha;Lucembursko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Lichtenštejnsko;Počet hostů;
2024;HUZ celkem;Praha;Lichtenštejnsko;Počet přenocování;
2024;HUZ celkem;Praha;Lichtenštejnsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Maďarsko;Počet hostů;
2024;HUZ celkem;Praha;Maďarsko;Počet přenocování;
2024;HUZ celkem;Praha;Maďarsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Malta;Počet hostů;
2024;HUZ celkem;Praha;Malta;Počet přenocování;
2024;HUZ celkem;Praha;Malta;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Německo;Počet hostů;
2024;HUZ celkem;Praha;Německo;Počet přenocování;
2024;HUZ celkem;Praha;Německo;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Nizozemské království;Počet hostů;
2024;HUZ celkem;Praha;Nizozemské království;Počet přenocování;
2024;HUZ celkem;Praha;Nizozemské království;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Norsko;Počet hostů;
2024;HUZ celkem;Praha;Norsko;Počet přenocování;
2024;HUZ celkem;Praha;Norsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Polsko;Počet hostů;
2024;HUZ celkem;Praha;Polsko;Počet přenocování;
2024;HUZ celkem;Praha;Polsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Portugalsko;Počet hostů;
2024;HUZ celkem;Praha;Portugalsko;Počet přenocování;
2024;HUZ celkem;Praha;Portugalsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Rakousko;Počet hostů;
2024;HUZ celkem;Praha;Rakousko;Počet přenocování;
2024;HUZ celkem;Praha;Rakousko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Rumunsko;Počet hostů;
2024;HUZ celkem;Praha;Rumunsko;Počet přenocování;
2024;HUZ celkem;Praha;Rumunsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Rusko;Počet hostů;
2024;HUZ celkem;Praha;Rusko;Počet přenocování;
2024;HUZ celkem;Praha;Rusko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Řecko;Počet hostů;
2024;HUZ celkem;Praha;Řecko;Počet přenocování;
2024;HUZ celkem;Praha;Řecko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Slovensko;Počet hostů;
2024;HUZ celkem;Praha;Slovensko;Počet přenocování;
2024;HUZ celkem;Praha;Slovensko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Slovinsko;Počet hostů;
2024;HUZ celkem;Praha;Slovinsko;Počet přenocování;
2024;HUZ celkem;Praha;Slovinsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Velká Británie a Severní Irsko;Počet hostů;
2024;HUZ celkem;Praha;Velká Británie a Severní Irsko;Počet přenocování;
2024;HUZ celkem;Praha;Velká Británie a Severní Irsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Srbsko a Černá Hora;Počet hostů;
2024;HUZ celkem;Praha;Srbsko a Černá Hora;Počet přenocování;
2024;HUZ celkem;Praha;Srbsko a Černá Hora;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Španělsko;Počet hostů;
2024;HUZ celkem;Praha;Španělsko;Počet přenocování;
2024;HUZ celkem;Praha;Španělsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Švédsko;Počet hostů;
2024;HUZ celkem;Praha;Švédsko;Počet přenocování;
2024;HUZ celkem;Praha;Švédsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Švýcarsko;Počet hostů;
2024;HUZ celkem;Praha;Švýcarsko;Počet přenocování;
2024;HUZ celkem;Praha;Švýcarsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Turecko;Počet hostů;
2024;HUZ celkem;Praha;Turecko;Počet přenocování;
2024;HUZ celkem;Praha;Turecko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Ukrajina;Počet hostů;
2024;HUZ celkem;Praha;Ukrajina;Počet přenocování;
2024;HUZ celkem;Praha;Ukrajina;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Ostatní evropské země;Počet hostů;
2024;HUZ celkem;Praha;Ostatní evropské země;Počet přenocování;
2024;HUZ celkem;Praha;Ostatní evropské země;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Kanada;Počet hostů;
2024;HUZ celkem;Praha;Kanada;Počet přenocování;
2024;HUZ celkem;Praha;Kanada;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Spojené státy;Počet hostů;
2024;HUZ celkem;Praha;Spojené státy;Počet přenocování;
2024;HUZ celkem;Praha;Spojené státy;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Brazílie;Počet hostů;
2024;HUZ celkem;Praha;Brazílie;Počet přenocování;
2024;HUZ celkem;Praha;Brazílie;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Mexiko;Počet hostů;
2024;HUZ celkem;Praha;Mexiko;Počet přenocování;
2024;HUZ celkem;Praha;Mexiko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Argentina;Počet hostů;
2024;HUZ celkem;Praha;Argentina;Počet přenocování;
2024;HUZ celkem;Praha;Argentina;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Ostatní americké země;Počet hostů;
