Území,CZ NACE,Ukazatel,Roky,value
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců ve fyzických osobách,2018,1103981.76805338
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců ve fyzických osobách,2019,1109677.92560534
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců ve fyzických osobách,2020,1073571.42280933
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců ve fyzických osobách,2021,1073494.52764006
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců ve fyzických osobách,2022,1097646.82302832
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců ve fyzických osobách,2023,1120448.2895598847
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců přepočtený ,2008,934794.265811364
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců přepočtený ,2009,915001.15691386
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců přepočtený ,2010,911048.825272852
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců přepočtený ,2011,909389.417237825
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců přepočtený ,2012,915685.334047533
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců přepočtený ,2013,911976.409790406
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců přepočtený ,2014,933038.420416192
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců přepočtený ,2015,966688.100482915
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců přepočtený ,2016,1007568.30500564
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců přepočtený ,2017,1041964.57739765
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců přepočtený ,2018,1064467.15463303
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců přepočtený ,2019,1058088.06188035
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců přepočtený ,2020,1018171.9655005
