Ukazatel;Území;Typ indexu;Klasifikace produkce;Kumulace měsíců;value
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2015;100.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – únor 2015;100.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – březen 2015;100.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – duben 2015;100.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – květen 2015;100.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červen 2015;100.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červenec 2015;100.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – srpen 2015;100.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – září 2015;100.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – říjen 2015;100.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – listopad 2015;100.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – prosinec 2015;100.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2016;96.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – únor 2016;96.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – březen 2016;96.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – duben 2016;96.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – květen 2016;96.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červen 2016;96.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červenec 2016;96.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – srpen 2016;96.4
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – září 2016;96.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – říjen 2016;96.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – listopad 2016;96.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – prosinec 2016;96.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2017;98.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – únor 2017;98.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – březen 2017;98.8
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – duben 2017;98.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – květen 2017;98.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červen 2017;98.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červenec 2017;98.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – srpen 2017;98.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – září 2017;98.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – říjen 2017;98.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – listopad 2017;98.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – prosinec 2017;98.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2018;99.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – únor 2018;98.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – březen 2018;98.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – duben 2018;99.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – květen 2018;99.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červen 2018;99.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – červenec 2018;99.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – srpen 2018;99.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – září 2018;100.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – říjen 2018;100.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – listopad 2018;100.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – prosinec 2018;100.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2019;102.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – únor 2019;102.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden – březen 2019;102.4
