Stát;Kumulace měsíců;Ukazatel;Směr výstavby;value
Česko;01-03 2025;Počet stavebních povolení v ČR;Celkem;13492.0
Česko;01-03 2025;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-03 2025;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-03 2025;Počet vydaných stavebních povolení - budovy;Celkem;8056.0
Česko;01-03 2025;Počet vydaných stavebních povolení - budovy;Nová výstavba;3842.0
Česko;01-03 2025;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;4214.0
Česko;01-03 2025;Počet vydaných stavebních povolení - budovy bytové;Celkem;4653.0
Česko;01-03 2025;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;2209.0
Česko;01-03 2025;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;2444.0
Česko;01-03 2025;Počet vydaných stavebních povolení - budovy nebytové;Celkem;3403.0
Česko;01-03 2025;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;1633.0
Česko;01-03 2025;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;1770.0
Česko;01-03 2025;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;5436.0
Česko;01-03 2025;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-03 2025;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-03 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;115544.0
Česko;01-03 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-03 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-03 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;86324.0
Česko;01-03 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;56278.0
Česko;01-03 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;30046.0
Česko;01-03 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;39400.0
Česko;01-03 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;30342.0
Česko;01-03 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;9058.0
Česko;01-03 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;46924.0
Česko;01-03 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;25936.0
Česko;01-03 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;20988.0
Česko;01-03 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;29220.0
Česko;01-03 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01-03 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-02 2025;Počet stavebních povolení v ČR;Celkem;8601.0
Česko;01-02 2025;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-02 2025;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-02 2025;Počet vydaných stavebních povolení - budovy;Celkem;5122.0
Česko;01-02 2025;Počet vydaných stavebních povolení - budovy;Nová výstavba;2432.0
Česko;01-02 2025;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;2690.0
Česko;01-02 2025;Počet vydaných stavebních povolení - budovy bytové;Celkem;2972.0
Česko;01-02 2025;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;1392.0
Česko;01-02 2025;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;1580.0
Česko;01-02 2025;Počet vydaných stavebních povolení - budovy nebytové;Celkem;2150.0
Česko;01-02 2025;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;1040.0
Česko;01-02 2025;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;1110.0
Česko;01-02 2025;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;3479.0
Česko;01-02 2025;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-02 2025;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-02 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;74311.0
Česko;01-02 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-02 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-02 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;55220.0
Česko;01-02 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;36366.0
