Ukazatel;ČR, kraje, okresy;Typ prostorové jednotky;Roky;value
Počet územních jednotek;Česko;Okres;2024;76
Počet územních jednotek;Česko;Okres;2023;76
Počet územních jednotek;Česko;Okres;2022;76
Počet územních jednotek;Česko;Okres;2021;76
Počet územních jednotek;Česko;Okres;2020;76
Počet územních jednotek;Česko;Okres;2019;76
Počet územních jednotek;Česko;Okres;2018;76
Počet územních jednotek;Česko;Okres;2017;76
Počet územních jednotek;Česko;Okres;2016;76
Počet územních jednotek;Česko;Okres;2015;76
Počet územních jednotek;Česko;Správní obvod obce s rozšířenou působností;2024;205
Počet územních jednotek;Česko;Správní obvod obce s rozšířenou působností;2023;205
Počet územních jednotek;Česko;Správní obvod obce s rozšířenou působností;2022;205
Počet územních jednotek;Česko;Správní obvod obce s rozšířenou působností;2021;205
Počet územních jednotek;Česko;Správní obvod obce s rozšířenou působností;2020;205
Počet územních jednotek;Česko;Správní obvod obce s rozšířenou působností;2019;205
Počet územních jednotek;Česko;Správní obvod obce s rozšířenou působností;2018;205
Počet územních jednotek;Česko;Správní obvod obce s rozšířenou působností;2017;205
Počet územních jednotek;Česko;Správní obvod obce s rozšířenou působností;2016;205
Počet územních jednotek;Česko;Správní obvod obce s rozšířenou působností;2015;205
Počet územních jednotek;Česko;Správní obvod obce s pověřeným obecním úřadem;2024;388
Počet územních jednotek;Česko;Správní obvod obce s pověřeným obecním úřadem;2023;388
Počet územních jednotek;Česko;Správní obvod obce s pověřeným obecním úřadem;2022;388
Počet územních jednotek;Česko;Správní obvod obce s pověřeným obecním úřadem;2021;388
Počet územních jednotek;Česko;Správní obvod obce s pověřeným obecním úřadem;2020;388
Počet územních jednotek;Česko;Správní obvod obce s pověřeným obecním úřadem;2019;388
Počet územních jednotek;Česko;Správní obvod obce s pověřeným obecním úřadem;2018;388
Počet územních jednotek;Česko;Správní obvod obce s pověřeným obecním úřadem;2017;388
Počet územních jednotek;Česko;Správní obvod obce s pověřeným obecním úřadem;2016;388
Počet územních jednotek;Česko;Správní obvod obce s pověřeným obecním úřadem;2015;388
Počet územních jednotek;Česko;Obec;2024;6258
Počet územních jednotek;Česko;Obec;2023;6258
Počet územních jednotek;Česko;Obec;2022;6258
Počet územních jednotek;Česko;Obec;2021;6258
Počet územních jednotek;Česko;Obec;2020;6258
Počet územních jednotek;Česko;Obec;2019;6258
Počet územních jednotek;Česko;Obec;2018;6258
Počet územních jednotek;Česko;Obec;2017;6258
Počet územních jednotek;Česko;Obec;2016;6258
Počet územních jednotek;Česko;Obec;2015;6253
Počet územních jednotek;Česko;Městský obvod (městská část) statutárních měst;2024;142
Počet územních jednotek;Česko;Městský obvod (městská část) statutárních měst;2023;142
Počet územních jednotek;Česko;Městský obvod (městská část) statutárních měst;2022;142
Počet územních jednotek;Česko;Městský obvod (městská část) statutárních měst;2021;142
Počet územních jednotek;Česko;Městský obvod (městská část) statutárních měst;2020;142
Počet územních jednotek;Česko;Městský obvod (městská část) statutárních měst;2019;142
Počet územních jednotek;Česko;Městský obvod (městská část) statutárních měst;2018;142
Počet územních jednotek;Česko;Městský obvod (městská část) statutárních měst;2017;142
Počet územních jednotek;Česko;Městský obvod (městská část) statutárních měst;2016;142
Počet územních jednotek;Česko;Městský obvod (městská část) statutárních měst;2015;142
Počet územních jednotek;Česko;Část obce;2024;15106
Počet územních jednotek;Česko;Část obce;2023;15106
Počet územních jednotek;Česko;Část obce;2022;15105
Počet územních jednotek;Česko;Část obce;2021;15105
Počet územních jednotek;Česko;Část obce;2020;15104
Počet územních jednotek;Česko;Část obce;2019;15102
Počet územních jednotek;Česko;Část obce;2018;15099
Počet územních jednotek;Česko;Část obce;2017;15094
Počet územních jednotek;Česko;Část obce;2016;15093
Počet územních jednotek;Česko;Část obce;2015;15092
Počet územních jednotek;Česko;Katastrální území;2024;13074
Počet územních jednotek;Česko;Katastrální území;2023;13076
Počet územních jednotek;Česko;Katastrální území;2022;13077
Počet územních jednotek;Česko;Katastrální území;2021;13077
Počet územních jednotek;Česko;Katastrální území;2020;13076
Počet územních jednotek;Česko;Katastrální území;2019;13076
Počet územních jednotek;Česko;Katastrální území;2018;13078
Počet územních jednotek;Česko;Katastrální území;2017;13084
Počet územních jednotek;Česko;Katastrální území;2016;13091
Počet územních jednotek;Česko;Katastrální území;2015;13091
Počet územních jednotek;Česko;Základní sídelní jednotka;2024;23590
Počet územních jednotek;Česko;Základní sídelní jednotka;2023;23588
Počet územních jednotek;Česko;Základní sídelní jednotka;2022;23584
Počet územních jednotek;Česko;Základní sídelní jednotka;2021;23583
Počet územních jednotek;Česko;Základní sídelní jednotka;2020;22654
Počet územních jednotek;Česko;Základní sídelní jednotka;2019;22652
Počet územních jednotek;Česko;Základní sídelní jednotka;2018;22543
Počet územních jednotek;Česko;Základní sídelní jednotka;2017;22534
Počet územních jednotek;Česko;Základní sídelní jednotka;2016;22505
Počet územních jednotek;Česko;Základní sídelní jednotka;2015;22503
