Rok sčítání;Území;Ukazatel;value
2011;Královéhradecký kraj;Obydlené nájemní/pronajaté byty;40623
2011;Královéhradecký kraj;Obydlené byty s 1 obytnou místností;11518
2011;Královéhradecký kraj;Obydlené byty se 2 obytnými místnostmi;25382
2011;Královéhradecký kraj;Obydlené byty se 3 obytnými místnostmi;54015
2011;Královéhradecký kraj;Obydlené byty se 4 obytnými místnostmi;59723
2011;Královéhradecký kraj;Obydlené byty s 5 a více obytnými místnostmi;48433
2011;Pardubický kraj;Počet  obydlených bytů;196288
2011;Pardubický kraj;Obydlené byty ve vlastním domě;88567
2011;Pardubický kraj;Obydlené byty v osobním vlastnictví;35138
2011;Pardubický kraj;Obydlené družstevní byty;13933
2011;Pardubický kraj;Obydlené nájemní/pronajaté byty;35193
2011;Pardubický kraj;Obydlené byty s 1 obytnou místností;9562
2011;Pardubický kraj;Obydlené byty se 2 obytnými místnostmi;21359
2011;Pardubický kraj;Obydlené byty se 3 obytnými místnostmi;49561
2011;Pardubický kraj;Obydlené byty se 4 obytnými místnostmi;55894
2011;Pardubický kraj;Obydlené byty s 5 a více obytnými místnostmi;46830
2011;Kraj Vysočina;Počet  obydlených bytů;188191
2011;Kraj Vysočina;Obydlené byty ve vlastním domě;93478
2011;Kraj Vysočina;Obydlené byty v osobním vlastnictví;32923
2011;Kraj Vysočina;Obydlené družstevní byty;13087
2011;Kraj Vysočina;Obydlené nájemní/pronajaté byty;26964
2011;Kraj Vysočina;Obydlené byty s 1 obytnou místností;6649
2011;Kraj Vysočina;Obydlené byty se 2 obytnými místnostmi;18410
2011;Kraj Vysočina;Obydlené byty se 3 obytnými místnostmi;46384
2011;Kraj Vysočina;Obydlené byty se 4 obytnými místnostmi;54982
2011;Kraj Vysočina;Obydlené byty s 5 a více obytnými místnostmi;50703
2011;Jihomoravský kraj;Počet  obydlených bytů;443358
2011;Jihomoravský kraj;Obydlené byty ve vlastním domě;189389
2011;Jihomoravský kraj;Obydlené byty v osobním vlastnictví;74510
2011;Jihomoravský kraj;Obydlené družstevní byty;33301
2011;Jihomoravský kraj;Obydlené nájemní/pronajaté byty;96139
2011;Jihomoravský kraj;Obydlené byty s 1 obytnou místností;19714
2011;Jihomoravský kraj;Obydlené byty se 2 obytnými místnostmi;49791
2011;Jihomoravský kraj;Obydlené byty se 3 obytnými místnostmi;106015
2011;Jihomoravský kraj;Obydlené byty se 4 obytnými místnostmi;121824
2011;Jihomoravský kraj;Obydlené byty s 5 a více obytnými místnostmi;112593
2011;Olomoucký kraj;Počet  obydlených bytů;243624
2011;Olomoucký kraj;Obydlené byty ve vlastním domě;100046
2011;Olomoucký kraj;Obydlené byty v osobním vlastnictví;49655
2011;Olomoucký kraj;Obydlené družstevní byty;21003
2011;Olomoucký kraj;Obydlené nájemní/pronajaté byty;44529
2011;Olomoucký kraj;Obydlené byty s 1 obytnou místností;9942
2011;Olomoucký kraj;Obydlené byty se 2 obytnými místnostmi;26230
2011;Olomoucký kraj;Obydlené byty se 3 obytnými místnostmi;61063
2011;Olomoucký kraj;Obydlené byty se 4 obytnými místnostmi;75413
2011;Olomoucký kraj;Obydlené byty s 5 a více obytnými místnostmi;54483
2011;Zlínský kraj;Počet  obydlených bytů;217093
2011;Zlínský kraj;Obydlené byty ve vlastním domě;104890
2011;Zlínský kraj;Obydlené byty v osobním vlastnictví;40868
2011;Zlínský kraj;Obydlené družstevní byty;14898
2011;Zlínský kraj;Obydlené nájemní/pronajaté byty;32023
2011;Zlínský kraj;Obydlené byty s 1 obytnou místností;9898
2011;Zlínský kraj;Obydlené byty se 2 obytnými místnostmi;20551
2011;Zlínský kraj;Obydlené byty se 3 obytnými místnostmi;51698
2011;Zlínský kraj;Obydlené byty se 4 obytnými místnostmi;62583
2011;Zlínský kraj;Obydlené byty s 5 a více obytnými místnostmi;58300
2011;Moravskoslezský kraj;Počet  obydlených bytů;480158
2011;Moravskoslezský kraj;Obydlené byty ve vlastním domě;144276
2011;Moravskoslezský kraj;Obydlené byty v osobním vlastnictví;64073
2011;Moravskoslezský kraj;Obydlené družstevní byty;77533
2011;Moravskoslezský kraj;Obydlené nájemní/pronajaté byty;139456
2011;Moravskoslezský kraj;Obydlené byty s 1 obytnou místností;23334
2011;Moravskoslezský kraj;Obydlené byty se 2 obytnými místnostmi;60783
2011;Moravskoslezský kraj;Obydlené byty se 3 obytnými místnostmi;129725
2011;Moravskoslezský kraj;Obydlené byty se 4 obytnými místnostmi;140215
2011;Moravskoslezský kraj;Obydlené byty s 5 a více obytnými místnostmi;88726
