Území,Ukazatel,Typ indexu,Očištění,Typ ceny,Odvětví (NACE),Měsíce,value
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",srpen 2025,100.3325884712
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",červenec 2025,99.7683081031
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",červen 2025,101.8655206801
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",květen 2025,102.6163207648
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",duben 2025,102.2274738978
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",březen 2025,102.0863901716
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",únor 2025,103.649157852
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",leden 2025,103.6166022246
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",prosinec 2024,102.2471594648
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",listopad 2024,102.1832582939
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",říjen 2024,101.9463241452
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",září 2024,101.6007878665
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",srpen 2024,103.0453215544
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",červenec 2024,103.9659255676
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",červen 2024,102.1469478961
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",květen 2024,102.770541882
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",duben 2024,103.8497226004
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",březen 2024,103.0597519436
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",únor 2024,100.5557485101
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",leden 2024,99.6830004588
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",prosinec 2023,99.7058648751
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",listopad 2023,97.0165464272
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",říjen 2023,96.5210470364
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,"Sekce H,I,J,L,M a N - Služby celkem",září 2023,97.0539708354
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,Sekce H - Doprava a skladování,srpen 2025,99.05560948
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,Sekce H - Doprava a skladování,červenec 2025,98.4350298757
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,Sekce H - Doprava a skladování,červen 2025,101.71103076
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,Sekce H - Doprava a skladování,květen 2025,103.1887429884
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,Sekce H - Doprava a skladování,duben 2025,101.8485645427
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,Sekce H - Doprava a skladování,březen 2025,101.3441751329
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,Sekce H - Doprava a skladování,únor 2025,101.5460776807
Česko,Index tržeb bez DPH  (%),Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Stálé ceny,Sekce H - Doprava a skladování,leden 2025,105.3655552149
