Území;Odvětví ekonomické činnosti ;Ukazatel;Roky;value
Česko;Celkem;Počet rychle rostoucích podniků;2022;3294.0
Česko;Celkem;Počet rychle rostoucích podniků;2021;3242.0
Česko;Celkem;Počet rychle rostoucích podniků;2020;3384.0
Česko;Celkem;Počet rychle rostoucích podniků;2019;4101.0
Česko;Celkem;Počet rychle rostoucích podniků;2018;4528.0
Česko;Celkem;Počet rychle rostoucích podniků;2017;4544.0
Česko;Celkem;Počet rychle rostoucích podniků;2016;4255.0
Česko;Celkem;Počet rychle rostoucích podniků;2015;3981.0
Česko;Celkem;Počet rychle rostoucích podniků;2014;3090.0
Česko;Celkem;Počet rychle rostoucích podniků;2013;4470.0
Česko;Celkem;Podíl rychle rostoucích podniků na aktivních podnicích s 10 a více zaměstnanci (%);2022;8.6
Česko;Celkem;Podíl rychle rostoucích podniků na aktivních podnicích s 10 a více zaměstnanci (%);2021;8.49
Česko;Celkem;Podíl rychle rostoucích podniků na aktivních podnicích s 10 a více zaměstnanci (%);2020;8.8456712673
Česko;Celkem;Podíl rychle rostoucích podniků na aktivních podnicích s 10 a více zaměstnanci (%);2019;10.4946643806
Česko;Celkem;Podíl rychle rostoucích podniků na aktivních podnicích s 10 a více zaměstnanci (%);2018;11.6410005913
Česko;Celkem;Podíl rychle rostoucích podniků na aktivních podnicích s 10 a více zaměstnanci (%);2017;11.8633005248
Česko;Celkem;Podíl rychle rostoucích podniků na aktivních podnicích s 10 a více zaměstnanci (%);2016;11.2625727898
Česko;Celkem;Podíl rychle rostoucích podniků na aktivních podnicích s 10 a více zaměstnanci (%);2015;10.6137357364
Česko;Celkem;Podíl rychle rostoucích podniků na aktivních podnicích s 10 a více zaměstnanci (%);2014;8.3362559689
Česko;Celkem;Podíl rychle rostoucích podniků na aktivních podnicích s 10 a více zaměstnanci (%);2013;10.6825351305
Česko;Celkem;Počet mladých rychle rostoucích podniků;2022;289.0
Česko;Celkem;Počet mladých rychle rostoucích podniků;2021;316.0
Česko;Celkem;Počet mladých rychle rostoucích podniků;2020;280.0
Česko;Celkem;Počet mladých rychle rostoucích podniků;2019;318.0
Česko;Celkem;Počet mladých rychle rostoucích podniků;2018;338.0
Česko;Celkem;Počet mladých rychle rostoucích podniků;2017;330.0
Česko;Celkem;Počet mladých rychle rostoucích podniků;2016;319.0
Česko;Celkem;Počet mladých rychle rostoucích podniků;2015;351.0
Česko;Celkem;Počet mladých rychle rostoucích podniků;2014;324.0
Česko;Celkem;Počet mladých rychle rostoucích podniků;2013;380.0
