Kumulace čtvrtletí;ČR, kraje;Ukazatel;value
Q1-Q4 2024;Česko;Živě narození na 1 000 obyvatel;7.7445239443
Q1-Q4 2024;Česko;Zemřelí na 1 000 obyvatel;10.307323793
Q1-Q4 2024;Česko;Přirozený přírůstek/úbytek na 1 000 obyvatel;-2.5627998487
Q1-Q4 2024;Česko;Přistěhovalí na 1 000 obyvatel;11.1902496764
Q1-Q4 2024;Česko;Vystěhovalí na 1 000 obyvatel;7.8057923135
Q1-Q4 2024;Česko;Přírůstek/úbytek stěhováním na 1 000 obyvatel;3.384457363
Q1-Q4 2024;Česko;Celkový přírůstek/úbytek na 1 000 obyvatel;0.8216575142
Q1-Q4 2024;Česko;Sňatky na 1 000 obyvatel;4.0863338377
Q1-Q4 2024;Česko;Rozvody na 1 000 obyvatel;1.9102503819
Q1-Q4 2024;Hlavní město Praha;Živě narození na 1 000 obyvatel;8.7108265086
Q1-Q4 2024;Hlavní město Praha;Zemřelí na 1 000 obyvatel;8.4996331145
Q1-Q4 2024;Hlavní město Praha;Přirozený přírůstek/úbytek na 1 000 obyvatel;0.211193394
Q1-Q4 2024;Hlavní město Praha;Přistěhovalí na 1 000 obyvatel;45.18601597
Q1-Q4 2024;Hlavní město Praha;Vystěhovalí na 1 000 obyvatel;35.920176105
Q1-Q4 2024;Hlavní město Praha;Přírůstek/úbytek stěhováním na 1 000 obyvatel;9.265839865
Q1-Q4 2024;Hlavní město Praha;Celkový přírůstek/úbytek na 1 000 obyvatel;9.477033259
Q1-Q4 2024;Hlavní město Praha;Sňatky na 1 000 obyvatel;4.4610099513
Q1-Q4 2024;Hlavní město Praha;Rozvody na 1 000 obyvatel;1.7154958288
Q1-Q4 2024;Středočeský kraj;Živě narození na 1 000 obyvatel;7.5231651965
Q1-Q4 2024;Středočeský kraj;Zemřelí na 1 000 obyvatel;9.4229682281
Q1-Q4 2024;Středočeský kraj;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.8998030316
Q1-Q4 2024;Středočeský kraj;Přistěhovalí na 1 000 obyvatel;30.4948188747
Q1-Q4 2024;Středočeský kraj;Vystěhovalí na 1 000 obyvatel;21.5555365248
Q1-Q4 2024;Středočeský kraj;Přírůstek/úbytek stěhováním na 1 000 obyvatel;8.9392823499
Q1-Q4 2024;Středočeský kraj;Celkový přírůstek/úbytek na 1 000 obyvatel;7.0394793183
Q1-Q4 2024;Středočeský kraj;Sňatky na 1 000 obyvatel;3.8763381005
Q1-Q4 2024;Středočeský kraj;Rozvody na 1 000 obyvatel;2.018326625
Q1-Q4 2024;Jihočeský kraj;Živě narození na 1 000 obyvatel;7.7811121999
