Ukazatel;Území;Roky;value
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Středočeský kraj;2010;24683.16
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Středočeský kraj;2009;33416.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Středočeský kraj;2008;32321.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Středočeský kraj;2007;32396.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Středočeský kraj;2006;28732.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Středočeský kraj;2005;25299.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Středočeský kraj;2004;22951.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Středočeský kraj;2003;23621.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Středočeský kraj;2002;21351.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Středočeský kraj;2001;21444.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Středočeský kraj;2000;17547.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Středočeský kraj;1999;16907.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Středočeský kraj;1998;20596.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2023;27926.219
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2022;26359.427
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2021;22955.816
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2020;20163.45
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2019;20156.913
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2018;20679.63
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2017;20701.922
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2016;17631.277
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2015;23237.52
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2014;20860.821
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2013;19362.531
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2012;21064.258
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2011;22538.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2010;17387.006
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2009;19745.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2008;21823.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2007;21289.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2006;17181.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2005;16227.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2004;16537.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2003;15784.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2002;12674.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2001;12598.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;2000;12329.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;1999;11515.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Jihočeský kraj;1998;13644.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2023;22482.921
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2022;23217.528
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2021;19131.303
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2020;17473.121
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2019;14997.862
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2018;13957.536
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2017;12588.3
