Rok sčítání;Území;Ukazatel;Druh domu;value
2021;Česká republika;Počet domů;Domy celkem;2317276
2021;Česká republika;Počet domů;Rodinné domy;2065723
2021;Česká republika;Počet domů;Bytové domy;209614
2021;Česká republika;Počet domů;Ostatní budovy;41939
2021;Česká republika;Počet obydlených domů;Domy celkem;1952668
2021;Česká republika;Počet obydlených domů;Rodinné domy;1709845
2021;Česká republika;Počet obydlených domů;Bytové domy;207540
2021;Česká republika;Počet obydlených domů;Ostatní budovy;35283
2021;Hlavní město Praha;Počet domů;Domy celkem;106154
2021;Hlavní město Praha;Počet domů;Rodinné domy;68403
2021;Hlavní město Praha;Počet domů;Bytové domy;34728
2021;Hlavní město Praha;Počet domů;Ostatní budovy;3023
2021;Hlavní město Praha;Počet obydlených domů;Domy celkem;98217
2021;Hlavní město Praha;Počet obydlených domů;Rodinné domy;61178
2021;Hlavní město Praha;Počet obydlených domů;Bytové domy;34399
2021;Hlavní město Praha;Počet obydlených domů;Ostatní budovy;2640
2021;Středočeský kraj;Počet domů;Domy celkem;398487
2021;Středočeský kraj;Počet domů;Rodinné domy;372767
2021;Středočeský kraj;Počet domů;Bytové domy;19729
2021;Středočeský kraj;Počet domů;Ostatní budovy;5991
2021;Středočeský kraj;Počet obydlených domů;Domy celkem;331341
2021;Středočeský kraj;Počet obydlených domů;Rodinné domy;306925
2021;Středočeský kraj;Počet obydlených domů;Bytové domy;19547
2021;Středočeský kraj;Počet obydlených domů;Ostatní budovy;4869
2021;Jihočeský kraj;Počet domů;Domy celkem;174815
2021;Jihočeský kraj;Počet domů;Rodinné domy;159684
2021;Jihočeský kraj;Počet domů;Bytové domy;11981
2021;Jihočeský kraj;Počet domů;Ostatní budovy;3150
2021;Jihočeský kraj;Počet obydlených domů;Domy celkem;133404
2021;Jihočeský kraj;Počet obydlených domů;Rodinné domy;119074
2021;Jihočeský kraj;Počet obydlených domů;Bytové domy;11798
2021;Jihočeský kraj;Počet obydlených domů;Ostatní budovy;2532
2021;Plzeňský kraj;Počet domů;Domy celkem;142762
2021;Plzeňský kraj;Počet domů;Rodinné domy;127656
2021;Plzeňský kraj;Počet domů;Bytové domy;12561
2021;Plzeňský kraj;Počet domů;Ostatní budovy;2545
2021;Plzeňský kraj;Počet obydlených domů;Domy celkem;115802
2021;Plzeňský kraj;Počet obydlených domů;Rodinné domy;101299
2021;Plzeňský kraj;Počet obydlených domů;Bytové domy;12403
2021;Plzeňský kraj;Počet obydlených domů;Ostatní budovy;2100
2021;Karlovarský kraj;Počet domů;Domy celkem;48308
2021;Karlovarský kraj;Počet domů;Rodinné domy;38056
2021;Karlovarský kraj;Počet domů;Bytové domy;8864
2021;Karlovarský kraj;Počet domů;Ostatní budovy;1388
2021;Karlovarský kraj;Počet obydlených domů;Domy celkem;42406
2021;Karlovarský kraj;Počet obydlených domů;Rodinné domy;32507
2021;Karlovarský kraj;Počet obydlených domů;Bytové domy;8727
2021;Karlovarský kraj;Počet obydlených domů;Ostatní budovy;1172
2021;Ústecký kraj;Počet domů;Domy celkem;144024
2021;Ústecký kraj;Počet domů;Rodinné domy;120810
2021;Ústecký kraj;Počet domů;Bytové domy;20034
2021;Ústecký kraj;Počet domů;Ostatní budovy;3180
2021;Ústecký kraj;Počet obydlených domů;Domy celkem;123776
2021;Ústecký kraj;Počet obydlených domů;Rodinné domy;101292
2021;Ústecký kraj;Počet obydlených domů;Bytové domy;19813
2021;Ústecký kraj;Počet obydlených domů;Ostatní budovy;2671
2021;Liberecký kraj;Počet domů;Domy celkem;98458
2021;Liberecký kraj;Počet domů;Rodinné domy;86059
2021;Liberecký kraj;Počet domů;Bytové domy;9857
2021;Liberecký kraj;Počet domů;Ostatní budovy;2542
2021;Liberecký kraj;Počet obydlených domů;Domy celkem;79493
2021;Liberecký kraj;Počet obydlených domů;Rodinné domy;67533
2021;Liberecký kraj;Počet obydlených domů;Bytové domy;9720
2021;Liberecký kraj;Počet obydlených domů;Ostatní budovy;2240
