Území;Roky;Druh cesty ;Kategorie ubytovacího zařízení;Ukazatel;Pohlaví;value
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Vlastní rekreační zařízení;Náklady (Kč);Muži;3491925566.9
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Vlastní rekreační zařízení;Náklady (Kč);Ženy;2718251454.6
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Počet cest;Celkem;2597879.6456
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Počet cest;Muži;1051128.3953
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Počet cest;Ženy;1546751.2503
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Počet přenocování;Celkem;18041226.035
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Počet přenocování;Muži;7194549.6405
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Počet přenocování;Ženy;10846676.395
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Náklady (Kč);Celkem;10003570497.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Náklady (Kč);Muži;4294508314.2
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Náklady (Kč);Ženy;5709062182.7
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Počet cest;Celkem;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Počet cest;Muži;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Počet cest;Ženy;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Počet přenocování;Celkem;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Počet přenocování;Muži;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Počet přenocování;Ženy;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Náklady (Kč);Celkem;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Náklady (Kč);Muži;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Náklady (Kč);Ženy;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Počet cest;Celkem;3312098.8881
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Počet cest;Muži;1526814.5535
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Počet cest;Ženy;1785284.3346
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Počet přenocování;Celkem;7355099.4621
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Počet přenocování;Muži;3421462.9586
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Počet přenocování;Ženy;3933636.5035
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Náklady (Kč);Celkem;16866937245.0
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Náklady (Kč);Muži;7790285199.3
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Náklady (Kč);Ženy;9076652045.6
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Kemp;Počet cest;Celkem;373793.40173
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Kemp;Počet cest;Muži;213430.68638
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Kemp;Počet cest;Ženy;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Kemp;Počet přenocování;Celkem;770723.01422
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Kemp;Počet přenocování;Muži;445925.47142
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Kemp;Počet přenocování;Ženy;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Kemp;Náklady (Kč);Celkem;1087479570.8
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Kemp;Náklady (Kč);Muži;652034841.2
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Kemp;Náklady (Kč);Ženy;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Počet cest;Celkem;744409.33168
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Počet cest;Muži;398174.43437
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Počet cest;Ženy;346234.89731
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Počet přenocování;Celkem;1696840.3603
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Počet přenocování;Muži;913922.28034
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Počet přenocování;Ženy;782918.07997
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Náklady (Kč);Celkem;3079476222.0
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Náklady (Kč);Muži;1716115077.3
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Náklady (Kč);Ženy;1363361144.7
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet cest;Celkem;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet cest;Muži;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet cest;Ženy;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet přenocování;Celkem;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet přenocování;Muži;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet přenocování;Ženy;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Náklady (Kč);Celkem;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Náklady (Kč);Muži;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Náklady (Kč);Ženy;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Vlastní rekreační zařízení;Počet cest;Celkem;2786791.2759
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Vlastní rekreační zařízení;Počet cest;Muži;1406666.6586
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Vlastní rekreační zařízení;Počet cest;Ženy;1380124.6173
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Vlastní rekreační zařízení;Počet přenocování;Celkem;5717935.0494
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Vlastní rekreační zařízení;Počet přenocování;Muži;2879032.3951
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Vlastní rekreační zařízení;Počet přenocování;Ženy;2838902.6544
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Vlastní rekreační zařízení;Náklady (Kč);Celkem;2460975636.4
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Vlastní rekreační zařízení;Náklady (Kč);Muži;1275632093.9
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Vlastní rekreační zařízení;Náklady (Kč);Ženy;1185343542.5
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Počet cest;Celkem;6952182.6655
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Počet cest;Muži;3310184.2053
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Počet cest;Ženy;3641998.4602
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Počet přenocování;Celkem;13455787.673
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Počet přenocování;Muži;6375464.2994
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Počet přenocování;Ženy;7080323.3737
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Náklady (Kč);Celkem;9002482309.7
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Náklady (Kč);Muži;4578297727.5
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;U příbuzných a známých;Náklady (Kč);Ženy;4424184582.2
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Počet cest;Celkem;223015.74151
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Počet cest;Muži;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Počet cest;Ženy;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Počet přenocování;Celkem;415255.28935
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Počet přenocování;Muži;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Počet přenocování;Ženy;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Náklady (Kč);Celkem;459824315.4
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Náklady (Kč);Muži;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Jiné zařízení;Náklady (Kč);Ženy;
Česko;2023;Služební cesty;Hotely a penziony;Počet cest;Celkem;860344.56231
Česko;2023;Služební cesty;Hotely a penziony;Počet cest;Muži;
Česko;2023;Služební cesty;Hotely a penziony;Počet cest;Ženy;
Česko;2023;Služební cesty;Hotely a penziony;Počet přenocování;Celkem;1758572.442
Česko;2023;Služební cesty;Hotely a penziony;Počet přenocování;Muži;
Česko;2023;Služební cesty;Hotely a penziony;Počet přenocování;Ženy;
Česko;2023;Služební cesty;Hotely a penziony;Náklady (Kč);Celkem;8491045140.6
Česko;2023;Služební cesty;Hotely a penziony;Náklady (Kč);Muži;
Česko;2023;Služební cesty;Hotely a penziony;Náklady (Kč);Ženy;
Česko;2023;Služební cesty;Kemp;Počet cest;Celkem;
Česko;2023;Služební cesty;Kemp;Počet cest;Muži;
Česko;2023;Služební cesty;Kemp;Počet cest;Ženy;
Česko;2023;Služební cesty;Kemp;Počet přenocování;Celkem;
Česko;2023;Služební cesty;Kemp;Počet přenocování;Muži;
Česko;2023;Služební cesty;Kemp;Počet přenocování;Ženy;
Česko;2023;Služební cesty;Kemp;Náklady (Kč);Celkem;
Česko;2023;Služební cesty;Kemp;Náklady (Kč);Muži;
Česko;2023;Služební cesty;Kemp;Náklady (Kč);Ženy;
Česko;2023;Služební cesty;Individuální ubytovací zařízení placené;Počet cest;Celkem;
Česko;2023;Služební cesty;Individuální ubytovací zařízení placené;Počet cest;Muži;
Česko;2023;Služební cesty;Individuální ubytovací zařízení placené;Počet cest;Ženy;
Česko;2023;Služební cesty;Individuální ubytovací zařízení placené;Počet přenocování;Celkem;
Česko;2023;Služební cesty;Individuální ubytovací zařízení placené;Počet přenocování;Muži;
Česko;2023;Služební cesty;Individuální ubytovací zařízení placené;Počet přenocování;Ženy;
Česko;2023;Služební cesty;Individuální ubytovací zařízení placené;Náklady (Kč);Celkem;
Česko;2023;Služební cesty;Individuální ubytovací zařízení placené;Náklady (Kč);Muži;
Česko;2023;Služební cesty;Individuální ubytovací zařízení placené;Náklady (Kč);Ženy;
Česko;2023;Služební cesty;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet cest;Celkem;
Česko;2023;Služební cesty;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet cest;Muži;
Česko;2023;Služební cesty;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet cest;Ženy;
Česko;2023;Služební cesty;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet přenocování;Celkem;
Česko;2023;Služební cesty;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet přenocování;Muži;
Česko;2023;Služební cesty;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet přenocování;Ženy;
Česko;2023;Služební cesty;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Náklady (Kč);Celkem;
Česko;2023;Služební cesty;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Náklady (Kč);Muži;
Česko;2023;Služební cesty;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Náklady (Kč);Ženy;
Česko;2023;Služební cesty;Vlastní rekreační zařízení;Počet cest;Celkem;
Česko;2023;Služební cesty;Vlastní rekreační zařízení;Počet cest;Muži;
Česko;2023;Služební cesty;Vlastní rekreační zařízení;Počet cest;Ženy;
Česko;2023;Služební cesty;Vlastní rekreační zařízení;Počet přenocování;Celkem;
Česko;2023;Služební cesty;Vlastní rekreační zařízení;Počet přenocování;Muži;
Česko;2023;Služební cesty;Vlastní rekreační zařízení;Počet přenocování;Ženy;
Česko;2023;Služební cesty;Vlastní rekreační zařízení;Náklady (Kč);Celkem;
Česko;2023;Služební cesty;Vlastní rekreační zařízení;Náklady (Kč);Muži;
Česko;2023;Služební cesty;Vlastní rekreační zařízení;Náklady (Kč);Ženy;
Česko;2023;Služební cesty;U příbuzných a známých;Počet cest;Celkem;
Česko;2023;Služební cesty;U příbuzných a známých;Počet cest;Muži;
Česko;2023;Služební cesty;U příbuzných a známých;Počet cest;Ženy;
Česko;2023;Služební cesty;U příbuzných a známých;Počet přenocování;Celkem;
Česko;2023;Služební cesty;U příbuzných a známých;Počet přenocování;Muži;
Česko;2023;Služební cesty;U příbuzných a známých;Počet přenocování;Ženy;
Česko;2023;Služební cesty;U příbuzných a známých;Náklady (Kč);Celkem;
Česko;2023;Služební cesty;U příbuzných a známých;Náklady (Kč);Muži;
Česko;2023;Služební cesty;U příbuzných a známých;Náklady (Kč);Ženy;
Česko;2023;Služební cesty;Jiné zařízení;Počet cest;Celkem;
Česko;2023;Služební cesty;Jiné zařízení;Počet cest;Muži;
Česko;2023;Služební cesty;Jiné zařízení;Počet cest;Ženy;
Česko;2023;Služební cesty;Jiné zařízení;Počet přenocování;Celkem;
Česko;2023;Služební cesty;Jiné zařízení;Počet přenocování;Muži;
Česko;2023;Služební cesty;Jiné zařízení;Počet přenocování;Ženy;
Česko;2023;Služební cesty;Jiné zařízení;Náklady (Kč);Celkem;
Česko;2023;Služební cesty;Jiné zařízení;Náklady (Kč);Muži;
Česko;2023;Služební cesty;Jiné zařízení;Náklady (Kč);Ženy;
