Území;Ukazatel;Odvětví CZ-NACE;Roky;value
Česko;Počet registrací ekonomických subjektů;Celkem;2024;101236
Česko;Počet registrací ekonomických subjektů;Celkem;2023;90383
Česko;Počet registrací ekonomických subjektů;Celkem;2022;90257
Česko;Počet registrací ekonomických subjektů;Celkem;2021;79562
Česko;Počet registrací ekonomických subjektů;Celkem;2020;69267
Česko;Počet registrací ekonomických subjektů;Celkem;2019;77290
Česko;Počet registrací ekonomických subjektů;Celkem;2018;88123
Česko;Počet registrací ekonomických subjektů;Celkem;2017;89975
Česko;Počet registrací ekonomických subjektů;B-E Průmysl;2024;14971
Česko;Počet registrací ekonomických subjektů;B-E Průmysl;2023;15263
Česko;Počet registrací ekonomických subjektů;B-E Průmysl;2022;15788
Česko;Počet registrací ekonomických subjektů;B-E Průmysl;2021;13874
Česko;Počet registrací ekonomických subjektů;B-E Průmysl;2020;11906
Česko;Počet registrací ekonomických subjektů;B-E Průmysl;2019;13189
Česko;Počet registrací ekonomických subjektů;B-E Průmysl;2018;13206
Česko;Počet registrací ekonomických subjektů;B-E Průmysl;2017;12955
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;2024;15543
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;2023;13478
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;2022;13889
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;2021;10642
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;2020;9877
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;2019;10805
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;2018;10509
Česko;Počet registrací ekonomických subjektů;F Stavebnictví;2017;9466
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2024;9727
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2023;10107
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2022;10964
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2021;10405
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2020;9202
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2019;10876
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2018;14173
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2017;18494
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;2024;8412
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;2023;6846
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;2022;5865
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;2021;5117
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;2020;3291
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;2019;3100
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;2018;2565
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;2017;2329
