Ukazatel,Typ údaje,Území,CZ-COICOP,Měsíce,value
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Odívání a obuv,květen 2025,146.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Odívání a obuv,červen 2025,146.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Odívání a obuv,červenec 2025,144.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Odívání a obuv,srpen 2025,144.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",srpen 2024,180.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",září 2024,180.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",říjen 2024,180.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",listopad 2024,180.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",prosinec 2024,180.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",leden 2025,181.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",únor 2025,181.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",březen 2025,180.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",duben 2025,180.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",květen 2025,180.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",červen 2025,180.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",červenec 2025,181.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bydlení, voda, energie, paliva",srpen 2025,181.0
