Území;Ukazatel;Typ ceny;Očištění;CZCPA;Čtvrtletí;value
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;3. čtvrtletí 2015;788205.822278
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;2. čtvrtletí 2015;828103.307096
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;1. čtvrtletí 2015;815051.038349
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;4. čtvrtletí 2014;802122.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;3. čtvrtletí 2014;780448.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;2. čtvrtletí 2014;790981.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;1. čtvrtletí 2014;775647.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;4. čtvrtletí 2013;739115.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;3. čtvrtletí 2013;689338.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;2. čtvrtletí 2013;696544.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;1. čtvrtletí 2013;661233.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;4. čtvrtletí 2012;677099.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;3. čtvrtletí 2012;656562.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;2. čtvrtletí 2012;689981.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;1. čtvrtletí 2012;702201.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;4. čtvrtletí 2011;666186.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;3. čtvrtletí 2011;622653.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;2. čtvrtletí 2011;648552.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;1. čtvrtletí 2011;633550.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;4. čtvrtletí 2010;625432.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;3. čtvrtletí 2010;582087.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;2. čtvrtletí 2010;589924.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;1. čtvrtletí 2010;537398.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;4. čtvrtletí 2009;541470.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;3. čtvrtletí 2009;497057.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;2. čtvrtletí 2009;497783.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;1. čtvrtletí 2009;497045.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;4. čtvrtletí 2008;531133.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;3. čtvrtletí 2008;555762.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;2. čtvrtletí 2008;605696.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;Celkem;1. čtvrtletí 2008;587259.0
