Území;Roky;Ukazatel;value
Česko;2000;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3894.3
Česko;2000;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;2000;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);
Česko;2000;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);13219.0
Česko;2000;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;2000;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);
Česko;2000;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4012.2
Česko;2000;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;2000;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);
Česko;2000;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);12831.0
Česko;2000;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;2000;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);
Česko;2001;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3936.8
Česko;2001;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;2001;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.1
Česko;2001;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);14378.0
Česko;2001;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;2001;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);108.8
Česko;2001;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4068.1
Česko;2001;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;2001;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.4
Česko;2001;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);13914.0
Česko;2001;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;2001;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);108.4
Česko;2002;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3836.5
Česko;2002;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;2002;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);97.5
Česko;2002;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);15524.0
Česko;2002;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;2002;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);108.0
Česko;2002;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3970.6
Česko;2002;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;2002;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);97.6
Česko;2002;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);15000.0
Česko;2002;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;2002;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);107.8
Česko;2003;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3837.4
Česko;2003;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;2003;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.0
Česko;2003;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);16430.0
Česko;2003;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;2003;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);105.8
Česko;2003;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3963.7
Česko;2003;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;2003;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);99.8
Česko;2003;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);15906.0
Česko;2003;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;2003;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.0
Česko;2004;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3846.6
Česko;2004;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;2004;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.2
Česko;2004;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);17466.0
Česko;2004;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;2004;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);106.3
Česko;2004;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3968.3
Česko;2004;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;2004;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.1
Česko;2004;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);16930.0
Česko;2004;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;2004;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.4
Česko;2005;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3907.1
Česko;2005;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;2005;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.6
Česko;2005;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);18344.0
Česko;2005;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;2005;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);105.0
Česko;2005;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4035.6
Česko;2005;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;2005;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.7
Česko;2005;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);17760.0
Česko;2005;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;2005;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);104.9
Česko;2006;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3934.9
Česko;2006;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;2006;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.7
Česko;2006;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);19546.0
Česko;2006;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;2006;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);106.6
Česko;2006;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4067.0
Česko;2006;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;2006;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.8
Česko;2006;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);18912.0
Česko;2006;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;2006;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.5
Česko;2007;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4003.4
Česko;2007;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;2007;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.7
Česko;2007;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);20957.0
Česko;2007;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;2007;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.2
Česko;2007;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4137.0
Česko;2007;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;2007;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.7
Česko;2007;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);20280.0
Česko;2007;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;2007;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);107.2
Česko;2008;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4037.2
Česko;2008;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;2008;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.8
Česko;2008;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);22592.0
Česko;2008;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;2008;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.8
Česko;2008;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4167.1
Česko;2008;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
