Území;Kumulace čtvrtletí;Ukazatel;value
Česko;Q1-Q3 2000;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q3 2000;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);
Česko;Q1-Q3 2000;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3998.0
Česko;Q1-Q3 2000;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2000;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);
Česko;Q1-Q3 2000;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);12347.0
Česko;Q1-Q3 2000;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q3 2000;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);
Česko;Q1-Q4 2000;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3894.3
Česko;Q1-Q4 2000;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2000;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);
Česko;Q1-Q4 2000;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);13219.0
Česko;Q1-Q4 2000;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q4 2000;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);
Česko;Q1-Q4 2000;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4012.2
Česko;Q1-Q4 2000;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2000;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);
Česko;Q1-Q4 2000;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);12831.0
Česko;Q1-Q4 2000;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q4 2000;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);
Česko;Q1 2001;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3858.9
Česko;Q1 2001;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1 2001;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.4
Česko;Q1 2001;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);13052.0
Česko;Q1 2001;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1 2001;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);109.3
Česko;Q1 2001;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3988.7
Česko;Q1 2001;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1 2001;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.8
Česko;Q1 2001;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);12627.0
Česko;Q1 2001;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1 2001;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);108.9
Česko;Q1-Q2 2001;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3905.0
Česko;Q1-Q2 2001;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2001;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.0
Česko;Q1-Q2 2001;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);13730.0
Česko;Q1-Q2 2001;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q2 2001;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);109.1
Česko;Q1-Q2 2001;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4036.9
Česko;Q1-Q2 2001;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2001;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.3
Česko;Q1-Q2 2001;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);13281.0
Česko;Q1-Q2 2001;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q2 2001;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);108.7
Česko;Q1-Q3 2001;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3921.0
Česko;Q1-Q3 2001;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2001;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.0
Česko;Q1-Q3 2001;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);13860.0
Česko;Q1-Q3 2001;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q3 2001;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);109.0
Česko;Q1-Q3 2001;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4051.6
Česko;Q1-Q3 2001;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2001;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.3
Česko;Q1-Q3 2001;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);13413.0
Česko;Q1-Q3 2001;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q3 2001;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);108.6
Česko;Q1-Q4 2001;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3936.8
Česko;Q1-Q4 2001;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
