Území;Kumulace čtvrtletí;Ukazatel;value
Česko;Q1-Q2 2005;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);17593.0
Česko;Q1-Q2 2005;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q2 2005;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);105.2
Česko;Q1-Q2 2005;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4009.1
Česko;Q1-Q2 2005;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2005;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.7
Česko;Q1-Q2 2005;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);17031.0
Česko;Q1-Q2 2005;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q2 2005;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);105.1
Česko;Q1-Q3 2005;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3895.0
Česko;Q1-Q3 2005;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2005;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.6
Česko;Q1-Q3 2005;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);17798.0
Česko;Q1-Q3 2005;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q3 2005;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);105.4
Česko;Q1-Q3 2005;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4022.3
Česko;Q1-Q3 2005;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2005;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.7
Česko;Q1-Q3 2005;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);17235.0
Česko;Q1-Q3 2005;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q3 2005;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);105.3
Česko;Q1-Q4 2005;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3907.1
Česko;Q1-Q4 2005;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2005;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.6
Česko;Q1-Q4 2005;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);18344.0
Česko;Q1-Q4 2005;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q4 2005;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);105.0
Česko;Q1-Q4 2005;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4035.6
Česko;Q1-Q4 2005;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2005;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.7
Česko;Q1-Q4 2005;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);17760.0
Česko;Q1-Q4 2005;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q4 2005;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);104.9
Česko;Q1 2006;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3872.6
Česko;Q1 2006;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1 2006;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.5
Česko;Q1 2006;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);18270.0
Česko;Q1 2006;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1 2006;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.1
Česko;Q1 2006;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4002.1
Česko;Q1 2006;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1 2006;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.6
Česko;Q1 2006;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);17679.0
Česko;Q1 2006;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1 2006;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);107.0
Česko;Q1-Q2 2006;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3900.5
Česko;Q1-Q2 2006;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2006;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.5
Česko;Q1-Q2 2006;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);18789.0
Česko;Q1-Q2 2006;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q2 2006;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);106.8
Česko;Q1-Q2 2006;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4032.0
Česko;Q1-Q2 2006;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2006;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.6
Česko;Q1-Q2 2006;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);18176.0
Česko;Q1-Q2 2006;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q2 2006;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.7
Česko;Q1-Q3 2006;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3918.4
Česko;Q1-Q3 2006;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2006;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.6
Česko;Q1-Q3 2006;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);18963.0
Česko;Q1-Q3 2006;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q3 2006;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);106.5
Česko;Q1-Q3 2006;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4048.9
Česko;Q1-Q3 2006;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2006;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.7
Česko;Q1-Q3 2006;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);18351.0
Česko;Q1-Q3 2006;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q3 2006;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.5
Česko;Q1-Q4 2006;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3934.9
Česko;Q1-Q4 2006;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2006;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.7
Česko;Q1-Q4 2006;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);19546.0
Česko;Q1-Q4 2006;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q4 2006;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);106.6
Česko;Q1-Q4 2006;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4067.0
Česko;Q1-Q4 2006;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2006;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.8
Česko;Q1-Q4 2006;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);18912.0
Česko;Q1-Q4 2006;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q4 2006;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.5
Česko;Q1 2007;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3946.9
Česko;Q1 2007;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1 2007;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.9
Česko;Q1 2007;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);19687.0
Česko;Q1 2007;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1 2007;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.8
Česko;Q1 2007;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4077.3
Česko;Q1 2007;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1 2007;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.9
Česko;Q1 2007;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);19057.0
Česko;Q1 2007;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1 2007;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);107.8
Česko;Q1-Q2 2007;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3970.4
Česko;Q1-Q2 2007;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2007;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.8
Česko;Q1-Q2 2007;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);20217.0
Česko;Q1-Q2 2007;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q2 2007;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.6
Česko;Q1-Q2 2007;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4102.4
Česko;Q1-Q2 2007;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2007;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.7
Česko;Q1-Q2 2007;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);19566.0
Česko;Q1-Q2 2007;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q2 2007;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);107.6
Česko;Q1-Q3 2007;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3985.1
Česko;Q1-Q3 2007;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2007;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.7
Česko;Q1-Q3 2007;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);20386.0
Česko;Q1-Q3 2007;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q3 2007;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.5
Česko;Q1-Q3 2007;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4116.9
Česko;Q1-Q3 2007;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2007;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.7
Česko;Q1-Q3 2007;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);19733.0
Česko;Q1-Q3 2007;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q3 2007;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);107.5
Česko;Q1-Q4 2007;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4003.4
Česko;Q1-Q4 2007;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2007;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.7
Česko;Q1-Q4 2007;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);20957.0
Česko;Q1-Q4 2007;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q4 2007;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.2
Česko;Q1-Q4 2007;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4137.0
Česko;Q1-Q4 2007;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2007;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.7
Česko;Q1-Q4 2007;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);20280.0
Česko;Q1-Q4 2007;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q4 2007;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);107.2
Česko;Q1 2008;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4020.4
Česko;Q1 2008;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1 2008;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.9
Česko;Q1 2008;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);21632.0
Česko;Q1 2008;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1 2008;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);109.9
Česko;Q1 2008;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4150.8
Česko;Q1 2008;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1 2008;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.8
Česko;Q1 2008;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);20953.0
Česko;Q1 2008;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1 2008;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);109.9
Česko;Q1-Q2 2008;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4036.0
Česko;Q1-Q2 2008;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2008;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.7
Česko;Q1-Q2 2008;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);21940.0
Česko;Q1-Q2 2008;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q2 2008;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);108.5
Česko;Q1-Q2 2008;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4167.7
Česko;Q1-Q2 2008;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2008;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.6
Česko;Q1-Q2 2008;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);21247.0
Česko;Q1-Q2 2008;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q2 2008;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);108.6
Česko;Q1-Q3 2008;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4039.5
Česko;Q1-Q3 2008;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2008;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.4
Česko;Q1-Q3 2008;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);22021.0
Česko;Q1-Q3 2008;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q3 2008;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);108.0
Česko;Q1-Q3 2008;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4169.0
Česko;Q1-Q3 2008;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2008;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.3
Česko;Q1-Q3 2008;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);21337.0
Česko;Q1-Q3 2008;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q3 2008;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);108.1
Česko;Q1-Q4 2008;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4037.2
Česko;Q1-Q4 2008;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2008;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.8
Česko;Q1-Q4 2008;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);22592.0
Česko;Q1-Q4 2008;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q4 2008;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.8
Česko;Q1-Q4 2008;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4167.1
Česko;Q1-Q4 2008;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2008;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.7
Česko;Q1-Q4 2008;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);21887.0
Česko;Q1-Q4 2008;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q4 2008;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);107.9
Česko;Q1 2009;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3875.7
Česko;Q1 2009;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1 2009;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);96.4
Česko;Q1 2009;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);22108.0
Česko;Q1 2009;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1 2009;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);102.2
Česko;Q1 2009;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3998.0
Česko;Q1 2009;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1 2009;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);96.3
Česko;Q1 2009;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);21432.0
Česko;Q1 2009;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1 2009;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);102.3
Česko;Q1-Q2 2009;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3850.2
Česko;Q1-Q2 2009;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2009;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);95.4
Česko;Q1-Q2 2009;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);22449.0
Česko;Q1-Q2 2009;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q2 2009;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);102.3
Česko;Q1-Q2 2009;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3972.1
Česko;Q1-Q2 2009;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2009;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);95.3
Česko;Q1-Q2 2009;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);21761.0
Česko;Q1-Q2 2009;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q2 2009;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);102.4
Česko;Q1-Q3 2009;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3826.8
Česko;Q1-Q3 2009;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2009;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);94.7
Česko;Q1-Q3 2009;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);22661.0
Česko;Q1-Q3 2009;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q3 2009;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);102.9
Česko;Q1-Q3 2009;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3949.8
Česko;Q1-Q3 2009;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2009;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);94.7
Česko;Q1-Q3 2009;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);21956.0
Česko;Q1-Q3 2009;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q3 2009;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);102.9
Česko;Q1-Q4 2009;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3815.9
Česko;Q1-Q4 2009;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2009;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);94.5
Česko;Q1-Q4 2009;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);23344.0
Česko;Q1-Q4 2009;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q4 2009;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);103.3
Česko;Q1-Q4 2009;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3940.0
Česko;Q1-Q4 2009;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2009;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);94.5
Česko;Q1-Q4 2009;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);22609.0
Česko;Q1-Q4 2009;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q4 2009;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);103.3
Česko;Q1 2010;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3741.9
Česko;Q1 2010;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1 2010;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);96.5
Česko;Q1 2010;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);22738.0
Česko;Q1 2010;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1 2010;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);102.8
Česko;Q1 2010;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3858.3
Česko;Q1 2010;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1 2010;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);96.5
Česko;Q1 2010;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);22052.0
Česko;Q1 2010;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1 2010;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);102.9
Česko;Q1-Q2 2010;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3765.7
Česko;Q1-Q2 2010;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2010;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);97.8
Česko;Q1-Q2 2010;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);23123.0
Česko;Q1-Q2 2010;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q2 2010;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);103.0
Česko;Q1-Q2 2010;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3885.6
Česko;Q1-Q2 2010;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2010;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);97.8
Česko;Q1-Q2 2010;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);22410.0
Česko;Q1-Q2 2010;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q2 2010;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);103.0
Česko;Q1-Q3 2010;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3777.7
Česko;Q1-Q3 2010;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2010;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);98.7
Česko;Q1-Q3 2010;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);23283.0
Česko;Q1-Q3 2010;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q3 2010;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);102.7
Česko;Q1-Q3 2010;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3898.8
Česko;Q1-Q3 2010;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2010;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);98.7
Česko;Q1-Q3 2010;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);22561.0
