Roky;Kraje a obce;Kategorie ubytovacího zařízení;Ukazatel;Rezidence;value
2023;Hlavní město Praha;Hotel garni;Počet přenocování;Nerezidenti;234944.0
2023;Hlavní město Praha;Hotel garni;Průměrný počet přenocování ;Celkem;2.2672954734
2023;Hlavní město Praha;Hotel garni;Průměrný počet přenocování ;Rezidenti;1.7142716697
2023;Hlavní město Praha;Hotel garni;Průměrný počet přenocování ;Nerezidenti;2.4427531711
2023;Hlavní město Praha;Penzion;Počet hostů;Celkem;100235.0
2023;Hlavní město Praha;Penzion;Počet hostů;Rezidenti;38854.0
2023;Hlavní město Praha;Penzion;Počet hostů;Nerezidenti;61381.0
2023;Hlavní město Praha;Penzion;Počet přenocování;Celkem;239198.0
2023;Hlavní město Praha;Penzion;Počet přenocování;Rezidenti;76115.0
2023;Hlavní město Praha;Penzion;Počet přenocování;Nerezidenti;163083.0
2023;Hlavní město Praha;Penzion;Průměrný počet přenocování ;Celkem;2.3863720257
2023;Hlavní město Praha;Penzion;Průměrný počet přenocování ;Rezidenti;1.9590003603
2023;Hlavní město Praha;Penzion;Průměrný počet přenocování ;Nerezidenti;2.6568970854
2023;Hlavní město Praha;Kemp;Počet hostů;Celkem;44396.0
2023;Hlavní město Praha;Kemp;Počet hostů;Rezidenti;3895.0
2023;Hlavní město Praha;Kemp;Počet hostů;Nerezidenti;40501.0
2023;Hlavní město Praha;Kemp;Počet přenocování;Celkem;104246.0
2023;Hlavní město Praha;Kemp;Počet přenocování;Rezidenti;11053.0
2023;Hlavní město Praha;Kemp;Počet přenocování;Nerezidenti;93193.0
2023;Hlavní město Praha;Kemp;Průměrný počet přenocování ;Celkem;2.3480944229
2023;Hlavní město Praha;Kemp;Průměrný počet přenocování ;Rezidenti;2.8377406932
2023;Hlavní město Praha;Kemp;Průměrný počet přenocování ;Nerezidenti;2.3010049135
2023;Hlavní město Praha;Chatová osada;Počet hostů;Celkem;
2023;Hlavní město Praha;Chatová osada;Počet hostů;Rezidenti;
2023;Hlavní město Praha;Chatová osada;Počet hostů;Nerezidenti;
2023;Hlavní město Praha;Chatová osada;Počet přenocování;Celkem;
2023;Hlavní město Praha;Chatová osada;Počet přenocování;Rezidenti;
2023;Hlavní město Praha;Chatová osada;Počet přenocování;Nerezidenti;
2023;Hlavní město Praha;Chatová osada;Průměrný počet přenocování ;Celkem;
2023;Hlavní město Praha;Chatová osada;Průměrný počet přenocování ;Rezidenti;
2023;Hlavní město Praha;Chatová osada;Průměrný počet přenocování ;Nerezidenti;
2023;Hlavní město Praha;Turistická ubytovna;Počet hostů;Celkem;189821.0
2023;Hlavní město Praha;Turistická ubytovna;Počet hostů;Rezidenti;45144.0
2023;Hlavní město Praha;Turistická ubytovna;Počet hostů;Nerezidenti;144677.0
2023;Hlavní město Praha;Turistická ubytovna;Počet přenocování;Celkem;472600.0
2023;Hlavní město Praha;Turistická ubytovna;Počet přenocování;Rezidenti;97753.0
2023;Hlavní město Praha;Turistická ubytovna;Počet přenocování;Nerezidenti;374847.0
2023;Hlavní město Praha;Turistická ubytovna;Průměrný počet přenocování ;Celkem;2.4897139937
2023;Hlavní město Praha;Turistická ubytovna;Průměrný počet přenocování ;Rezidenti;2.1653597377
2023;Hlavní město Praha;Turistická ubytovna;Průměrný počet přenocování ;Nerezidenti;2.590923229
2023;Hlavní město Praha;Ostatní HUZ;Počet hostů;Celkem;296994.0
2023;Hlavní město Praha;Ostatní HUZ;Počet hostů;Rezidenti;73489.0
2023;Hlavní město Praha;Ostatní HUZ;Počet hostů;Nerezidenti;223505.0
2023;Hlavní město Praha;Ostatní HUZ;Počet přenocování;Celkem;774085.0
2023;Hlavní město Praha;Ostatní HUZ;Počet přenocování;Rezidenti;153658.0
2023;Hlavní město Praha;Ostatní HUZ;Počet přenocování;Nerezidenti;620427.0
2023;Hlavní město Praha;Ostatní HUZ;Průměrný počet přenocování ;Celkem;2.6063994559
2023;Hlavní město Praha;Ostatní HUZ;Průměrný počet přenocování ;Rezidenti;2.0908979575
2023;Hlavní město Praha;Ostatní HUZ;Průměrný počet přenocování ;Nerezidenti;2.7758976309
