Kumulace čtvrtletí;Ukazatel;ČR, kraje;Státní občanství;value
Q1-Q4 2024;Přistěhovalí z ciziny;Česko;Celkem;
Q1-Q4 2024;Přistěhovalí z ciziny;Česko;Česko;
Q1-Q4 2024;Přistěhovalí z ciziny;Česko;Filipíny;
Q1-Q4 2024;Přistěhovalí z ciziny;Česko;Indie;
Q1-Q4 2024;Přistěhovalí z ciziny;Česko;Mongolsko;
Q1-Q4 2024;Přistěhovalí z ciziny;Česko;Rusko;
Q1-Q4 2024;Přistěhovalí z ciziny;Česko;Slovensko;
Q1-Q4 2024;Přistěhovalí z ciziny;Česko;Ukrajina;
Q1-Q4 2024;Přistěhovalí z ciziny;Česko;Vietnam;
Q1-Q4 2024;Přistěhovalí z ciziny;Hlavní město Praha;Celkem;
Q1-Q4 2024;Přistěhovalí z ciziny;Hlavní město Praha;Česko;
Q1-Q4 2024;Přistěhovalí z ciziny;Hlavní město Praha;Filipíny;
Q1-Q4 2024;Přistěhovalí z ciziny;Hlavní město Praha;Indie;
Q1-Q4 2024;Přistěhovalí z ciziny;Hlavní město Praha;Mongolsko;
Q1-Q4 2024;Přistěhovalí z ciziny;Hlavní město Praha;Rusko;
Q1-Q4 2024;Přistěhovalí z ciziny;Hlavní město Praha;Slovensko;
Q1-Q4 2024;Přistěhovalí z ciziny;Hlavní město Praha;Ukrajina;
Q1-Q4 2024;Přistěhovalí z ciziny;Hlavní město Praha;Vietnam;
Q1-Q4 2024;Přistěhovalí z ciziny;Středočeský kraj;Celkem;
Q1-Q4 2024;Přistěhovalí z ciziny;Středočeský kraj;Česko;
Q1-Q4 2024;Přistěhovalí z ciziny;Středočeský kraj;Filipíny;
Q1-Q4 2024;Přistěhovalí z ciziny;Středočeský kraj;Indie;
Q1-Q4 2024;Přistěhovalí z ciziny;Středočeský kraj;Mongolsko;
Q1-Q4 2024;Přistěhovalí z ciziny;Středočeský kraj;Rusko;
Q1-Q4 2024;Přistěhovalí z ciziny;Středočeský kraj;Slovensko;
Q1-Q4 2024;Přistěhovalí z ciziny;Středočeský kraj;Ukrajina;
Q1-Q4 2024;Přistěhovalí z ciziny;Středočeský kraj;Vietnam;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihočeský kraj;Celkem;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihočeský kraj;Česko;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihočeský kraj;Filipíny;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihočeský kraj;Indie;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihočeský kraj;Mongolsko;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihočeský kraj;Rusko;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihočeský kraj;Slovensko;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihočeský kraj;Ukrajina;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihočeský kraj;Vietnam;
Q1-Q4 2024;Přistěhovalí z ciziny;Plzeňský kraj;Celkem;
Q1-Q4 2024;Přistěhovalí z ciziny;Plzeňský kraj;Česko;
Q1-Q4 2024;Přistěhovalí z ciziny;Plzeňský kraj;Filipíny;
Q1-Q4 2024;Přistěhovalí z ciziny;Plzeňský kraj;Indie;
Q1-Q4 2024;Přistěhovalí z ciziny;Plzeňský kraj;Mongolsko;
Q1-Q4 2024;Přistěhovalí z ciziny;Plzeňský kraj;Rusko;
Q1-Q4 2024;Přistěhovalí z ciziny;Plzeňský kraj;Slovensko;
Q1-Q4 2024;Přistěhovalí z ciziny;Plzeňský kraj;Ukrajina;
Q1-Q4 2024;Přistěhovalí z ciziny;Plzeňský kraj;Vietnam;
Q1-Q4 2024;Přistěhovalí z ciziny;Karlovarský kraj;Celkem;
Q1-Q4 2024;Přistěhovalí z ciziny;Karlovarský kraj;Česko;
Q1-Q4 2024;Přistěhovalí z ciziny;Karlovarský kraj;Filipíny;
Q1-Q4 2024;Přistěhovalí z ciziny;Karlovarský kraj;Indie;
Q1-Q4 2024;Přistěhovalí z ciziny;Karlovarský kraj;Mongolsko;
Q1-Q4 2024;Přistěhovalí z ciziny;Karlovarský kraj;Rusko;
Q1-Q4 2024;Přistěhovalí z ciziny;Karlovarský kraj;Slovensko;
Q1-Q4 2024;Přistěhovalí z ciziny;Karlovarský kraj;Ukrajina;
Q1-Q4 2024;Přistěhovalí z ciziny;Karlovarský kraj;Vietnam;
Q1-Q4 2024;Přistěhovalí z ciziny;Ústecký kraj;Celkem;
Q1-Q4 2024;Přistěhovalí z ciziny;Ústecký kraj;Česko;
