Roky,"ČR, kraje",Ukazatel,value
2023,Česko,Náklady práce celkem,424.1916938464
2023,Česko,Přímé náklady celkem,305.3950830086
2023,Česko,Přímé náklady - mzdy za vykonanou práci,271.0003816402
2023,Česko,Přímé náklady - náhrady mzdy,34.3947013685
2023,Česko,Nepřímé náklady - sociální požitky,4.830940183
2023,Česko,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,104.5453476763
2023,Česko,Nepřímé náklady - sociální náklady/výdaje - ostatní ,6.050344111
2023,Česko,Nepřímé náklady - personální náklady/výdaje,4.0992511185
2023,Česko,Nepřímé náklady - daně a dotace,-0.729272251
2023,Hlavní město Praha,Náklady práce celkem,488.2611234837
2023,Hlavní město Praha,Přímé náklady celkem,349.5626182285
2023,Hlavní město Praha,Přímé náklady - mzdy za vykonanou práci,312.174088723
2023,Hlavní město Praha,Přímé náklady - náhrady mzdy,37.3885295056
2023,Hlavní město Praha,Nepřímé náklady - sociální požitky,6.8965669805
2023,Hlavní město Praha,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,119.298176468
2023,Hlavní město Praha,Nepřímé náklady - sociální náklady/výdaje - ostatní ,7.5212409498
2023,Hlavní město Praha,Nepřímé náklady - personální náklady/výdaje,5.5312517019
2023,Hlavní město Praha,Nepřímé náklady - daně a dotace,-0.548730845
2023,Středočeský kraj,Náklady práce celkem,437.9211975799
2023,Středočeský kraj,Přímé náklady celkem,315.2520882697
2023,Středočeský kraj,Přímé náklady - mzdy za vykonanou práci,277.7866678739
2023,Středočeský kraj,Přímé náklady - náhrady mzdy,37.4654203958
2023,Středočeský kraj,Nepřímé náklady - sociální požitky,3.7445995859
2023,Středočeský kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,108.1952461118
2023,Středočeský kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní ,6.8610712171
2023,Středočeský kraj,Nepřímé náklady - personální náklady/výdaje,4.5479410681
2023,Středočeský kraj,Nepřímé náklady - daně a dotace,-0.6797486726
2023,Jihočeský kraj,Náklady práce celkem,379.8652408426
2023,Jihočeský kraj,Přímé náklady celkem,275.4365470442
2023,Jihočeský kraj,Přímé náklady - mzdy za vykonanou práci,243.3257161442
2023,Jihočeský kraj,Přímé náklady - náhrady mzdy,32.1108309
2023,Jihočeský kraj,Nepřímé náklady - sociální požitky,3.8001449438
2023,Jihočeský kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,94.2423857296
2023,Jihočeský kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní ,4.3590415256
2023,Jihočeský kraj,Nepřímé náklady - personální náklady/výdaje,3.2401793788
2023,Jihočeský kraj,Nepřímé náklady - daně a dotace,-1.2130577793
2023,Plzeňský kraj,Náklady práce celkem,405.3439007437
2023,Plzeňský kraj,Přímé náklady celkem,292.5520836795
2023,Plzeňský kraj,Přímé náklady - mzdy za vykonanou práci,259.1740372846
2023,Plzeňský kraj,Přímé náklady - náhrady mzdy,33.3780463949
2023,Plzeňský kraj,Nepřímé náklady - sociální požitky,3.9893780905
2023,Plzeňský kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,100.6041673584
2023,Plzeňský kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní ,5.0863701904
2023,Plzeňský kraj,Nepřímé náklady - personální náklady/výdaje,3.7601978117
2023,Plzeňský kraj,Nepřímé náklady - daně a dotace,-0.6482963868
2023,Karlovarský kraj,Náklady práce celkem,360.7004894784
2023,Karlovarský kraj,Přímé náklady celkem,262.020100313
2023,Karlovarský kraj,Přímé náklady - mzdy za vykonanou práci,232.1389757597
2023,Karlovarský kraj,Přímé náklady - náhrady mzdy,29.8811245533
2023,Karlovarský kraj,Nepřímé náklady - sociální požitky,2.9289522603
2023,Karlovarský kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,89.9459624319
2023,Karlovarský kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní ,3.9984847205
2023,Karlovarský kraj,Nepřímé náklady - personální náklady/výdaje,2.4950576396
2023,Karlovarský kraj,Nepřímé náklady - daně a dotace,-0.6880678869
2023,Ústecký kraj,Náklady práce celkem,401.484240582
2023,Ústecký kraj,Přímé náklady celkem,289.6973823507
2023,Ústecký kraj,Přímé náklady - mzdy za vykonanou práci,256.442164524
2023,Ústecký kraj,Přímé náklady - náhrady mzdy,33.2552178267
2023,Ústecký kraj,Nepřímé náklady - sociální požitky,4.3244644764
2023,Ústecký kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,99.4994727009
2023,Ústecký kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní ,5.644346494
2023,Ústecký kraj,Nepřímé náklady - personální náklady/výdaje,3.6185630808
2023,Ústecký kraj,Nepřímé náklady - daně a dotace,-1.2999885207
2023,Liberecký kraj,Náklady práce celkem,386.0357636982
2023,Liberecký kraj,Přímé náklady celkem,279.1340229757
