Ukazatel;Typ indexu;Území;Klasifikace CZ-CPA;Roky;value
Index vývozních cen (%);Meziroční index;Česko;Úhrn celkem;2015;98.3
Index vývozních cen (%);Meziroční index;Česko;Úhrn celkem;2016;96.9
Index vývozních cen (%);Meziroční index;Česko;Úhrn celkem;2017;99.9
Index vývozních cen (%);Meziroční index;Česko;Úhrn celkem;2018;99.7
Index vývozních cen (%);Meziroční index;Česko;Úhrn celkem;2019;100.9
Index vývozních cen (%);Meziroční index;Česko;Úhrn celkem;2020;101.1
Index vývozních cen (%);Meziroční index;Česko;Úhrn celkem;2021;105.8
Index vývozních cen (%);Meziroční index;Česko;Úhrn celkem;2022;112.7
Index vývozních cen (%);Meziroční index;Česko;Úhrn celkem;2023;99.3
Index vývozních cen (%);Meziroční index;Česko;Úhrn celkem;2024;103.1
Index vývozních cen (%);Meziroční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;2015;94.5
Index vývozních cen (%);Meziroční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;2016;94.9
Index vývozních cen (%);Meziroční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;2017;98.9
Index vývozních cen (%);Meziroční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;2018;101.9
Index vývozních cen (%);Meziroční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;2019;98.9
Index vývozních cen (%);Meziroční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;2020;99.6
Index vývozních cen (%);Meziroční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;2021;121.6
Index vývozních cen (%);Meziroční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;2022;135.9
Index vývozních cen (%);Meziroční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;2023;80.8
Index vývozních cen (%);Meziroční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;2024;96.7
Index vývozních cen (%);Meziroční index;Česko;TĚŽBA A DOBÝVÁNÍ;2015;97.0
Index vývozních cen (%);Meziroční index;Česko;TĚŽBA A DOBÝVÁNÍ;2016;89.5
Index vývozních cen (%);Meziroční index;Česko;TĚŽBA A DOBÝVÁNÍ;2017;122.4
Index vývozních cen (%);Meziroční index;Česko;TĚŽBA A DOBÝVÁNÍ;2018;97.8
Index vývozních cen (%);Meziroční index;Česko;TĚŽBA A DOBÝVÁNÍ;2019;94.1
Index vývozních cen (%);Meziroční index;Česko;TĚŽBA A DOBÝVÁNÍ;2020;90.6
Index vývozních cen (%);Meziroční index;Česko;TĚŽBA A DOBÝVÁNÍ;2021;124.7
Index vývozních cen (%);Meziroční index;Česko;TĚŽBA A DOBÝVÁNÍ;2022;281.9
Index vývozních cen (%);Meziroční index;Česko;TĚŽBA A DOBÝVÁNÍ;2023;110.2
Index vývozních cen (%);Meziroční index;Česko;TĚŽBA A DOBÝVÁNÍ;2024;88.5
Index vývozních cen (%);Meziroční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;2015;98.6
Index vývozních cen (%);Meziroční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;2016;97.2
Index vývozních cen (%);Meziroční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;2017;99.3
Index vývozních cen (%);Meziroční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;2018;99.4
Index vývozních cen (%);Meziroční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;2019;100.9
Index vývozních cen (%);Meziroční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;2020;101.2
Index vývozních cen (%);Meziroční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;2021;104.0
Index vývozních cen (%);Meziroční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;2022;108.4
Index vývozních cen (%);Meziroční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;2023;99.5
Index vývozních cen (%);Meziroční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;2024;103.8
Index vývozních cen (%);Meziroční index;Česko;ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH;2015;90.0
Index vývozních cen (%);Meziroční index;Česko;ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH;2016;89.8
Index vývozních cen (%);Meziroční index;Česko;ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH;2017;104.3
Index vývozních cen (%);Meziroční index;Česko;ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH;2018;109.2
Index vývozních cen (%);Meziroční index;Česko;ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH;2019;101.8
Index vývozních cen (%);Meziroční index;Česko;ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH;2020;97.8
Index vývozních cen (%);Meziroční index;Česko;ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH;2021;180.4
Index vývozních cen (%);Meziroční index;Česko;ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH;2022;227.1
Index vývozních cen (%);Meziroční index;Česko;ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH;2023;104.3
Index vývozních cen (%);Meziroční index;Česko;ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH;2024;94.6
Index vývozních cen (%);Meziroční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";2015;88.9
Index vývozních cen (%);Meziroční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";2016;87.7
Index vývozních cen (%);Meziroční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";2017;121.9
