Stát;Roky;Velkost zpravodajské jednotky;Ukazatel;value
Česko;2023;Celkem zaměstnanců;Náklady práce celkem;424.1916938464
Česko;2023;Celkem zaměstnanců;Přímé náklady celkem;305.3950830086
Česko;2023;Celkem zaměstnanců;Přímé náklady - mzdy za vykonanou práci;271.0003816402
Česko;2023;Celkem zaměstnanců;Přímé náklady - náhrady mzdy;34.3947013685
Česko;2023;Celkem zaměstnanců;Nepřímé náklady - sociální požitky;4.830940183
Česko;2023;Celkem zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;104.5453476763
Česko;2023;Celkem zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní ;6.050344111
Česko;2023;Celkem zaměstnanců;Nepřímé náklady - personální náklady/výdaje;4.0992511185
Česko;2023;Celkem zaměstnanců;Nepřímé náklady - daně a dotace;-0.729272251
Česko;2023;1 až 9 zaměstnanců;Náklady práce celkem;276.3838282841
Česko;2023;1 až 9 zaměstnanců;Přímé náklady celkem;203.6024405313
Česko;2023;1 až 9 zaměstnanců;Přímé náklady - mzdy za vykonanou práci;185.4993856472
Česko;2023;1 až 9 zaměstnanců;Přímé náklady - náhrady mzdy;18.1030548841
Česko;2023;1 až 9 zaměstnanců;Nepřímé náklady - sociální požitky;1.2387028201
Česko;2023;1 až 9 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;68.9515886095
Česko;2023;1 až 9 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní ;1.712529799
Česko;2023;1 až 9 zaměstnanců;Nepřímé náklady - personální náklady/výdaje;1.4943878546
Česko;2023;1 až 9 zaměstnanců;Nepřímé náklady - daně a dotace;-0.6158213303
Česko;2023;10 až 19 zaměstnanců;Náklady práce celkem;322.5389451856
Česko;2023;10 až 19 zaměstnanců;Přímé náklady celkem;235.025001925
Česko;2023;10 až 19 zaměstnanců;Přímé náklady - mzdy za vykonanou práci;210.1606048994
Česko;2023;10 až 19 zaměstnanců;Přímé náklady - náhrady mzdy;24.8643970257
Česko;2023;10 až 19 zaměstnanců;Nepřímé náklady - sociální požitky;2.4341176145
Česko;2023;10 až 19 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;80.3198711311
Česko;2023;10 až 19 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní ;3.4185039984
Česko;2023;10 až 19 zaměstnanců;Nepřímé náklady - personální náklady/výdaje;2.0603929495
Česko;2023;10 až 19 zaměstnanců;Nepřímé náklady - daně a dotace;-0.718942433
Česko;2023;20 a více zaměstnanců;Náklady práce celkem;455.1865177492
Česko;2023;20 a více zaměstnanců;Přímé náklady celkem;326.7742531479
Česko;2023;20 a více zaměstnanců;Přímé náklady - mzdy za vykonanou práci;289.1178667969
Česko;2023;20 a více zaměstnanců;Přímé náklady - náhrady mzdy;37.656386351
Česko;2023;20 a více zaměstnanců;Nepřímé náklady - sociální požitky;5.5774145648
Česko;2023;20 a více zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;111.9858166399
Česko;2023;20 a více zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní ;6.9275103878
Česko;2023;20 a více zaměstnanců;Nepřímé náklady - personální náklady/výdaje;4.6683330782
Česko;2023;20 a více zaměstnanců;Nepřímé náklady - daně a dotace;-0.7468100694
Česko;2023;20 až 49 zaměstnanců;Náklady práce celkem;370.7901072276
Česko;2023;20 až 49 zaměstnanců;Přímé náklady celkem;270.5449413602
Česko;2023;20 až 49 zaměstnanců;Přímé náklady - mzdy za vykonanou práci;240.4710537931
Česko;2023;20 až 49 zaměstnanců;Přímé náklady - náhrady mzdy;30.0738875672
Česko;2023;20 až 49 zaměstnanců;Nepřímé náklady - sociální požitky;2.7262397686
Česko;2023;20 až 49 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;92.5429500097
Česko;2023;20 až 49 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní ;3.7847567496
Česko;2023;20 až 49 zaměstnanců;Nepřímé náklady - personální náklady/výdaje;2.1113819718
Česko;2023;20 až 49 zaměstnanců;Nepřímé náklady - daně a dotace;-0.9201626323
Česko;2023;50 až 99 zaměstnanců;Náklady práce celkem;405.6153697951
Česko;2023;50 až 99 zaměstnanců;Přímé náklady celkem;296.0435262756
Česko;2023;50 až 99 zaměstnanců;Přímé náklady - mzdy za vykonanou práci;260.8825174111
Česko;2023;50 až 99 zaměstnanců;Přímé náklady - náhrady mzdy;35.1610088646
Česko;2023;50 až 99 zaměstnanců;Nepřímé náklady - sociální požitky;2.8846326388
