Území;Typ ceny;Očištění;Roky;Ukazatel;value
Česko;Běžné ceny;Bez očištění;2024;Vývoz (v mil. Kč, FOB);4646947.179193
Česko;Běžné ceny;Bez očištění;2024;Dovoz (v mil. Kč, CIF);4420248.634606
Česko;Běžné ceny;Bez očištění;2024;Bilance (v mil. Kč);226698.544587
Česko;Běžné ceny;Bez očištění;2024;Obrat zboží (v mil. Kč);9067195.813799
Česko;Běžné ceny;Bez očištění;2024;Vývoz (meziroční index);104.6034121889
Česko;Běžné ceny;Bez očištění;2024;Dovoz (meziroční index);102.3219748235
Česko;Běžné ceny;Bez očištění;2024;Obrat zboží (meziroční index);103.4786413237
Česko;Běžné ceny;Bez očištění;2023;Vývoz (v mil. Kč, FOB);4442443.207112
Česko;Běžné ceny;Bez očištění;2023;Dovoz (v mil. Kč, CIF);4319940.699183
Česko;Běžné ceny;Bez očištění;2023;Bilance (v mil. Kč);122502.507929
Česko;Běžné ceny;Bez očištění;2023;Obrat zboží (v mil. Kč);8762383.906295
Česko;Běžné ceny;Bez očištění;2023;Vývoz (meziroční index);100.7969446977
Česko;Běžné ceny;Bez očištění;2023;Dovoz (meziroční index);93.6646853335
Česko;Běžné ceny;Bez očištění;2023;Obrat zboží (meziroční index);97.1498350102
Česko;Běžné ceny;Bez očištění;2022;Vývoz (v mil. Kč, FOB);4407319.309563
Česko;Běžné ceny;Bez očištění;2022;Dovoz (v mil. Kč, CIF);4612133.894221
Česko;Běžné ceny;Bez očištění;2022;Bilance (v mil. Kč);-204814.584658
Česko;Běžné ceny;Bez očištění;2022;Obrat zboží (v mil. Kč);9019453.203784
Česko;Běžné ceny;Bez očištění;2022;Vývoz (meziroční index);113.5501707041
Česko;Běžné ceny;Bez očištění;2022;Dovoz (meziroční index);118.5458837997
Česko;Běžné ceny;Bez očištění;2022;Obrat zboží (meziroční index);116.0509855577
Česko;Běžné ceny;Bez očištění;2021;Vývoz (v mil. Kč, FOB);3881385.014424
Česko;Běžné ceny;Bez očištění;2021;Dovoz (v mil. Kč, CIF);3890589.657261
Česko;Běžné ceny;Bez očištění;2021;Bilance (v mil. Kč);-9204.642837
Česko;Běžné ceny;Bez očištění;2021;Obrat zboží (v mil. Kč);7771974.671685
Česko;Běžné ceny;Bez očištění;2021;Vývoz (meziroční index);113.1407234207
Česko;Běžné ceny;Bez očištění;2021;Dovoz (meziroční index);119.6757789906
Česko;Běžné ceny;Bez očištění;2021;Obrat zboží (meziroční index);116.3204000914
Česko;Běžné ceny;Bez očištění;2020;Vývoz (v mil. Kč, FOB);3430581.754363
Česko;Běžné ceny;Bez očištění;2020;Dovoz (v mil. Kč, CIF);3250941.577382
Česko;Běžné ceny;Bez očištění;2020;Bilance (v mil. Kč);179640.176981
Česko;Běžné ceny;Bez očištění;2020;Obrat zboží (v mil. Kč);6681523.331745
Česko;Běžné ceny;Bez očištění;2020;Vývoz (meziroční index);92.9252924552
Česko;Běžné ceny;Bez očištění;2020;Dovoz (meziroční index);91.6773488551
Česko;Běžné ceny;Bez očištění;2020;Obrat zboží (meziroční index);92.3138809631
Česko;Běžné ceny;Bez očištění;2019;Vývoz (v mil. Kč, FOB);3691763.204316
Česko;Běžné ceny;Bez očištění;2019;Dovoz (v mil. Kč, CIF);3546068.486905
Česko;Běžné ceny;Bez očištění;2019;Bilance (v mil. Kč);145694.717411
Česko;Běžné ceny;Bez očištění;2019;Obrat zboží (v mil. Kč);7237831.691221
Česko;Běžné ceny;Bez očištění;2019;Vývoz (meziroční index);102.0884439686
Česko;Běžné ceny;Bez očištění;2019;Dovoz (meziroční index);100.8043226172
