ČR a kraje;Ukazatel;Roky;value
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;2024;306478.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;2023;279227.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;2022;271803.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;2021;258173.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;2020;291977.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;2019;215532.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;2018;231534.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;2017;280620.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;2016;381373.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - celkem;2015;453118.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní;2024;284430.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní;2023;256264.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní;2022;247793.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní;2021;236375.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní;2020;273758.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní;2019;196285.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní;2018;210712.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní;2017;259929.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní;2016;360170.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní;2015;436547.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - muži;2024;
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - muži;2023;119618.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - muži;2022;114812.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - muži;2021;115041.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - muži;2020;136798.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - muži;2019;97917.0
