Území,Ukazatel,Hospodářský rok,value
Česko,Minerální hnojiva (živiny),2003,263741.9
Česko,Minerální hnojiva (živiny),2004,293144.0
Česko,Minerální hnojiva (živiny),2005,279818.5
Česko,Minerální hnojiva (živiny),2006,287382.3
Česko,Minerální hnojiva (živiny),2007,301863.5
Česko,Minerální hnojiva (živiny),2008,320041.9
Česko,Minerální hnojiva (živiny),2009,278198.2
Česko,Minerální hnojiva (živiny),2010,281483.8
Česko,Minerální hnojiva (živiny),2011,303926.5
Česko,Minerální hnojiva (živiny),2012,318224.8
Česko,Minerální hnojiva (živiny),2013,337763.6
Česko,Minerální hnojiva (živiny),2014,353989.4
Česko,Minerální hnojiva (živiny),2015,357668.3
Česko,Minerální hnojiva (živiny),2016,385739.3
Česko,Minerální hnojiva (živiny),2017,380658.5
Česko,Minerální hnojiva (živiny),2018,374995.0
Česko,Minerální hnojiva (živiny),2019,365070.9
Česko,Minerální hnojiva (živiny),2020,360414.0
Česko,Minerální hnojiva (živiny),2021,343049.0
Česko,Minerální hnojiva (živiny),2022,299451.9
Česko,Minerální hnojiva (živiny),2023,295302.8
Česko,Minerální hnojiva (živiny),2024,297747.4
Česko,Minerální hnojiva - dusíkatá (N),2003,191778.3
Česko,Minerální hnojiva - dusíkatá (N),2004,216390.3
Česko,Minerální hnojiva - dusíkatá (N),2005,206576.4
Česko,Minerální hnojiva - dusíkatá (N),2006,215130.5
Česko,Minerální hnojiva - dusíkatá (N),2007,223683.4
Česko,Minerální hnojiva - dusíkatá (N),2008,237875.1
Česko,Minerální hnojiva - dusíkatá (N),2009,221667.5
Česko,Minerální hnojiva - dusíkatá (N),2010,225981.9
Česko,Minerální hnojiva - dusíkatá (N),2011,238553.6
Česko,Minerální hnojiva - dusíkatá (N),2012,248024.2
Česko,Minerální hnojiva - dusíkatá (N),2013,261215.9
Česko,Minerální hnojiva - dusíkatá (N),2014,268892.3
Česko,Minerální hnojiva - dusíkatá (N),2015,270023.0
Česko,Minerální hnojiva - dusíkatá (N),2016,292749.8
Česko,Minerální hnojiva - dusíkatá (N),2017,285738.8
Česko,Minerální hnojiva - dusíkatá (N),2018,281270.9
Česko,Minerální hnojiva - dusíkatá (N),2019,274304.5
Česko,Minerální hnojiva - dusíkatá (N),2020,267675.9
Česko,Minerální hnojiva - dusíkatá (N),2021,256520.6
Česko,Minerální hnojiva - dusíkatá (N),2022,228660.5
Česko,Minerální hnojiva - dusíkatá (N),2023,231198.2
Česko,Minerální hnojiva - dusíkatá (N),2024,229263.3
Česko,Minerální hnojiva - fosforečná (P₂0₅),2003,41408.5
Česko,Minerální hnojiva - fosforečná (P₂0₅),2004,45922.5
Česko,Minerální hnojiva - fosforečná (P₂0₅),2005,43338.1
Česko,Minerální hnojiva - fosforečná (P₂0₅),2006,43367.8
Česko,Minerální hnojiva - fosforečná (P₂0₅),2007,47082.9
Česko,Minerální hnojiva - fosforečná (P₂0₅),2008,49033.6
Česko,Minerální hnojiva - fosforečná (P₂0₅),2009,35217.6
Česko,Minerální hnojiva - fosforečná (P₂0₅),2010,35077.7
Česko,Minerální hnojiva - fosforečná (P₂0₅),2011,39991.0
Česko,Minerální hnojiva - fosforečná (P₂0₅),2012,43001.3
Česko,Minerální hnojiva - fosforečná (P₂0₅),2013,47053.0
Česko,Minerální hnojiva - fosforečná (P₂0₅),2014,50847.0
Česko,Minerální hnojiva - fosforečná (P₂0₅),2015,52004.7
Česko,Minerální hnojiva - fosforečná (P₂0₅),2016,54400.5
Česko,Minerální hnojiva - fosforečná (P₂0₅),2017,56194.4
Česko,Minerální hnojiva - fosforečná (P₂0₅),2018,54969.2
Česko,Minerální hnojiva - fosforečná (P₂0₅),2019,52595.4
Česko,Minerální hnojiva - fosforečná (P₂0₅),2020,55655.5
Česko,Minerální hnojiva - fosforečná (P₂0₅),2021,51617.4
Česko,Minerální hnojiva - fosforečná (P₂0₅),2022,40834.4
Česko,Minerální hnojiva - fosforečná (P₂0₅),2023,38474.3
Česko,Minerální hnojiva - fosforečná (P₂0₅),2024,41659.5
Česko,Minerální hnojiva - draselná (K₂O),2003,30555.1
Česko,Minerální hnojiva - draselná (K₂O),2004,30831.2
Česko,Minerální hnojiva - draselná (K₂O),2005,29904.0
Česko,Minerální hnojiva - draselná (K₂O),2006,28884.0
Česko,Minerální hnojiva - draselná (K₂O),2007,31097.2
Česko,Minerální hnojiva - draselná (K₂O),2008,33133.2
