Ukazatel;Rok sčítání;Pohlaví;Území;Bydliště rok před sčítáním;value
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;Obyvatelstvo celkem;435220
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;V obci obvyklého pobytu;412416
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;V jiné obci okresu;6612
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;V jiném okrese kraje;3041
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;V jiném kraji;5473
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;V ČR, místo nezjištěno;67
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;V zahraničí;1963
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;z toho ve Slovenské republice;143
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;Nezjištěno;1215
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;Obyvatelstvo celkem;538303
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;V obci obvyklého pobytu;510207
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;V jiné obci okresu;8626
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;V jiném okrese kraje;3722
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;V jiném kraji;6612
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;V ČR, místo nezjištěno;78
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;V zahraničí;1909
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;z toho ve Slovenské republice;191
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;Nezjištěno;1756
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;Obyvatelstvo celkem;510037
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;V obci obvyklého pobytu;484370
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;V jiné obci okresu;7882
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;V jiném okrese kraje;2798
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;V jiném kraji;6467
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;V ČR, místo nezjištěno;47
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;V zahraničí;1917
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;z toho ve Slovenské republice;143
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;Nezjištěno;1299
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;Obyvatelstvo celkem;497661
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;V obci obvyklého pobytu;474184
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;V jiné obci okresu;7113
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;V jiném okrese kraje;2031
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;V jiném kraji;6468
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;V ČR, místo nezjištěno;61
