Roky;Realizace stavby;Území;Ukazatel;value
2023;Místo realizace stavby;Karlovarský kraj;"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";13592.41
2023;Místo realizace stavby;Karlovarský kraj;"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)";875.638
2023;Místo realizace stavby;Karlovarský kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)";2107.216
2023;Místo realizace stavby;Karlovarský kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)";3815.098
2023;Místo realizace stavby;Karlovarský kraj;"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)";5142.835
2023;Místo realizace stavby;Karlovarský kraj;"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)";26.088
2023;Místo realizace stavby;Karlovarský kraj;"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)";1625.535
2023;Místo realizace stavby;Karlovarský kraj;"Stavební práce ""S"" v tuzemsku pro veřejné zadavatele (mil. Kč, b.c.)";4416.357
2023;Místo realizace stavby;Ústecký kraj;"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";26588.255
2023;Místo realizace stavby;Ústecký kraj;"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)";1548.694
2023;Místo realizace stavby;Ústecký kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)";3317.875
2023;Místo realizace stavby;Ústecký kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)";3413.756
2023;Místo realizace stavby;Ústecký kraj;"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)";12285.952
2023;Místo realizace stavby;Ústecký kraj;"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)";334.998
2023;Místo realizace stavby;Ústecký kraj;"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)";5686.98
2023;Místo realizace stavby;Ústecký kraj;"Stavební práce ""S"" v tuzemsku pro veřejné zadavatele (mil. Kč, b.c.)";12923.363
2023;Místo realizace stavby;Liberecký kraj;"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";11745.318
2023;Místo realizace stavby;Liberecký kraj;"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)";1829.545
2023;Místo realizace stavby;Liberecký kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)";1669.01
2023;Místo realizace stavby;Liberecký kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)";1753.589
2023;Místo realizace stavby;Liberecký kraj;"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)";4563.43
