Území,Ukazatel,Typ indexu,Očištění,CZ-NACE,Roky,value
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2024,99.2775454905
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2023,98.7609039875
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2022,102.0960984659
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2021,106.7815675953
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2020,93.012593585
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2019,99.7818110533
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2018,103.0466217722
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2017,106.4831547237
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2016,103.4320644962
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2015,104.2820849137
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2014,104.9839553968
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2013,99.9164680173
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2012,99.1602614923
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2011,105.8914790244
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2010,108.626370205
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2009,86.3643826541
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2008,98.1858300018
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2007,110.6459779542
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2006,108.3083693735
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2005,103.8934883369
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2004,110.4235748786
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2003,103.6422643268
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2002,102.0652227105
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2001,107.4395845485
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Průmysl celkem,2000,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2024,92.7289398893
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2023,83.0963960629
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2022,101.1875063884
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2021,107.7135584451
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2020,81.5514239947
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2019,93.6006872801
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2018,99.3249480939
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2017,98.0309256407
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2016,93.3794918407
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2015,97.4058720144
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2014,97.049922236
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2013,88.7138309778
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2012,95.7420717151
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2011,101.1088398332
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2010,99.3273631837
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2009,99.0300123849
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2008,97.0194722399
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2007,98.8514166966
