Roky;Území;Ukazatel;Druh stavby;value
2023;Liberecký kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Bytové budovy ;10779
2023;Liberecký kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nebytové budovy ;6995
2023;Liberecký kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Inženýrské stavby;3069
2023;Královéhradecký kraj;Počet stavebních povolení;Celkem;4048
2023;Královéhradecký kraj;Počet stavebních povolení;Bytové budovy ;1239
2023;Královéhradecký kraj;Počet stavebních povolení;Nebytové budovy ;1015
2023;Královéhradecký kraj;Počet stavebních povolení;Inženýrské stavby;1794
2023;Královéhradecký kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;27145
2023;Královéhradecký kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Bytové budovy ;7417
2023;Královéhradecký kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nebytové budovy ;11458
2023;Královéhradecký kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Inženýrské stavby;8270
2023;Pardubický kraj;Počet stavebních povolení;Celkem;4272
2023;Pardubický kraj;Počet stavebních povolení;Bytové budovy ;1417
2023;Pardubický kraj;Počet stavebních povolení;Nebytové budovy ;939
2023;Pardubický kraj;Počet stavebních povolení;Inženýrské stavby;1916
2023;Pardubický kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;23062
2023;Pardubický kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Bytové budovy ;8981
2023;Pardubický kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nebytové budovy ;7994
2023;Pardubický kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Inženýrské stavby;6087
2023;Kraj Vysočina;Počet stavebních povolení;Celkem;4512
2023;Kraj Vysočina;Počet stavebních povolení;Bytové budovy ;1386
2023;Kraj Vysočina;Počet stavebních povolení;Nebytové budovy ;1205
2023;Kraj Vysočina;Počet stavebních povolení;Inženýrské stavby;1921
2023;Kraj Vysočina;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;21899
2023;Kraj Vysočina;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Bytové budovy ;7241
2023;Kraj Vysočina;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nebytové budovy ;8078
2023;Kraj Vysočina;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Inženýrské stavby;6580
2023;Jihomoravský kraj;Počet stavebních povolení;Celkem;8368
2023;Jihomoravský kraj;Počet stavebních povolení;Bytové budovy ;3310
2023;Jihomoravský kraj;Počet stavebních povolení;Nebytové budovy ;2058
2023;Jihomoravský kraj;Počet stavebních povolení;Inženýrské stavby;3000
2023;Jihomoravský kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;75373
2023;Jihomoravský kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Bytové budovy ;31272
2023;Jihomoravský kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nebytové budovy ;32016
2023;Jihomoravský kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Inženýrské stavby;12085
2023;Olomoucký kraj;Počet stavebních povolení;Celkem;4072
2023;Olomoucký kraj;Počet stavebních povolení;Bytové budovy ;1443
2023;Olomoucký kraj;Počet stavebních povolení;Nebytové budovy ;1092
2023;Olomoucký kraj;Počet stavebních povolení;Inženýrské stavby;1537
2023;Olomoucký kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;32662
2023;Olomoucký kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Bytové budovy ;7153
2023;Olomoucký kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nebytové budovy ;17890
2023;Olomoucký kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Inženýrské stavby;7619
2023;Zlínský kraj;Počet stavebních povolení;Celkem;4134
2023;Zlínský kraj;Počet stavebních povolení;Bytové budovy ;1448
2023;Zlínský kraj;Počet stavebních povolení;Nebytové budovy ;1016
2023;Zlínský kraj;Počet stavebních povolení;Inženýrské stavby;1670
2023;Zlínský kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;21141
2023;Zlínský kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Bytové budovy ;7571
2023;Zlínský kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nebytové budovy ;8858
2023;Zlínský kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Inženýrské stavby;4712
2023;Moravskoslezský kraj;Počet stavebních povolení;Celkem;8000
2023;Moravskoslezský kraj;Počet stavebních povolení;Bytové budovy ;3053
2023;Moravskoslezský kraj;Počet stavebních povolení;Nebytové budovy ;1612
2023;Moravskoslezský kraj;Počet stavebních povolení;Inženýrské stavby;3335
2023;Moravskoslezský kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;43860
2023;Moravskoslezský kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Bytové budovy ;14310
2023;Moravskoslezský kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nebytové budovy ;21134
2023;Moravskoslezský kraj;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Inženýrské stavby;8416
