Ukazatel;ČR a kraje;Věkové skupiny (pětileté);Roky;value
Přistěhovalí;Česko;95 a více;2023;9.0
Přistěhovalí;Česko;95 a více;2022;10.0
Přistěhovalí;Česko;95 a více;2021;8.0
Přistěhovalí;Česko;95 a více;2020;3.0
Přistěhovalí;Česko;95 a více;2019;2.0
Přistěhovalí;Česko;95 a více;2018;3.0
Přistěhovalí;Česko;95 a více;2017;4.0
Přistěhovalí;Česko;95 a více;2016;3.0
Přistěhovalí;Česko;95 a více;2015;2.0
Přistěhovalí;Česko;95 a více;2014;1.0
Přistěhovalí;Česko;95 a více;2013;3.0
Přistěhovalí;Česko;95 a více;2012;0.0
Přistěhovalí;Česko;95 a více;2011;2.0
Přistěhovalí;Česko;95 a více;2010;0.0
Přistěhovalí;Česko;95 a více;2009;1.0
Přistěhovalí;Česko;95 a více;2008;0.0
Přistěhovalí;Česko;95 a více;2007;5.0
Přistěhovalí;Česko;95 a více;2006;3.0
Přistěhovalí;Česko;95 a více;2005;1.0
Přistěhovalí;Česko;95 a více;2004;1.0
Přistěhovalí;Česko;95 a více;2003;2.0
Přistěhovalí;Česko;95 a více;2002;0.0
Přistěhovalí;Česko;95 a více;2001;0.0
Přistěhovalí;Česko;95 a více;2000;0.0
