Ukazatel;Druh nemovitosti;Typ údaje;Území;Roky;value
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;2021;196.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;2022;239.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;2023;230.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Ústecký kraj;2015;100.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Ústecký kraj;2016;106.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Ústecký kraj;2017;125.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Ústecký kraj;2018;144.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Ústecký kraj;2019;169.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Ústecký kraj;2020;208.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Ústecký kraj;2021;276.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Ústecký kraj;2022;344.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Ústecký kraj;2023;321.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Liberecký kraj;2015;100.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Liberecký kraj;2016;109.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Liberecký kraj;2017;131.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Liberecký kraj;2018;146.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Liberecký kraj;2019;167.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Liberecký kraj;2020;194.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Liberecký kraj;2021;230.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Liberecký kraj;2022;281.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Liberecký kraj;2023;267.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Královéhradecký kraj;2015;100.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Královéhradecký kraj;2016;109.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Královéhradecký kraj;2017;129.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Královéhradecký kraj;2018;144.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Královéhradecký kraj;2019;153.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Královéhradecký kraj;2020;180.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Královéhradecký kraj;2021;225.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Královéhradecký kraj;2022;269.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Královéhradecký kraj;2023;259.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Pardubický kraj;2015;100.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Pardubický kraj;2016;111.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Pardubický kraj;2017;126.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Pardubický kraj;2018;141.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Pardubický kraj;2019;146.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Pardubický kraj;2020;175.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Pardubický kraj;2021;211.0
