Roky;Statutární města a Praha;Ukazatel;Rezidence;value
2023;Brno;Počet hostů;Celkem;852542.0
2023;Brno;Počet hostů;Rezidenti;425831.0
2023;Brno;Počet hostů;Nerezidenti;426711.0
2023;Brno;Počet přenocování;Celkem;1410611.0
2023;Brno;Počet přenocování;Rezidenti;700567.0
2023;Brno;Počet přenocování;Nerezidenti;710044.0
2023;Chomutov;Počet hostů;Celkem;42757.0
2023;Chomutov;Počet hostů;Rezidenti;26398.0
2023;Chomutov;Počet hostů;Nerezidenti;16359.0
2023;Chomutov;Počet přenocování;Celkem;100568.0
2023;Chomutov;Počet přenocování;Rezidenti;58016.0
2023;Chomutov;Počet přenocování;Nerezidenti;42552.0
2023;Děčín;Počet hostů;Celkem;39596.0
2023;Děčín;Počet hostů;Rezidenti;19216.0
2023;Děčín;Počet hostů;Nerezidenti;20380.0
2023;Děčín;Počet přenocování;Celkem;79217.0
2023;Děčín;Počet přenocování;Rezidenti;37576.0
2023;Děčín;Počet přenocování;Nerezidenti;41641.0
2023;Frýdek-Místek;Počet hostů;Celkem;40502.0
2023;Frýdek-Místek;Počet hostů;Rezidenti;30487.0
2023;Frýdek-Místek;Počet hostů;Nerezidenti;10015.0
2023;Frýdek-Místek;Počet přenocování;Celkem;79839.0
2023;Frýdek-Místek;Počet přenocování;Rezidenti;59436.0
2023;Frýdek-Místek;Počet přenocování;Nerezidenti;20403.0
2023;Havířov;Počet hostů;Celkem;22916.0
2023;Havířov;Počet hostů;Rezidenti;19764.0
2023;Havířov;Počet hostů;Nerezidenti;3152.0
2023;Havířov;Počet přenocování;Celkem;39111.0
2023;Havířov;Počet přenocování;Rezidenti;31220.0
2023;Havířov;Počet přenocování;Nerezidenti;7891.0
2023;Hradec Králové;Počet hostů;Celkem;108574.0
2023;Hradec Králové;Počet hostů;Rezidenti;77708.0
2023;Hradec Králové;Počet hostů;Nerezidenti;30866.0
2023;Hradec Králové;Počet přenocování;Celkem;212234.0
2023;Hradec Králové;Počet přenocování;Rezidenti;144610.0
2023;Hradec Králové;Počet přenocování;Nerezidenti;67624.0
2023;Jablonec nad Nisou;Počet hostů;Celkem;25309.0
2023;Jablonec nad Nisou;Počet hostů;Rezidenti;18394.0
2023;Jablonec nad Nisou;Počet hostů;Nerezidenti;6915.0
2023;Jablonec nad Nisou;Počet přenocování;Celkem;49856.0
2023;Jablonec nad Nisou;Počet přenocování;Rezidenti;34226.0
2023;Jablonec nad Nisou;Počet přenocování;Nerezidenti;15630.0
2023;Jihlava;Počet hostů;Celkem;32779.0
2023;Jihlava;Počet hostů;Rezidenti;23466.0
2023;Jihlava;Počet hostů;Nerezidenti;9313.0
2023;Jihlava;Počet přenocování;Celkem;67052.0
2023;Jihlava;Počet přenocování;Rezidenti;46823.0
2023;Jihlava;Počet přenocování;Nerezidenti;20229.0
2023;Karlovy Vary;Počet hostů;Celkem;547563.0
2023;Karlovy Vary;Počet hostů;Rezidenti;204664.0
2023;Karlovy Vary;Počet hostů;Nerezidenti;342899.0
2023;Karlovy Vary;Počet přenocování;Celkem;1917617.0
2023;Karlovy Vary;Počet přenocování;Rezidenti;639385.0
2023;Karlovy Vary;Počet přenocování;Nerezidenti;1278232.0
2023;Karviná;Počet hostů;Celkem;
2023;Karviná;Počet hostů;Rezidenti;
2023;Karviná;Počet hostů;Nerezidenti;
2023;Karviná;Počet přenocování;Celkem;
2023;Karviná;Počet přenocování;Rezidenti;
2023;Karviná;Počet přenocování;Nerezidenti;
2023;Kladno;Počet hostů;Celkem;15180.0
2023;Kladno;Počet hostů;Rezidenti;10282.0
2023;Kladno;Počet hostů;Nerezidenti;4898.0
2023;Kladno;Počet přenocování;Celkem;32537.0
2023;Kladno;Počet přenocování;Rezidenti;20366.0
2023;Kladno;Počet přenocování;Nerezidenti;12171.0
2023;Liberec;Počet hostů;Celkem;186094.0
2023;Liberec;Počet hostů;Rezidenti;130949.0
2023;Liberec;Počet hostů;Nerezidenti;55145.0
2023;Liberec;Počet přenocování;Celkem;387184.0
2023;Liberec;Počet přenocování;Rezidenti;254844.0
2023;Liberec;Počet přenocování;Nerezidenti;132340.0
2023;Mladá Boleslav;Počet hostů;Celkem;29870.0
2023;Mladá Boleslav;Počet hostů;Rezidenti;14971.0
2023;Mladá Boleslav;Počet hostů;Nerezidenti;14899.0
2023;Mladá Boleslav;Počet přenocování;Celkem;67391.0
2023;Mladá Boleslav;Počet přenocování;Rezidenti;30344.0
2023;Mladá Boleslav;Počet přenocování;Nerezidenti;37047.0
2023;Most;Počet hostů;Celkem;
2023;Most;Počet hostů;Rezidenti;
2023;Most;Počet hostů;Nerezidenti;
2023;Most;Počet přenocování;Celkem;
2023;Most;Počet přenocování;Rezidenti;
2023;Most;Počet přenocování;Nerezidenti;
2023;Olomouc;Počet hostů;Celkem;233580.0
2023;Olomouc;Počet hostů;Rezidenti;156903.0
2023;Olomouc;Počet hostů;Nerezidenti;76677.0
2023;Olomouc;Počet přenocování;Celkem;443840.0
2023;Olomouc;Počet přenocování;Rezidenti;258459.0
2023;Olomouc;Počet přenocování;Nerezidenti;185381.0
2023;Opava;Počet hostů;Celkem;23556.0
2023;Opava;Počet hostů;Rezidenti;16838.0
2023;Opava;Počet hostů;Nerezidenti;6718.0
2023;Opava;Počet přenocování;Celkem;42725.0
2023;Opava;Počet přenocování;Rezidenti;28212.0
2023;Opava;Počet přenocování;Nerezidenti;14513.0
2023;Ostrava;Počet hostů;Celkem;256516.0
2023;Ostrava;Počet hostů;Rezidenti;153984.0
2023;Ostrava;Počet hostů;Nerezidenti;102532.0
2023;Ostrava;Počet přenocování;Celkem;479223.0
2023;Ostrava;Počet přenocování;Rezidenti;271374.0
2023;Ostrava;Počet přenocování;Nerezidenti;207849.0
2023;Pardubice;Počet hostů;Celkem;76343.0
2023;Pardubice;Počet hostů;Rezidenti;57666.0
2023;Pardubice;Počet hostů;Nerezidenti;18677.0
2023;Pardubice;Počet přenocování;Celkem;153168.0
2023;Pardubice;Počet přenocování;Rezidenti;104720.0
2023;Pardubice;Počet přenocování;Nerezidenti;48448.0
2023;Plzeň;Počet hostů;Celkem;312990.0
2023;Plzeň;Počet hostů;Rezidenti;161190.0
2023;Plzeň;Počet hostů;Nerezidenti;151800.0
2023;Plzeň;Počet přenocování;Celkem;574785.0
2023;Plzeň;Počet přenocování;Rezidenti;275251.0
