Regiony;Roky (regiony soudržnosti);Pohlaví;Věk (roky);Ukazatel;value
Střední Čechy;2023;muži;8;Pravděpodobnost úmrtí (qx);7.37e-05
Střední Čechy;2023;muži;8;Tabulkový počet dožívajících (lx);99686.98946
Střední Čechy;2023;muži;8;Tabulkový počet zemřelých (dx);7.348911595
Střední Čechy;2023;muži;8;Tabulkový počet žijících (Lx);99683.315
Střední Čechy;2023;muži;8;Pomocný ukazatel (Tx);6894532.244
Střední Čechy;2023;muži;8;Naděje dožití (ex);69.16180618
Střední Čechy;2023;muži;9;Počet zemřelých (Dx);1.0
Střední Čechy;2023;muži;9;Počet obyvatel (Px);8989.0
Střední Čechy;2023;muži;9;Míra úmrtnosti (mx);8.4611e-05
Střední Čechy;2023;muži;9;Pravděpodobnost úmrtí (qx);8.46e-05
Střední Čechy;2023;muži;9;Tabulkový počet dožívajících (lx);99679.64054
Střední Čechy;2023;muži;9;Tabulkový počet zemřelých (dx);8.433640435
Střední Čechy;2023;muži;9;Tabulkový počet žijících (Lx);99675.42372
Střední Čechy;2023;muži;9;Pomocný ukazatel (Tx);6794848.929
Střední Čechy;2023;muži;9;Naděje dožití (ex);68.1668683
Střední Čechy;2023;muži;10;Počet zemřelých (Dx);3.0
Střední Čechy;2023;muži;10;Počet obyvatel (Px);8926.0
Střední Čechy;2023;muži;10;Míra úmrtnosti (mx);9.54e-05
Střední Čechy;2023;muži;10;Pravděpodobnost úmrtí (qx);9.54e-05
Střední Čechy;2023;muži;10;Tabulkový počet dožívajících (lx);99671.2069
Střední Čechy;2023;muži;10;Tabulkový počet zemřelých (dx);9.509789661
Střední Čechy;2023;muži;10;Tabulkový počet žijících (Lx);99666.45201
Střední Čechy;2023;muži;10;Pomocný ukazatel (Tx);6695173.505
Střední Čechy;2023;muži;10;Naděje dožití (ex);67.1725939
Střední Čechy;2023;muži;11;Počet zemřelých (Dx);0.0
Střední Čechy;2023;muži;11;Počet obyvatel (Px);9043.0
Střední Čechy;2023;muži;11;Míra úmrtnosti (mx);0.000107081
Střední Čechy;2023;muži;11;Pravděpodobnost úmrtí (qx);0.000107075
Střední Čechy;2023;muži;11;Tabulkový počet dožívajících (lx);99661.69711
Střední Čechy;2023;muži;11;Tabulkový počet zemřelých (dx);10.67126299
Střední Čechy;2023;muži;11;Tabulkový počet žijících (Lx);99656.36148
Střední Čechy;2023;muži;11;Pomocný ukazatel (Tx);6595507.053
Střední Čechy;2023;muži;11;Naděje dožití (ex);66.17895585
Střední Čechy;2023;muži;12;Počet zemřelých (Dx);1.0
Střední Čechy;2023;muži;12;Počet obyvatel (Px);9331.0
Střední Čechy;2023;muži;12;Míra úmrtnosti (mx);0.000121113
Střední Čechy;2023;muži;12;Pravděpodobnost úmrtí (qx);0.000121106
Střední Čechy;2023;muži;12;Tabulkový počet dožívajících (lx);99651.02585
Střední Čechy;2023;muži;12;Tabulkový počet zemřelých (dx);12.06831939
Střední Čechy;2023;muži;12;Tabulkový počet žijících (Lx);99644.99169
Střední Čechy;2023;muži;12;Pomocný ukazatel (Tx);6495850.692
Střední Čechy;2023;muži;12;Naděje dožití (ex);65.18598917
Střední Čechy;2023;muži;13;Počet zemřelých (Dx);1.0
Střední Čechy;2023;muži;13;Počet obyvatel (Px);9490.0
Střední Čechy;2023;muži;13;Míra úmrtnosti (mx);0.00013898
Střední Čechy;2023;muži;13;Pravděpodobnost úmrtí (qx);0.000138971
Střední Čechy;2023;muži;13;Tabulkový počet dožívajících (lx);99638.95753
Střední Čechy;2023;muži;13;Tabulkový počet zemřelých (dx);13.84687519
Střední Čechy;2023;muži;13;Tabulkový počet žijících (Lx);99632.03409
Střední Čechy;2023;muži;13;Pomocný ukazatel (Tx);6396205.7
Střední Čechy;2023;muži;13;Naděje dožití (ex);64.19382397
Střední Čechy;2023;muži;14;Počet zemřelých (Dx);0.0
Střední Čechy;2023;muži;14;Počet obyvatel (Px);9461.0
Střední Čechy;2023;muži;14;Míra úmrtnosti (mx);0.000162356
Střední Čechy;2023;muži;14;Pravděpodobnost úmrtí (qx);0.000162343
Střední Čechy;2023;muži;14;Tabulkový počet dožívajících (lx);99625.11066
Střední Čechy;2023;muži;14;Tabulkový počet zemřelých (dx);16.17346633
Střední Čechy;2023;muži;14;Tabulkový počet žijících (Lx);99617.02392
Střední Čechy;2023;muži;14;Pomocný ukazatel (Tx);6296573.666
Střední Čechy;2023;muži;14;Naděje dožití (ex);63.20267676
Střední Čechy;2023;muži;15;Počet zemřelých (Dx);3.0
Střední Čechy;2023;muži;15;Počet obyvatel (Px);9282.0
Střední Čechy;2023;muži;15;Míra úmrtnosti (mx);0.00019342
Střední Čechy;2023;muži;15;Pravděpodobnost úmrtí (qx);0.000193401
Střední Čechy;2023;muži;15;Tabulkový počet dožívajících (lx);99608.93719
Střední Čechy;2023;muži;15;Tabulkový počet zemřelých (dx);19.26450236
Střední Čechy;2023;muži;15;Tabulkový počet žijících (Lx);99599.30494
Střední Čechy;2023;muži;15;Pomocný ukazatel (Tx);6196956.642
Střední Čechy;2023;muži;15;Naděje dožití (ex);62.21285777
Střední Čechy;2023;muži;16;Počet zemřelých (Dx);0.0
Střední Čechy;2023;muži;16;Počet obyvatel (Px);8765.0
Střední Čechy;2023;muži;16;Míra úmrtnosti (mx);0.000233277
Střední Čechy;2023;muži;16;Pravděpodobnost úmrtí (qx);0.000233249
Střední Čechy;2023;muži;16;Tabulkový počet dožívajících (lx);99589.67269
Střední Čechy;2023;muži;16;Tabulkový počet zemřelých (dx);23.22923565
Střední Čechy;2023;muži;16;Tabulkový počet žijících (Lx);99578.05807
Střední Čechy;2023;muži;16;Pomocný ukazatel (Tx);6097357.337
Střední Čechy;2023;muži;16;Naděje dožití (ex);61.22479543
Střední Čechy;2023;muži;17;Počet zemřelých (Dx);1.0
Střední Čechy;2023;muži;17;Počet obyvatel (Px);8541.0
Střední Čechy;2023;muži;17;Míra úmrtnosti (mx);0.000281856
Střední Čechy;2023;muži;17;Pravděpodobnost úmrtí (qx);0.000281816
Střední Čechy;2023;muži;17;Tabulkový počet dožívajících (lx);99566.44345
Střední Čechy;2023;muži;17;Tabulkový počet zemřelých (dx);28.05942763
Střední Čechy;2023;muži;17;Tabulkový počet žijících (Lx);99552.41374
Střední Čechy;2023;muži;17;Pomocný ukazatel (Tx);5997779.279
Střední Čechy;2023;muži;17;Naděje dožití (ex);60.23896276
Střední Čechy;2023;muži;18;Počet zemřelých (Dx);3.0
Střední Čechy;2023;muži;18;Počet obyvatel (Px);8196.0
Střední Čechy;2023;muži;18;Míra úmrtnosti (mx);0.000337919
Střední Čechy;2023;muži;18;Pravděpodobnost úmrtí (qx);0.000337862
Střední Čechy;2023;muži;18;Tabulkový počet dožívajících (lx);99538.38402
Střední Čechy;2023;muži;18;Tabulkový počet zemřelých (dx);33.63022023
Střední Čechy;2023;muži;18;Tabulkový počet žijících (Lx);99521.56891
Střední Čechy;2023;muži;18;Pomocný ukazatel (Tx);5898226.865
Střední Čechy;2023;muži;18;Naděje dožití (ex);59.2558029
Střední Čechy;2023;muži;19;Počet zemřelých (Dx);7.0
Střední Čechy;2023;muži;19;Počet obyvatel (Px);7327.0
Střední Čechy;2023;muži;19;Míra úmrtnosti (mx);0.000399452
Střední Čechy;2023;muži;19;Pravděpodobnost úmrtí (qx);0.000399372
Střední Čechy;2023;muži;19;Tabulkový počet dožívajících (lx);99504.7538
Střední Čechy;2023;muži;19;Tabulkový počet zemřelých (dx);39.73939026
Střední Čechy;2023;muži;19;Tabulkový počet žijících (Lx);99484.88411
Střední Čechy;2023;muži;19;Pomocný ukazatel (Tx);5798705.296
