Území,Odvětví CZ-NACE,Ukazatel,Roky,value
Česko,G Obchod,Počet aktivních podniků,2008,212578.0
Česko,G Obchod,Počet aktivních podniků,2009,222781.0
Česko,G Obchod,Počet aktivních podniků,2010,231934.0
Česko,G Obchod,Počet aktivních podniků,2011,245411.0
Česko,G Obchod,Počet aktivních podniků,2012,248104.0
Česko,G Obchod,Počet aktivních podniků,2013,244747.0
Česko,G Obchod,Počet aktivních podniků,2014,242804.0
Česko,G Obchod,Počet aktivních podniků,2015,241572.0
Česko,G Obchod,Počet aktivních podniků,2016,231411.0
Česko,G Obchod,Počet aktivních podniků,2017,227908.0
Česko,G Obchod,Počet aktivních podniků,2018,225257.0
Česko,G Obchod,Počet aktivních podniků,2019,225467.0
Česko,G Obchod,Počet aktivních podniků,2020,224561.0
Česko,G Obchod,Počet aktivních podniků,2021,226918.0
Česko,G Obchod,Počet aktivních podniků,2022,225177.0
Česko,G Obchod,Počet aktivních podniků,2023,223508.0
Česko,G Obchod,Počet zaměstnaných osob celkem ve fyzických osobách,2008,685747.011217611
Česko,G Obchod,Počet zaměstnaných osob celkem ve fyzických osobách,2009,684428.403825309
Česko,G Obchod,Počet zaměstnaných osob celkem ve fyzických osobách,2010,684388.863552682
Česko,G Obchod,Počet zaměstnaných osob celkem ve fyzických osobách,2011,700534.483379674
Česko,G Obchod,Počet zaměstnaných osob celkem ve fyzických osobách,2012,710874.046224374
Česko,G Obchod,Počet zaměstnaných osob celkem ve fyzických osobách,2013,706681.754294452
Česko,G Obchod,Počet zaměstnaných osob celkem ve fyzických osobách,2014,705210.673540523
Česko,G Obchod,Počet zaměstnaných osob celkem ve fyzických osobách,2015,708842.522466905
Česko,G Obchod,Počet zaměstnaných osob celkem ve fyzických osobách,2016,699659.476964863
Česko,G Obchod,Počet zaměstnaných osob celkem ve fyzických osobách,2017,706914.09168493
Česko,G Obchod,Počet zaměstnaných osob celkem ve fyzických osobách,2018,714820.63490511
Česko,G Obchod,Počet zaměstnaných osob celkem ve fyzických osobách,2019,720995.520131706
Česko,G Obchod,Počet zaměstnaných osob celkem ve fyzických osobách,2020,726938.867368111
Česko,G Obchod,Počet zaměstnaných osob celkem ve fyzických osobách,2021,743391.157948068
Česko,G Obchod,Počet zaměstnaných osob celkem ve fyzických osobách,2022,746590.660953209
Česko,G Obchod,Počet zaměstnaných osob celkem ve fyzických osobách,2023,740513.4811282973
Česko,G Obchod,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2008,521813.28260265
Česko,G Obchod,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2009,512810.168599504
Česko,G Obchod,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2010,503217.856016133
Česko,G Obchod,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2011,504376.806224329
Česko,G Obchod,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2012,508306.466035987
Česko,G Obchod,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2013,504926.476071652
Česko,G Obchod,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2014,500594.629357314
Česko,G Obchod,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2015,503250.882019597
Česko,G Obchod,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2016,503509.687931238
Česko,G Obchod,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2017,510773.043895948
Česko,G Obchod,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2018,521975.931911974
Česko,G Obchod,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2019,525733.788496243
Česko,G Obchod,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2020,522409.007481094
Česko,G Obchod,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2021,526813.136256934
Česko,G Obchod,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2022,532164.167896719
Česko,G Obchod,Průměrný evidenční počet zaměstnanců ve fyzických osobách,2023,525412.2259287465
Česko,G Obchod,Průměrný evidenční počet zaměstnanců přepočtený ,2008,503097.422423412
Česko,G Obchod,Průměrný evidenční počet zaměstnanců přepočtený ,2009,493404.878278967
Česko,G Obchod,Průměrný evidenční počet zaměstnanců přepočtený ,2010,483880.182710112
Česko,G Obchod,Průměrný evidenční počet zaměstnanců přepočtený ,2011,483367.529072318
Česko,G Obchod,Průměrný evidenční počet zaměstnanců přepočtený ,2012,488455.560743843
Česko,G Obchod,Průměrný evidenční počet zaměstnanců přepočtený ,2013,484284.586023013
Česko,G Obchod,Průměrný evidenční počet zaměstnanců přepočtený ,2014,479593.616472972
Česko,G Obchod,Průměrný evidenční počet zaměstnanců přepočtený ,2015,483023.608436403
Česko,G Obchod,Průměrný evidenční počet zaměstnanců přepočtený ,2016,483580.922124967
Česko,G Obchod,Průměrný evidenční počet zaměstnanců přepočtený ,2017,491189.30821368
Česko,G Obchod,Průměrný evidenční počet zaměstnanců přepočtený ,2018,502057.553653542
Česko,G Obchod,Průměrný evidenční počet zaměstnanců přepočtený ,2019,502769.559357771
Česko,G Obchod,Průměrný evidenční počet zaměstnanců přepočtený ,2020,496463.135565951
Česko,G Obchod,Průměrný evidenční počet zaměstnanců přepočtený ,2021,498548.436524395
Česko,G Obchod,Průměrný evidenční počet zaměstnanců přepočtený ,2022,503917.739650637
Česko,G Obchod,Průměrný evidenční počet zaměstnanců přepočtený ,2023,498857.710213999
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2008,20701.9551628312
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2009,20867.7338910178
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2010,21363.5787168928
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2011,21983.014236482
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2012,22395.9517701203
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2013,22206.3350213747
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2014,22947.7710462311
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2015,24003.641113174
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2016,25223.4427639426
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2017,27066.5865411255
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2018,28962.9555608719
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2019,30912.5456569148
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2020,31686.8438215177
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2021,32763.557394048
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2022,35679.29413123
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2023,38195.0224025497
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2008,21472.0940683299
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2009,21688.4481812765
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2010,22217.3477296284
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2011,22938.4926477382
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2012,23306.1265193627
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2013,23152.8461000335
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2014,23952.635203834
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2015,25008.8263821936
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2016,26262.9214957785
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2017,28145.7323364001
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2018,30112.0172573756
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2019,32324.4902914024
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2020,33342.8434966013
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2021,34621.0541668159
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2022,37679.2487711427
Česko,G Obchod,Průměrná hrubá měsíční mzda na 1 přepočtenou osobu (Kč),2023,40228.1679305171
Česko,G Obchod,Čistý obrat (Výnosy celkem) (mil. Kč),2008,3719140.54270178
Česko,G Obchod,Čistý obrat (Výnosy celkem) (mil. Kč),2009,3294271.66830006
Česko,G Obchod,Čistý obrat (Výnosy celkem) (mil. Kč),2010,3418805.38918571
Česko,G Obchod,Čistý obrat (Výnosy celkem) (mil. Kč),2011,3572822.35316203
Česko,G Obchod,Čistý obrat (Výnosy celkem) (mil. Kč),2012,3615213.8338137
Česko,G Obchod,Čistý obrat (Výnosy celkem) (mil. Kč),2013,3673879.66824712
Česko,G Obchod,Čistý obrat (Výnosy celkem) (mil. Kč),2014,3794411.96053014
Česko,G Obchod,Čistý obrat (Výnosy celkem) (mil. Kč),2015,3920854.83859763
Česko,G Obchod,Čistý obrat (Výnosy celkem) (mil. Kč),2016,3941440.26929903
Česko,G Obchod,Čistý obrat (Výnosy celkem) (mil. Kč),2017,4202932.75368946
Česko,G Obchod,Čistý obrat (Výnosy celkem) (mil. Kč),2018,4377062.82828774
Česko,G Obchod,Čistý obrat (Výnosy celkem) (mil. Kč),2019,4521618.47929953
Česko,G Obchod,Čistý obrat (Výnosy celkem) (mil. Kč),2020,4471647.40485091
Česko,G Obchod,Čistý obrat (Výnosy celkem) (mil. Kč),2021,5313912.5297559
Česko,G Obchod,Čistý obrat (Výnosy celkem) (mil. Kč),2022,6769783.41048093
Česko,G Obchod,Čistý obrat (Výnosy celkem) (mil. Kč),2023,6462471.189056862
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2008,3543289.83411581
