SO ORP,Pětileté období (SO ORP),Pohlaví,Věk (roky),Ukazatel,value
Praha,2020-2024,muži,8,Pravděpodobnost úmrtí (qx),2.51845e-05
Praha,2020-2024,muži,8,Tabulkový počet dožívajících (lx),99766.51308006
Praha,2020-2024,muži,8,Tabulkový počet zemřelých (dx),2.5125701036
Praha,2020-2024,muži,8,Tabulkový počet žijících (Lx),99765.2567950082
Praha,2020-2024,muži,8,Pomocný ukazatel (Tx),6991052.37403419
Praha,2020-2024,muži,8,Naděje dožití (ex),70.0741376861
Praha,2020-2024,muži,9,Počet zemřelých (Dx),1.0
Praha,2020-2024,muži,9,Počet obyvatel (Px),36222.0
Praha,2020-2024,muži,9,Míra úmrtnosti (mx),3.5502e-05
Praha,2020-2024,muži,9,Pravděpodobnost úmrtí (qx),3.55014e-05
Praha,2020-2024,muži,9,Tabulkový počet dožívajících (lx),99764.0005099564
Praha,2020-2024,muži,9,Tabulkový počet zemřelých (dx),3.5417600484
Praha,2020-2024,muži,9,Tabulkový počet žijících (Lx),99762.2296299322
Praha,2020-2024,muži,9,Pomocný ukazatel (Tx),6891287.11723918
Praha,2020-2024,muži,9,Naděje dožití (ex),69.0758899203
Praha,2020-2024,muži,10,Počet zemřelých (Dx),3.0
Praha,2020-2024,muži,10,Počet obyvatel (Px),36244.5
Praha,2020-2024,muži,10,Míra úmrtnosti (mx),5.19029e-05
Praha,2020-2024,muži,10,Pravděpodobnost úmrtí (qx),5.19016e-05
Praha,2020-2024,muži,10,Tabulkový počet dožívajících (lx),99760.458749908
Praha,2020-2024,muži,10,Tabulkový počet zemřelých (dx),5.1777262702
Praha,2020-2024,muži,10,Tabulkový počet žijících (Lx),99757.8698867729
Praha,2020-2024,muži,10,Pomocný ukazatel (Tx),6791524.88760925
Praha,2020-2024,muži,10,Naděje dožití (ex),68.0783245458
Praha,2020-2024,muži,11,Počet zemřelých (Dx),2.0
Praha,2020-2024,muži,11,Počet obyvatel (Px),36189.5
Praha,2020-2024,muži,11,Míra úmrtnosti (mx),7.30275e-05
