Ukazatel;Území;Klasifikace CZ-CPA;Typ údaje;Měsíce;value
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;duben 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;květen 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červen 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červenec 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;srpen 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;září 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;říjen 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;listopad 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;prosinec 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;leden 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;únor 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;březen 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;duben 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;květen 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červen 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červenec 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;srpen 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;září 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;říjen 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;listopad 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;prosinec 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;leden 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;únor 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;březen 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;duben 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;květen 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červen 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červenec 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;srpen 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;září 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;říjen 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;listopad 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;prosinec 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;leden 2018;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;únor 2018;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;březen 2018;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;duben 2018;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;květen 2018;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červen 2018;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červenec 2018;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;srpen 2018;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;září 2018;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;říjen 2018;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;listopad 2018;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;prosinec 2018;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;leden 2019;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;únor 2019;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;březen 2019;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;duben 2019;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;květen 2019;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červen 2019;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červenec 2019;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;srpen 2019;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;září 2019;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;říjen 2019;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;listopad 2019;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;prosinec 2019;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;leden 2020;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;únor 2020;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;březen 2020;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;duben 2020;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;květen 2020;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červen 2020;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červenec 2020;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;srpen 2020;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;září 2020;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;říjen 2020;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;listopad 2020;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;prosinec 2020;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;leden 2021;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;únor 2021;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;březen 2021;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;duben 2021;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;květen 2021;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červen 2021;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červenec 2021;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;srpen 2021;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;září 2021;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;říjen 2021;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;listopad 2021;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;prosinec 2021;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;leden 2022;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;únor 2022;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;březen 2022;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;duben 2022;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;květen 2022;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červen 2022;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červenec 2022;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;srpen 2022;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;září 2022;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;říjen 2022;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;listopad 2022;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;prosinec 2022;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;leden 2023;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;únor 2023;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;březen 2023;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;duben 2023;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;květen 2023;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červen 2023;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červenec 2023;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;srpen 2023;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;září 2023;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;říjen 2023;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;listopad 2023;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;prosinec 2023;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;leden 2024;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;únor 2024;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;březen 2024;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;duben 2024;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;květen 2024;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červen 2024;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;červenec 2024;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;srpen 2024;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;září 2024;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;říjen 2024;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;listopad 2024;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;prosinec 2024;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;leden 2025;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;únor 2025;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;březen 2025;
Index cen za poskytnutí tržních služeb (%);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;Podíl klouzavých průměrů;duben 2025;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;leden 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;únor 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;březen 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;duben 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;květen 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;červen 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;červenec 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;srpen 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;září 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;říjen 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;listopad 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;prosinec 2015;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;leden 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;únor 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;březen 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;duben 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;květen 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;červen 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;červenec 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;srpen 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;září 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;říjen 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;listopad 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;prosinec 2016;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;leden 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;únor 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;březen 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;duben 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;květen 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;červen 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;červenec 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;srpen 2017;
Index cen za poskytnutí tržních služeb (%);Česko;Tvorba programů a vysílání;Meziměsíční index;září 2017;
