Ukazatel;Území;Klasifikace CZ-CPA;Typ údaje;Měsíce;value
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;listopad 2019;100.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;prosinec 2019;99.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;leden 2020;99.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;únor 2020;101.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;březen 2020;101.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;duben 2020;99.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;květen 2020;99.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;červen 2020;99.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;červenec 2020;99.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;srpen 2020;100.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;září 2020;100.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;říjen 2020;100.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;listopad 2020;100.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;prosinec 2020;99.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;leden 2021;99.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;únor 2021;100.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;březen 2021;100.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;duben 2021;100.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;květen 2021;100.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;červen 2021;99.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;červenec 2021;99.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;srpen 2021;100.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;září 2021;101.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;říjen 2021;100.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;listopad 2021;100.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;prosinec 2021;99.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;leden 2022;100.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;únor 2022;101.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;březen 2022;101.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;duben 2022;100.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;květen 2022;100.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;červen 2022;100.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;červenec 2022;99.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;srpen 2022;100.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;září 2022;101.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;říjen 2022;100.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;listopad 2022;100.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;prosinec 2022;100.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;leden 2023;99.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;únor 2023;101.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;březen 2023;101.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;duben 2023;101.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;květen 2023;100.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;červen 2023;99.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;červenec 2023;98.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;srpen 2023;100.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;září 2023;101.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;říjen 2023;100.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;listopad 2023;99.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;prosinec 2023;100.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;leden 2024;99.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;únor 2024;101.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;březen 2024;100.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;duben 2024;100.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;květen 2024;99.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;červen 2024;100.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;červenec 2024;98.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;srpen 2024;100.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;září 2024;101.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;říjen 2024;100.5
