Roky,Území,Ukazatel,value
2024,Česko,Lesní pozemky k 31. 12. (ha),2683138.3181
2024,Česko,Plochy dřevin k 31. 12. - celkem (ha),2547019.27
2024,Česko,Zalesňování celkem (ha),29494.4711248277
2024,Česko,Těžba dřeva celkem (m³ bez kůry),17806956.38193377
2024,Česko,Těžba dřeva - jehličnaté dřeviny (m³ bez kůry),15674286.014454661
2024,Česko,Těžba dřeva - listnaté dřeviny (m³ bez kůry),2132670.3674791083
2024,Česko,Nahodilá těžba dřeva celkem  (z těžby dřeva celkem; m³ bez kůry),8018861.252254952
2024,Česko,Nahodilá těžba dřeva - hmyzová (m³ bez kůry),2387781.662184553
