Roky,Oblasti destinačního managementu členěné,Kategorie ubytovacího zařízení,Ukazatel,value
2024,Praha,HUZ celkem,Počet hromadných ubytovacích zařízení,827.0
2024,Praha,HUZ celkem,Počet pokojů v hromadných ubytovacích zařízeních,43789.0
2024,Praha,HUZ celkem,Počet lůžek v hromadných ubytovacích zařízeních,95203.0
2024,Praha,HUZ celkem,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1091.0
2024,Praha,Hotel *****,Počet hromadných ubytovacích zařízení,52.0
2024,Praha,Hotel *****,Počet pokojů v hromadných ubytovacích zařízeních,6615.0
2024,Praha,Hotel *****,Počet lůžek v hromadných ubytovacích zařízeních,13339.0
2024,Praha,Hotel *****,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,Praha,"Hotel, motel, botel ****",Počet hromadných ubytovacích zařízení,277.0
2024,Praha,"Hotel, motel, botel ****",Počet pokojů v hromadných ubytovacích zařízeních,20127.0
2024,Praha,"Hotel, motel, botel ****",Počet lůžek v hromadných ubytovacích zařízeních,42174.0
2024,Praha,"Hotel, motel, botel ****",Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,Praha,"Hotel, motel, botel ***",Počet hromadných ubytovacích zařízení,187.0
2024,Praha,"Hotel, motel, botel ***",Počet pokojů v hromadných ubytovacích zařízeních,9216.0
2024,Praha,"Hotel, motel, botel ***",Počet lůžek v hromadných ubytovacích zařízeních,20194.0
2024,Praha,"Hotel, motel, botel ***",Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,15.0
2024,Praha,"Hotel, motel, botel **",Počet hromadných ubytovacích zařízení,15.0
2024,Praha,"Hotel, motel, botel **",Počet pokojů v hromadných ubytovacích zařízeních,852.0
2024,Praha,"Hotel, motel, botel **",Počet lůžek v hromadných ubytovacích zařízeních,1815.0
2024,Praha,"Hotel, motel, botel **",Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,Praha,"Hotel, motel, botel *",Počet hromadných ubytovacích zařízení,4.0
2024,Praha,"Hotel, motel, botel *",Počet pokojů v hromadných ubytovacích zařízeních,65.0
2024,Praha,"Hotel, motel, botel *",Počet lůžek v hromadných ubytovacích zařízeních,222.0
2024,Praha,"Hotel, motel, botel *",Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,Praha,Hotel garni,Počet hromadných ubytovacích zařízení,34.0
2024,Praha,Hotel garni,Počet pokojů v hromadných ubytovacích zařízeních,858.0
2024,Praha,Hotel garni,Počet lůžek v hromadných ubytovacích zařízeních,1812.0
2024,Praha,Hotel garni,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,Praha,Penzion,Počet hromadných ubytovacích zařízení,95.0
2024,Praha,Penzion,Počet pokojů v hromadných ubytovacích zařízeních,1082.0
2024,Praha,Penzion,Počet lůžek v hromadných ubytovacích zařízeních,2633.0
2024,Praha,Penzion,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,Praha,Kemp,Počet hromadných ubytovacích zařízení,19.0
2024,Praha,Kemp,Počet pokojů v hromadných ubytovacích zařízeních,187.0
2024,Praha,Kemp,Počet lůžek v hromadných ubytovacích zařízeních,548.0
2024,Praha,Kemp,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1076.0
2024,Praha,Chatová osada,Počet hromadných ubytovacích zařízení,
2024,Praha,Chatová osada,Počet pokojů v hromadných ubytovacích zařízeních,
2024,Praha,Chatová osada,Počet lůžek v hromadných ubytovacích zařízeních,
2024,Praha,Chatová osada,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,Praha,Turistická ubytovna,Počet hromadných ubytovacích zařízení,50.0
2024,Praha,Turistická ubytovna,Počet pokojů v hromadných ubytovacích zařízeních,1389.0
2024,Praha,Turistická ubytovna,Počet lůžek v hromadných ubytovacích zařízeních,4430.0
2024,Praha,Turistická ubytovna,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,Praha,Ostatní HUZ,Počet hromadných ubytovacích zařízení,94.0
2024,Praha,Ostatní HUZ,Počet pokojů v hromadných ubytovacích zařízeních,3398.0
2024,Praha,Ostatní HUZ,Počet lůžek v hromadných ubytovacích zařízeních,8036.0
2024,Praha,Ostatní HUZ,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
