Území,Roky,Odvětví ekonomické činnosti,Ukazatel,value
Česko,2024,B - Těžba a dobývání,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-0.7690624611
Česko,2024,B - Těžba a dobývání,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),95.8100047682
Česko,2024,B - Těžba a dobývání,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),49413.8215453353
Česko,2024,B - Těžba a dobývání,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2327.5101214916
Česko,2024,B - Těžba a dobývání,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),104.9430716722
Česko,2024,C - Zpracovatelský průmysl,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),1056.1194536556
Česko,2024,C - Zpracovatelský průmysl,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-22.4635149714
Česko,2024,C - Zpracovatelský průmysl,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),97.9173122861
Česko,2024,C - Zpracovatelský průmysl,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),45037.6462220307
Česko,2024,C - Zpracovatelský průmysl,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3354.5682787834
Česko,2024,C - Zpracovatelský průmysl,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),108.0477940793
Česko,2024,C - Zpracovatelský průmysl,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),1074.4233605368
Česko,2024,C - Zpracovatelský průmysl,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-18.9949839726
Česko,2024,C - Zpracovatelský průmysl,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),98.2627889803
Česko,2024,C - Zpracovatelský průmysl,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),44270.3836020296
Česko,2024,C - Zpracovatelský průmysl,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3152.8569249809
Česko,2024,C - Zpracovatelský průmysl,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.667914828
Česko,2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),35.4381393827
Česko,2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),0.5722541448
Česko,2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),101.6413010623
Česko,2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),70947.8170490324
Česko,2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3363.0342289813
Česko,2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),104.9760228392
Česko,2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),35.991148781
Česko,2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),0.8280242855
Česko,2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),102.3548086166
Česko,2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrná hrubá měsíční mzda na fyzické osoby (Kč),69857.6932007838
Česko,2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2844.2148638866
Česko,2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),104.2442430008
Česko,2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),52.6337459082
Česko,2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),0.2243870825
